,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21O,22N,23H,24H,25C,26O,27O,28H
1N,0.0,1.0187880672795409,1.0221085697921584,1.4599022853470651,2.090018417538365,2.47083626307275,3.4247999560652858,2.742567480839171,3.195220904896577,2.6659295804084953,2.489964361512608,2.7685737449634065,3.714077616139108,3.971309929311804,4.948152646998373,4.9137016717675275,6.0703702958195676,6.318793546795277,6.997700454696078,6.102108200181783,5.915859572163597,6.79872308578471,7.272525359920193,7.199241491720563,5.673833753085895,5.613898831740604,6.781107873443488,7.315812623457827
2H,0.0,0.0,1.6173052893866653,2.036086210465928,2.239625560907416,3.3117986301793945,4.1735555416106145,3.4911353069651487,4.207167777821337,3.652476829768423,2.870397866497854,3.0883089005387525,4.002705043552453,4.3174849171505185,5.242628378274811,5.171657334487967,6.177628224555916,6.431263514934329,7.151950691487162,5.966199205439815,5.725483349914677,6.531452822420501,7.05817651827702,6.805281760841056,6.1828265869288055,6.24040708776811,7.278598839695897,7.9021542975725705
3H,0.0,0.0,0.0,2.0075697124478187,2.869600403851725,2.9214079991438737,3.829121693754947,3.4180956861718346,3.1171076232026076,2.546108738333428,2.4514327270748386,2.270650473507664,3.817201964576098,4.275599449461034,4.835786704493528,4.594125189131022,6.064677774871734,6.475951107374486,6.897763121801466,6.083230481925109,5.731038920642762,6.937632720475427,7.5019078026592565,7.321742867473851,5.538265871453717,5.606295288327143,6.50616974369126,7.0540130963904755
4C,0.0,0.0,0.0,0.0,1.0994883364475387,1.5487173636585942,2.1983693195887586,2.1607663035379137,2.860016862036714,2.9831316479797576,1.5451785230114485,2.4212196835972284,2.4694226023474726,2.5517489157223854,3.8163512911003044,4.040475718842172,4.919251558791567,5.040185418040236,5.865126585115824,5.1888857183158255,5.247321799768361,5.876698716584622,6.21979703913096,6.433433628736241,4.461343500131672,4.316409089145219,5.676222917566813,6.186557677866525
5H,0.0,0.0,0.0,0.0,0.0,2.133497963458436,2.523440020349716,2.3891427210928566,3.7834128666316267,3.9101295782640797,2.1586809649534424,3.1814337108751003,2.624389398604656,2.471400785976698,4.072323574727148,4.466791623189827,4.8841933836592295,4.821151525945795,5.918551158129237,5.049711207451264,5.2705454268989556,5.492042468361254,5.7426721572515556,6.0203699940440245,4.842276844882203,4.675827951591205,6.120444862583909,6.661704722839257
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0949962602191696,1.0932119264636582,1.8386794715748602,2.3814317971937897,2.5549047659401216,3.415797046344551,3.1319571674436033,2.853607664670875,4.326832424817607,4.71549845444786,5.546679355667316,5.525797717129125,6.387773517025907,6.170435763817878,6.371897669931919,6.88941791232906,7.078794835970504,7.577070523039968,4.447103684651081,3.9082499148871976,5.684236844722291,5.960080736640521
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7742050921725423,2.365273879223462,3.2853950346362386,2.750928921143893,3.753389649990069,2.8237615914710767,2.283664846404771,3.8826222541529565,4.479665847061408,5.0168836489375765,4.862859497407732,5.801487361436911,5.8578428355166485,6.236097943066379,6.545935152210787,6.608511404337709,7.333775580300409,3.7727367530010465,3.0544588609887806,5.049719419676531,5.247144154390379
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4241386183017366,2.614684154302848,3.482741932295426,4.355124696376385,4.03615826795645,3.6265748725936913,5.3136405041372345,5.749916380192441,6.428252294406203,6.29444757391502,7.316758379866378,6.993688326705255,7.239444123962574,7.578288834959559,7.712332843126639,8.231202576955413,5.446752744366605,4.814012269978217,6.711496030224673,6.949756088180032
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3506956270014794,3.368887906789622,3.6979254482249595,4.150267197869725,4.126420311244897,4.967550475321553,5.094615771971837,6.417861686618123,6.599748002069463,7.068526352225545,7.138396534775641,7.1486715878111085,8.085182499973303,8.36387654194556,8.779570437484674,4.762908634868635,4.234398203593339,5.736890381014404,5.857679787651055
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7767397184252376,3.9220122744092407,4.847933361642094,4.930622079656098,5.801750618637971,5.78907513198475,7.229837975091772,7.468890453010001,7.956705317963934,7.72226527350319,7.591749598125167,8.632924753686286,9.003917221811859,9.216012883699003,5.8550643705627365,5.457347676950064,6.826958508232283,7.042781719546437
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2208358520460687,1.3801180031160865,2.0412703301016117,2.4607226275045453,2.5142652039052926,3.673026924476611,4.048251847086346,4.539052583836157,3.9567726971877164,3.9145351306206693,4.882121637576482,5.334826345382635,5.478352467741907,3.3283203304961444,3.5584447530067114,4.415285166914574,5.061308124005324
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.289341853393646,3.144033990878135,2.8196727746940877,2.36089620082153,4.070573896574169,4.705930313118477,4.777404213083859,4.1599274619687145,3.7628566822627203,5.250832231369127,5.8683094441089185,5.730076517547688,3.7132887372993397,4.177517313167755,4.5157531779447835,5.21566454815995
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013415697862685,1.4511692855733287,2.0585648170757658,2.4808779550593822,2.704237627041792,3.405837806467042,3.0822971360681652,3.423648532723998,3.9535932812882564,4.240419586946609,4.720539771986327,2.4327134068264744,2.744574055356879,3.6207071358592757,4.300371369647882
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.087600378230917,2.9397908310676057,2.8566604885368925,2.682028846585444,3.7784533105733096,3.652253593380233,4.222935613012308,4.2879003316823106,4.352177441838807,5.1239533743697185,2.615300078914195,2.51902074617145,3.929974827836079,4.453683905828741
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0936484954403507,1.5409067873134807,2.1797099450261723,2.161338847998175,2.531942970670066,2.882656984023121,3.6711897348771005,3.9760531227246467,4.5044883870383,1.5284257854995047,2.4331127006767685,2.387555534160669,3.221933304748102
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1516301004069733,3.0634546644772045,2.540600398133107,2.6521355931097346,2.5143747995403762,3.971392425865636,4.495115745995011,4.642823408329829,2.1602825034097406,3.183811844492826,2.596409285393007,3.5045745757271445
