,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20S,21H,22C,23O,24O,25H
1N,0.0,1.0161072379658018,1.0180247428321407,1.4553201424652722,2.0694706215684424,2.4578717770964817,3.397227805474387,2.6591651090676742,3.225407291316216,3.8524769685891522,2.5823093310430596,3.705141537718373,2.8506566780791815,2.4331176611502676,4.288244841951948,4.7902261626447755,5.154213071124811,6.182472602482413,5.077693566337742,5.359497764812538,6.181726397789436,4.8719927024531815,4.521496278375205,6.207503415143919,6.665233684896537
2H,0.0,0.0,1.66411141626544,2.0756062420636043,2.3764468208934426,3.3648305214399445,4.201226078382399,3.572922197647413,4.189043827896159,4.6841383041145725,2.867871747503284,4.045099359703681,2.7993610590572926,2.1842494567467394,4.14139498303393,4.626533128704087,5.2327195330965495,6.191953379416704,5.339941035527275,5.505866812348313,6.130449354409364,4.444954329820371,3.916087915682611,5.78900806768415,6.136889844380813
3H,0.0,0.0,0.0,2.0596582496274807,2.9395813145915195,2.7167022509368124,3.7212393757776097,3.0165131365573714,2.8355314408062253,3.487471770753346,2.8590599399288332,3.9918060200927465,2.888457368447042,2.3650003178799457,4.257656523117308,4.950283382521332,4.890032770473096,5.958150776571719,4.85092172012282,4.765384938124349,5.630060182856885,4.806164503831897,4.4564949480376725,6.120759081975965,6.568075429868825
4C,0.0,0.0,0.0,0.0,1.1003667628109224,1.5372131314000397,2.1676603300292094,2.1542390503774236,2.848672940296515,3.149096938317765,1.548815461804643,2.427285864078264,2.4723783097829197,2.61328654050931,3.8347233280764863,4.0856583002412465,4.628281639666997,5.610336808980141,4.315873258284651,5.231255006310574,6.174992891848316,4.799977333815428,4.792748694829809,6.0393681904415635,6.665866144899729
5H,0.0,0.0,0.0,0.0,0.0,2.122015235855508,2.440054397525251,2.432993781448633,3.7778306110391204,4.074865179453675,2.110960400847829,2.717550567723675,3.081090754136474,3.261529900664617,4.329980279313304,4.344710788005224,5.310660087521482,6.2012369738790545,5.0060510337765995,6.135380554696373,6.9943431860190435,5.229849419819446,5.198670261516181,6.432589956602406,7.033626989071709
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0906704917346657,1.0924925704209283,1.846522273083383,2.4080165498386794,2.5183550578950054,2.8993591492280397,3.625802215063639,3.8709914224690167,4.871475056622407,5.113183890175385,5.280849789397355,6.276312309723439,4.699746849285647,5.730647713610107,6.875210837107841,6.024258483598145,6.130746512864343,7.198162357314073,7.901153792014513
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7815254127030111,2.4310025922589977,2.543466882364677,2.6923712665858823,2.5822019546392507,3.9832936097412044,4.457360341760312,5.035942815824609,5.0763566813178,5.353418722496323,6.250314829653627,4.616589917507623,6.052003938950362,7.218289459241777,6.339524016764824,6.618587208546811,7.40522277836657,8.186016337552825
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.377971626868523,3.2913776469532317,3.4609929289504633,3.902895148645353,4.506568988678496,4.5945339694798415,5.831156612633686,6.075926014735534,6.326137036976647,7.335923525463982,5.782735681654961,6.6837322897272315,7.809916188055396,6.8807347381997035,6.850330402176809,8.108487885217448,8.756862764744787
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.350446826722763,3.3490443470079856,3.748839043644876,4.0592083299398265,4.210072104816403,5.150672908016793,5.662704898472621,5.095681004876794,6.127665949948957,4.4938547761626735,5.006527385477854,6.275588678341866,6.2759062495984175,6.417971323884928,7.381693758269122,8.082962549571503
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9934911129834836,3.0726591711880546,3.665878960914598,4.084146096852079,4.454156808069125,4.901186568165662,4.118322903346048,5.072308627357665,3.3635700988917003,4.198146548923283,5.519396664843652,5.734818357134748,6.119850331928597,6.683277482797454,7.474214121007736
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2307741065886195,1.358900554629487,2.0660494342033777,2.449736817781985,2.6221548966634507,3.2168161556136825,4.131733227278408,2.915938568024781,4.172605429627456,5.061405098712828,3.6647421209085493,3.9940930856154186,4.770616966701855,5.513565526292463
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2701260605735785,3.1720931122041245,2.786816769112816,2.5712840526597325,3.2483626380621424,3.981077319174502,2.648987145946773,4.530198432223909,5.454874199744531,4.211257331819046,4.80419748127492,5.079016640543442,5.933134589422447
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010716252815066,1.4443902661217454,2.073193952467366,2.50436393004252,3.427413714263377,2.6881460772999004,3.320626742464341,3.975567176527431,2.399287384644217,2.690760315861564,3.6033205382657845,4.2757847936274676
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11006689397645,2.884441083365073,3.1559446758328753,4.081736635700936,3.5008083971915274,3.5150321556491653,4.0452950671225105,2.46866425934836,2.2893887665150556,3.799564932562607,4.279965041909649
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0996881453317007,1.5467721954850024,2.17865299784872,2.140222985531415,2.8636425357496518,3.2004305362543874,1.5219170631730334,2.429671401372501,2.3773161893519683,3.212381792331107
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.130911264392808,2.410517532061524,2.444622997437219,3.7864434411481596,4.082960603920777,2.1376106309241787,3.1007106716658246,2.6506775624349266,3.527274845561714
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0923599635115715,1.0920563002771062,1.8387526542359824,2.4050744775537694,2.5508654023558948,3.5415084043698455,2.888361579830965,3.782231928898806
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7683807394152824,2.435251495878581,2.540197844136558,2.8440576032442983,3.982954432906861,2.6502080538957227,3.5598573082521017
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.386261719168849,3.2928130424580275,3.4643554554424494,4.399988537003312,3.8935673833137887,4.818694576446639
20S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351178997921309,3.29439182032419,3.8838003844249953,3.6890818963103227,4.306609016617136
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0360416305133064,3.6003338639344995,3.042373726188843,3.4562749116375096
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2112694196121911,1.3500825544854256,1.8785716657021305
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255124846709706,2.295052277380077
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766859611558274
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
