 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,S20,H21,C22,O23,O24,H25
N1,0.0,1.7530596270074428,1.8422088782560704,3.118890259977157,0.09892000159611547,0.1865360739634161,0.026529188665441406,0.012443763567161148,0.04221261010824545,0.0013170717502373197,0.2031053660214622,0.040523852864618695,0.04835760417860793,0.06796021716768963,0.006051175289790406,0.0012047740522056483,0.0007517760986771177,0.00010400281180211746,0.0002175528431445084,0.00015497080475666836,5.141278467180044e-06,0.0010939937942465172,0.0005806664867096245,0.00021930062053514277,1.4572835956849772e-05
H2,0.0,0.0,0.02836785071908632,0.10587152881350892,0.005935497499767406,0.03333405755227459,0.002137976509954509,0.0006395252688848885,0.0023336467510667314,0.00010779458936438502,0.004896472860084433,0.0012683534997542933,0.009391165802386303,0.011958123981707258,0.0010503011045360777,5.683862764493952e-05,0.0004771320681320468,0.00010402258649899743,1.6322692716119747e-05,5.071531004430252e-05,1.4528177194605973e-07,0.00011577504646942405,0.00021586499858183839,3.3394024793076404e-05,3.299003681123125e-06
H3,0.0,0.0,0.0,0.10369137479783441,0.03539405184935762,0.010127476854838058,0.0005345798394784662,0.00018943900015511161,0.049593054062045505,0.00027093972780556363,0.006192969876960941,0.0011223506093157587,0.0070453804085690575,0.005048730486637121,0.0007207704360866485,0.0004263588784083616,8.008408344195583e-05,4.941224889476459e-06,1.0058442610594298e-05,0.00021832739792981837,1.1387550455932427e-06,7.539229172215389e-05,3.7771743737868846e-05,2.6998225737706605e-05,2.936426636068745e-06
C4,0.0,0.0,0.0,0.0,1.880129537681672,2.6770462022508914,0.09193235260636712,0.0910449119299146,0.1819471345856852,0.0033419661930369493,2.554418170377572,0.28629283101515884,0.2229294834654642,0.012802855773055066,0.036556179131684685,0.00319811335197262,0.003408931977691057,0.0006281364079274709,0.0013411102048077606,0.000463159644443184,2.4661072938636508e-05,0.004565519557904296,0.0003100342855164723,0.001320468886009979,0.00026476921686147126
H5,0.0,0.0,0.0,0.0,0.0,0.09260283952775128,0.004664354168979923,0.0054342307178723015,0.0409693470852579,5.140013083426709e-05,0.10876241921909435,0.021462722220499497,0.021021577993963425,0.0009234845044880924,0.0020493819366380617,0.00017499961136580033,0.0006876988521732352,4.8041562098699586e-05,0.0001752307537552511,0.0001559851403121204,8.148244945438421e-06,0.0004952842458338935,2.30889107685206e-05,0.00012880207296306345,3.979206017890036e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1454342043180494,1.94158231253444,2.764742939011922,0.04983661195633804,0.18036781736175603,0.04750194179933008,0.03068821764488054,0.002014699934708042,0.004354157930510055,0.0005107807878453885,0.0010303552374552882,0.0001832301971175232,0.0001151600063049596,0.0002854207631640404,3.2144246283838385e-05,0.0005776242875713267,8.623509982143285e-05,0.00019009730891221543,3.897709268307903e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027834326932052234,0.08535727275005534,0.007558751258665675,0.011314755077173055,0.022702428888498827,0.002122729773278098,3.5633617426089614e-05,0.00018046506580704502,1.822107844096088e-05,3.428704107122371e-05,4.726824764933468e-06,1.0134427155916725e-05,9.333204828099184e-06,2.7175775982879458e-06,2.4123838626044503e-05,1.7562235764434497e-05,2.8543452528229096e-06,7.663224539378177e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08412718189789092,0.02314967720979677,0.027726015518426905,0.0044123882309369256,0.0037794116237042097,0.00016064334424670257,0.0009557233812047539,4.5171982229863517e-05,8.61324350014403e-05,3.188313240087837e-05,5.7784590639542444e-05,6.276416571726617e-05,6.8894123583795874e-06,0.00015800478492988823,3.839682492179364e-06,4.965277699908732e-05,1.5009457732695353e-05
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8630093719582337,0.026705024151210288,0.009671564108473182,0.004629097593956494,0.00016898492888373084,0.0006125248892802221,0.00010114587717524604,0.00047375226192768183,5.1588206619546106e-05,0.00039246951689797527,0.0023827982635045916,0.000276790245268721,0.00010496062532758255,1.2325211103204892e-05,3.946478782607815e-05,6.308085840456279e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058555210689545945,0.004879136965211028,0.0008107935102541486,7.65205130548452e-06,0.00012063957694263827,7.6192351994297525e-06,0.0002043796137243259,1.7628382680268118e-05,0.00037246945023206024,0.0002886758767375319,2.7783083513810425e-05,1.9372870515788065e-05,6.787392616169896e-06,1.0370412348637004e-05,8.043731405393828e-07
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.027978642052119,3.552507195635343,0.14138503128305036,0.27672579054532254,0.02375487433296919,0.0351073192454775,0.0030487198494639767,0.00803109020173709,0.004849123346591919,0.0003662704329725486,0.029792464024200493,0.006255516542231471,0.005837779524065945,0.001234079122879428
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555161704619242,0.024755629042351845,0.07072926992546383,0.03161029416052652,0.025013458087697227,0.0010362837298584227,0.025558898251128115,0.0034730014690112845,0.00044863147576323925,0.008581870481085274,0.003994630781911451,0.0013075734383996424,0.0002098725484447339
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8996322432772046,2.731386728351824,0.09742939220472946,0.17929411423368202,0.025580522519710547,0.008473841990121023,0.031913784907604825,0.0009053353986669954,0.19440340217407387,0.05395639141148381,0.027307961484944243,0.0050577899345718436
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09706450259965904,0.019013163488585727,0.007717841319570429,0.0005120456992881994,0.00015064806026487965,0.004012115946911976,4.089369664783682e-05,0.030006320865328173,0.06609535165555469,0.004733317286428895,0.00014955247694348195
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9418122145302208,2.6887941626100993,0.09573906408414001,0.09399965516490028,0.19186552432081505,0.0031639574727695408,2.6742407660701817,0.2768932548795152,0.2179333085209842,0.05316465231228873
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08832857651193593,0.0050654567513301885,0.005339423094495199,0.042731781067277375,1.286088524743434e-05,0.11485703808804582,0.031408005650912396,0.010411490075498242,0.00037815116813000316
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769469954667081,2.0044931066322116,2.8259893631867117,0.051524100396481254,0.1743644775794657,0.044461912490202454,0.03149924889568703,0.002148125627802311
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02881309361972484,0.08588232635315873,0.007994247122887987,0.00555507825719137,0.0008165738706347181,0.011326846895661657,0.00032289303548083126
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08907980111505176,0.022565896473309532,0.025607254940891666,0.004428137180693459,0.004050474493222933,0.0003007770563367984
S20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1492011468355616,0.03343912265857621,0.006628824557617388,0.007852698796165722,0.0004835337777903126
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038946811338471665,0.0009174546799310956,0.005121072606078414,0.0001341538247019436
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.089587302364249,3.3948309211417085,0.17103178050381795
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518006801398626,0.0663926391316979
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940390240680134
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
