,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25C,26H,27H,28C,29H,30H,31H,32C,33H,34H,35H,36C,37O,38O,39H
1N,0.0,1.0203687640321006,1.0219330242866989,1.4621476456491336,2.076874058383792,2.4585365870941827,2.4545175457959765,2.8883965712385944,3.77978989109106,4.301453645680306,4.971708853111136,5.398231200388849,5.5588835993033845,6.397365371512938,5.938335375441391,6.913155323510257,2.4931307516436783,2.7454347808567925,3.734399903624512,4.017863999988046,4.963711401132699,4.885411812221316,6.0198031770519735,6.3124589106571785,5.804431213473863,5.071188621332109,6.776580727030006,7.357204427550328,7.393640401911228,8.11485970973383,7.83075897212373,5.823070956603235,6.082420850741578,6.735662080299134,4.998178002586706,5.794401749696642,6.09206275355951,6.5732417545703345,7.211199271567222
2H,0.0,0.0,1.6045618189857966,2.020582889502876,2.399730393464818,3.3379541421056635,3.4462466685627757,3.7445971503879814,4.553265713010852,4.981186173983334,5.71660625123673,6.132904729219372,6.214409046775541,6.9981717715070975,6.635479210471751,7.595362788003237,2.5736538615225686,2.448355155979006,3.9032914105841905,4.380433549986777,4.980617598457727,4.742586950919535,5.925635823767554,6.354274052217587,5.508533260298355,4.827529022046746,6.474912952616193,7.207258715926761,7.142067359549217,7.915197467442522,7.796746754822686,5.296079298790225,5.444952422307772,6.2033323485058425,4.434038928174304,6.0034196059697,6.472566873008876,6.697816488597216,7.432206500685375
3H,0.0,0.0,0.0,2.028299586926515,2.921337728443408,2.656310442138517,2.6664231467381097,2.6856993289539695,4.1250159269991125,4.893341242674073,5.168864185411642,5.409745068809086,6.101169734432604,7.020881398281036,6.29159046776281,7.230889817720813,2.704075515910442,2.7559036557395022,3.9449356140889513,4.290020334457245,5.03807516331936,4.850761689401573,6.279631665219084,6.636670650902807,6.247533403406818,5.641842261297427,7.280281776251156,7.507589396100676,7.459840958911559,8.358029651212151,7.895483306180106,6.18671229294332,6.562641344064989,6.997247052985757,5.266942160566772,5.686231055706162,6.013503728948738,6.310625727660727,6.892887702595314
4C,0.0,0.0,0.0,0.0,1.0984916331524341,1.5523130146164938,2.125180040142717,2.1886045789969066,2.5799784396926455,3.1851439644873154,3.706565092587937,4.185222931079631,4.3418501930449835,5.226089680185516,4.634380218962478,5.585021284980633,1.5516398571124874,2.4255211915610526,2.484334408562712,2.6045183839243014,3.861928918364093,4.051567329012418,4.844871752202973,4.991700805710245,4.775980222522896,4.005040042506748,5.715432181882728,6.259972963256881,6.461302876615781,6.9958683629728,6.678330350365628,5.120694880730344,5.506101440185046,6.051004971540532,4.454501661368764,4.67352154661306,4.857959751712213,5.64112000788997,6.258761428467046
5H,0.0,0.0,0.0,0.0,0.0,2.1489447344488366,2.568490862825386,3.0513538371057924,2.6511524703413363,2.753825460640003,3.8626500816826517,4.553311537264435,3.918814747340318,4.6490377043970925,4.490152957808568,5.450191045303254,2.1512404480857668,3.040117093064279,2.8046494358284866,2.786241075321265,4.196421777712846,4.503894881792224,4.855651731098628,4.891692321497451,4.539308694696581,3.5996943618301036,5.349775112358974,6.355308765376249,6.656833008308285,6.9478587242182686,6.86410069852194,5.008111871124596,5.228944207663075,6.029436398007663,4.516669105494339,5.16470101149313,5.3002111159960625,6.244479681448186,6.894332845949924
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0961470260334767,1.0980706468429755,1.5025388007637421,2.5135470748845603,2.60165303777804,3.0755779709915543,3.5832004024571282,4.58527012879647,3.6734749456400184,4.623795533456837,2.5996266961022245,3.612865689343,3.002666124468825,2.659578416357487,4.368025085947786,4.7764449170763,5.445198482524964,5.3568622608269365,5.7171520164167395,4.978740157160335,6.600533430179855,6.82371502941877,7.156094158440106,7.609800727128868,7.018280479758753,6.3102842889668604,6.812860840989586,7.175325311497368,5.7106359724168865,4.71332370890095,4.532089331321991,5.749151096499111,6.150414961024409
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7661687479460786,2.1245652550082172,2.7680828553511967,3.2968578799299224,3.842076116549332,3.929333656934247,4.836399852760258,4.218375894446941,5.1847704535942185,3.4707553952240504,4.345485334694267,4.05506592606751,3.728511313094373,5.436602186811295,5.780677502065303,6.498100029520543,6.404043429438402,6.66026772835014,5.850761583167735,7.528326062055824,7.897361579716085,8.208642544880426,8.66693981760247,8.112564958624638,7.185714859753824,7.594129067532832,8.09316047183763,6.547350009881443,5.7911054210763515,5.581398237639943,6.786754612251521,7.163032898442594
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1398996531133867,3.4056548661595665,2.745911017530149,2.816923124827786,4.283193596731134,5.342643341426056,4.041372373879253,4.880260008663482,2.7425883202422856,3.599153875689991,3.075700776729881,2.836500583435865,4.229289385700364,4.5588531177629825,5.513141384749318,5.497888599695043,6.014738004178001,5.439509140166776,6.9574433266057865,6.746693123456291,7.005028562001354,7.636254116779355,6.819853853920637,6.53705075081181,7.170492577225342,7.2878565163102,5.862014198141933,4.293796358925043,4.10940995240456,5.175241618476052,5.483266430163567
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3847511617072095,1.378257235749368,2.2515835845010783,2.1518456727840154,3.2067461033127573,2.196177375071755,3.1764844814984015,3.3406410464927005,4.534828246827052,3.1474275173005406,2.3647616847034407,4.440921219187652,5.145246810398055,5.223201087753835,4.835209361074972,5.601165684710663,4.833378402179041,6.3115564363409735,6.619207370856374,7.167864167042388,7.2928484016842,6.724788613903089,6.524908238257867,7.0378900887247475,7.382096241520641,6.1544048056804,4.645201589562521,4.16432562120068,5.865550977891167,6.171857879676698
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26210439583279,3.3239513634596776,1.3139441593530596,2.136610591478052,2.218739671336711,3.1873679097025875,4.11869016061155,5.3075507367293975,3.941241534751524,3.1541730013355256,5.2496170389179,5.999021042910985,5.716495892627545,5.210227637537761,5.828964745557983,4.914836483763238,6.376115409310783,7.181927456416852,7.817301540961834,7.692076512206996,7.3886200128313995,6.844851735989173,7.183114481765829,7.783870664977791,6.613906854024554,5.654214057668091,5.178847096528611,6.945252718189638,7.30112095729418
