 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,C25,H26,H27,C28,H29,H30,H31,C32,H33,H34,H35,C36,O37,O38,H39
N1,0.0,1.9249918292900925,1.9207961140219778,3.0450945502401416,0.09785505614108969,0.19445998420069613,0.03174342258139917,0.004166798058624632,0.030310287803809538,0.003348251183719203,0.006435886593995799,4.538400606102222e-05,0.0008628368979027856,1.8190578931598367e-05,0.0020008654806263626,0.00017034318924469272,0.22884259599189719,0.05124023706901765,0.03565360876245874,0.0019792727973381163,0.0076561468179510705,0.00044183884627158054,0.000783652692843792,2.3081189920892697e-05,7.774330080118075e-05,1.8418011385801236e-05,1.8185643355650427e-06,0.0002958648259585167,4.357713249802941e-06,6.752849118329962e-05,8.172927341787428e-06,6.366061783530386e-05,2.79083952658965e-06,1.5877492194338316e-06,7.300531860510162e-05,0.0010929425796694925,0.00023511485564046974,0.00025807875803257607,6.0923305687965446e-05
H2,0.0,0.0,0.02667615185466321,0.11213641736764857,0.004750361817365656,0.03469165740783087,0.0021738856970106024,0.00016024985731522,0.00466214433324641,0.0002892476707964109,0.0013036586982210219,1.0186311959703431e-05,9.15269884322889e-05,3.7883274102146203e-06,0.00030585525420867565,5.232479752992347e-05,0.016789072318777354,0.04052211115427651,0.0028412379248400343,6.295049975513223e-05,0.0004536755275015292,4.6316551913783144e-05,2.910169811665142e-05,1.1393261937664434e-05,7.226004120952645e-06,1.4471151437156493e-06,1.959317383892767e-07,4.7673921453883494e-06,9.754209087109444e-07,1.1095983232234374e-06,1.446318493858456e-07,1.2811413229396607e-05,7.650024276273371e-07,1.6986151174513964e-07,2.042996996909352e-06,6.649190362240098e-05,2.5843654856139153e-05,8.399771212697082e-06,1.960982664250821e-06
H3,0.0,0.0,0.0,0.10377498416320219,0.03762587616167079,0.012159199178257252,0.001318401941287295,0.0030183867937669806,0.0011389547958103874,0.0005275668477360274,0.0001781665457019077,8.815184245225538e-06,0.00017467830214557,1.7425778994883956e-05,4.845745368375898e-05,7.873111846468106e-06,0.0097928905345821,0.012123629093539923,0.0013219801892279115,0.00013646242135889608,0.00023524331277668953,1.2148985201632101e-05,5.6428097923388876e-05,1.1602461478243953e-06,7.5821283171961795e-06,9.664694022637477e-06,9.377059861925829e-07,1.2240120812245792e-05,2.3221107303683652e-07,1.8144221993754428e-06,4.65815330752406e-08,4.041335441617999e-05,1.719517547238425e-06,2.4832528149332234e-06,2.1107954960353226e-05,1.3263191608881009e-05,5.002138344978313e-06,1.5271351596624072e-06,3.5481186944075205e-07
C4,0.0,0.0,0.0,0.0,1.9511376442083272,2.6803877678275825,0.09249343345798988,0.07593186719972378,0.177885434318947,0.02617031924549998,0.04297135090098078,0.0002866487442767518,0.0068532117452025365,0.00011932421611282606,0.010701963204954257,0.0004974743491472644,2.642492056632557,0.2813333477459676,0.21248524413738523,0.010557233561250934,0.03469130567265141,0.005538505618250533,0.00337057128821025,0.00012606191220143614,0.00037500385354136134,0.00010176029634689776,1.3734197478632026e-05,0.0012312837030374335,1.57831718323731e-05,0.00021557744292555192,3.117139915254086e-05,0.0007765943200630232,1.0467998584173799e-05,1.0960332825105112e-05,0.0016742800700668692,0.003572004801491363,0.0006997779348455468,0.0009102599017549035,0.00018314002066310842
H5,0.0,0.0,0.0,0.0,0.0,0.07898376421665554,0.0024419854196389146,0.03016932004928341,0.015932949164802812,0.017366791008113114,0.002112911937969253,7.486126253364311e-05,0.0016160415639316916,6.012663687937625e-05,0.0012890021212538239,6.96244904201393e-05,0.10148163587190306,0.027529553934914963,0.011828222756304463,0.0005405307216752586,0.0013021592624169465,6.997842135980648e-05,0.0004879794172366614,2.76283236955166e-06,0.00015458468065276953,0.00014512063201599368,1.2676998741412149e-05,6.624896410500902e-05,1.4590801171721068e-06,1.6924621372371718e-05,2.779591584900487e-06,0.00016281419302266453,3.966998820770229e-06,3.4484768065556892e-06,0.00016015862531859604,0.00039138915600189783,5.560739361432088e-05,6.191066012861679e-05,2.3051984840982698e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.993441130401442,1.9674014190239408,2.917260560709224,0.19312555981610063,0.24538487510524293,0.004188743411238205,0.04787873259489603,0.002373158088808669,0.04490865572539485,0.002453329672793325,0.16707843497706765,0.03793735104701386,0.025817007646032286,0.007747931319340595,0.002708124043843796,0.0004450958756533341,0.0008164508918135638,1.0904482319773479e-05,0.00011311882470102508,6.403011659594782e-05,2.969718124301579e-06,0.00013093745402652235,5.843910384717432e-06,3.087327007045282e-05,1.3908733391687633e-06,5.5140506228928965e-05,1.2296435412118e-06,1.8526373297689247e-06,0.00010257334340724178,0.0005858796578703529,0.0002843139782939541,0.00012337483139022998,3.260861655696168e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025052745474509308,0.10677801115069108,0.014191088317389244,0.04076493503682155,0.00014158401322750258,0.004283177856531317,7.257374190383636e-05,0.007524929008167258,0.00033840708790022767,0.02675389390192051,0.003691797580420708,0.004193913412884109,0.0012501922797170106,0.00040416562281153645,0.00015244850707762936,0.00012782022837687368,2.1743752049996345e-06,1.88666765740253e-05,4.568955837669364e-06,4.533131314765626e-07,1.0057135674812478e-05,1.5095573904222448e-06,2.3185214015342126e-06,4.835391613777773e-07,8.74378047366342e-06,1.3489916517173128e-07,2.5224872857165792e-08,1.8179191196177058e-05,0.00016268126345653222,9.151726248013414e-05,3.191655006640204e-05,9.907571659306669e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10769043162583425,0.022963729166189495,0.010934964026690919,0.0017798891641258585,0.003533828118788662,0.0009186631847479809,0.0013970094728217308,0.00013150179992615918,0.013519154942140732,0.0017880340415805662,0.0031823662330194846,0.0002436123253437561,0.0002411853979424894,3.892489704138136e-05,0.00010900968387628218,1.4663053244934332e-06,2.2533285365833322e-05,3.056090859954175e-05,9.69808418460616e-07,1.580965306724469e-05,4.931591814916203e-07,4.826662983070662e-06,3.463200204389949e-07,1.5570900261829834e-05,6.251636162080132e-07,3.501785863502249e-07,1.4040694793271413e-05,0.00013187359987187897,0.00010248375814969624,2.241294233329416e-05,4.563571033289193e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.422813924284929,3.9110892561426445,0.11674113134026531,0.5415387791575759,0.03695396062416423,0.49794629642090005,0.02915999300302674,0.009759135971952798,0.00294852640085351,0.02574431805326438,0.07310066004957005,0.003217179424375799,0.0007334926024946675,0.00014003797866704581,3.244487859577205e-05,3.60744140495417e-05,9.355659392085158e-06,1.9471762566780626e-06,5.094212007131227e-05,1.0628761401454412e-05,8.7658347309727e-06,5.500824473703148e-07,1.2756279077152932e-05,1.7103144485108857e-06,7.305204801077991e-07,8.850642879698611e-06,0.0009197988174910465,0.003176630396122593,0.0003620572975743669,3.486692418452897e-05
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41959876663058293,0.026235229473168475,4.391625559309816,0.1108722092567056,0.538258312370688,0.03009352237368712,0.002342496815018108,0.001004335591685876,0.0031793477654175895,0.003573740293863703,0.0006212436400866161,0.00013482026156141913,4.0033355492644085e-05,1.684355735664944e-05,1.2521993777589446e-05,1.6339146949650996e-05,5.019108140214001e-07,8.923521104708954e-06,9.93984212049881e-07,1.891344284743468e-06,3.826168957221654e-07,6.230720659319844e-06,3.81062249754649e-07,3.48801407756838e-08,7.288256846260666e-06,0.0001624585699852854,0.0004250461289500851,4.5337042522672344e-05,1.2255237169411792e-05
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.989205013213038,0.6117063289486581,0.02949597438514706,3.423756572254423,0.10841677471003486,0.0045284009509802825,0.0018209172279493452,0.026260631073220603,0.06861826320708664,0.002726252429113424,0.0005283815059619057,0.00024458315809952613,5.2430619362109354e-05,3.3765414198583255e-05,5.5637333058466965e-06,5.1195913495227785e-06,4.0736619696710163e-05,1.1116947108424924e-05,5.902054826423253e-06,1.5922729903472543e-06,1.079521652952442e-05,1.0583583096579474e-06,4.668151432074552e-07,3.4914522890616695e-06,0.002847479999474656,0.013677184619785676,0.0009914021651210858,5.282597994982208e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03006502483810869,0.0008564794374048557,0.09743569203330305,0.004636322800314341,0.000101628635319706,5.3151373870408136e-05,0.0008375736684118618,0.002361474111683748,0.00017392695533668956,1.4534047752423618e-05,5.317448758002108e-05,1.9844515579681143e-06,4.444210629062084e-06,2.0473956241495728e-07,1.3542073959982304e-06,8.187922489244492e-06,1.5255921517187687e-06,9.189562861777745e-07,1.3920195245376021e-06,6.667756798917068e-07,2.9221528285994225e-07,1.5878180548156706e-08,2.3642594815243e-07,0.0027855196469224186,0.017982848118416106,0.0009520438522223618,2.1106512644974984e-05
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9483395491291446,3.505653357478012,0.11765498301615829,0.0012320000554559285,0.0007317326587204798,0.005261404890499505,0.00832626817821025,0.0005836430569888251,0.00015418463134542204,2.905191939356344e-05,1.4228739651622746e-05,8.145683234955792e-06,3.554824786311528e-06,1.4127246847905894e-06,9.98873242608056e-06,2.353340983640706e-06,1.7342481306581448e-06,3.986895127372492e-07,4.780143161936534e-06,3.271004809235478e-07,9.600541495125015e-08,3.915778731711228e-06,0.00028934326212817774,0.0007484747649733753,8.503715626043129e-05,1.5044552817422563e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1024960000162991,0.004617324626492891,1.1239537864415894e-05,3.3692907870364053e-06,1.0531628777288304e-05,4.718028514916206e-05,2.6250150932938254e-06,1.2469104793133567e-07,8.713197179321952e-07,9.719990856638105e-08,8.324544076288021e-08,1.943593619380124e-08,1.842415775499262e-09,1.871848246404184e-07,1.5274213449600893e-08,2.096286255692803e-08,3.761710276606323e-09,1.034053798143475e-08,8.890255198679142e-10,1.5197798575172783e-10,5.342227549220979e-09,5.3559239914235945e-06,1.1301006706432304e-05,1.343032921541365e-06,1.528601560885079e-07
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7655582125609917,0.0008615219309758004,0.00032726200459938515,0.002417957583754682,0.0032071089247069917,0.00042483042997409903,6.117144845341205e-05,5.767727916350385e-05,3.7044148953446765e-05,5.237324901305462e-06,1.1260166834503593e-06,6.870296962446787e-07,5.728597964674287e-06,1.392162555458043e-06,7.455000223810515e-07,1.9963416253432342e-07,1.9990474816600212e-06,2.0590418103871855e-07,9.570145809156827e-08,1.1137796802618283e-06,0.00027930568866427197,0.00106109645510373,0.00011478082421094438,1.1881179400652364e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7874886713675764e-05,8.109397439781674e-06,1.9127985910083467e-05,6.107195727711456e-05,2.95297670260819e-06,7.478956465245545e-07,6.83135345291852e-07,5.378513709963784e-07,1.1952482992239055e-07,6.499276072879923e-08,8.36170666040914e-09,1.008996098894599e-07,5.85465234070881e-08,1.0085393187253544e-08,8.481530366921675e-09,8.618014490924253e-08,9.761275121533686e-09,4.771725237162627e-10,8.305025289701007e-08,7.262421423015475e-06,2.673567611755079e-05,2.7876913795132907e-06,2.1838593156076058e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.801949780111122,3.5244804347264624,0.1351245065679867,0.26716240840102196,0.025960805058969694,0.03387554441381982,0.0007710376686980158,0.0053049255868865,0.0040053499695986705,0.0001901355822129247,0.0055966899485731525,0.00010141334626578846,0.0010013091765226356,0.00011786691802084803,0.004205221962066297,0.00015621431114909434,0.00015532441805454766,0.007246347970218059,0.031959575996991035,0.005994780786860776,0.005123035256337935,0.0014097376681497797
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5442583854061716,0.024399955469964096,0.06860119747500457,0.05173172393004499,0.010722157668455398,0.0010499511879321632,0.0016229246949679005,0.0006942059402434975,0.00014260422660550276,0.0018241858573475878,0.00015733698496700477,0.0002235020149981004,1.9963588614224648e-05,0.01320302852996856,0.00023472113990830046,0.00032591593048070244,0.033477881087609296,0.011008842016250908,0.0032274566657096992,0.0017747138370709792,0.0005160823362158062
