 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,C19,H20,H21,H22,C23,H24,H25,H26,C27,O28,O29,H30
N1,0.0,1.863533317745076,1.8136331485745782,2.8272917428414504,0.08442900316092217,0.2053062999121184,0.007532331812733828,0.026244974165708257,0.08593678001774585,0.18694975279317616,0.2096247238934631,0.0553903302154965,0.03339725835046996,0.002632765866318665,0.006872363232854839,0.0005093277696931464,0.0010262052038494812,0.000220165836968933,0.00012233808839742788,3.397162242801954e-05,1.5956146144135985e-05,2.5941452901356854e-05,8.156959573564493e-05,1.9075381994637652e-05,1.134765107435598e-06,5.14686137598197e-06,0.0006649851215793923,0.0001361189991889722,0.0002115952161636514,5.541918797802303e-05
H2,0.0,0.0,0.02882571794306754,0.1043888271015514,0.010042667239195113,0.02957350318287766,0.00065104582254083,0.0017848175404657773,0.002854637472563093,0.001227509954539352,0.005320318916557043,0.0017041258687164884,0.0005070399595122899,2.4108254374155536e-05,0.000171104995961735,1.4237961321938997e-05,2.6773253448131307e-05,7.762606654804216e-06,1.4088961856062454e-05,2.281866237052732e-05,1.8320025212403834e-06,3.3916315334003855e-07,3.571954237280295e-06,7.693342585213259e-07,7.015192116099911e-08,4.1807826556272687e-07,1.9063087778325993e-05,4.650124528660093e-06,4.882702512087889e-06,1.1431779565196365e-06
H3,0.0,0.0,0.0,0.10203458894686157,0.031825116888825056,0.006472721657335034,0.0027246347242046998,0.00014165765377049944,0.0015642752127223991,0.0012475190420775384,0.02832730936816097,0.07369206130921668,0.0049266083643743075,0.0005948510538469343,0.000616294100771908,7.955772041490228e-05,6.427465392866427e-05,6.374375445039604e-06,4.647085668896267e-05,5.973825853766712e-06,1.0397526973182636e-05,1.633335514972245e-05,1.686363825681436e-05,1.7136188670274777e-06,2.956288078781455e-07,2.5101172602681743e-06,7.600542868080318e-05,4.8837115396049846e-05,1.0481154952390881e-05,1.6437065406549323e-06
C4,0.0,0.0,0.0,0.0,1.9698198290752242,2.3772276634355567,0.08815780092090897,0.0868861257891671,0.2188515423313227,0.03211609973973162,2.679810214012084,0.28290697797871095,0.22820192154394026,0.014594881091996581,0.035691968419822445,0.0051015849374704825,0.003769803985665926,0.0009085178317418396,0.0009615301121452396,0.0002798456635926261,0.00010568763919449609,0.0004456770377774255,0.00040751477618494736,7.533831682215997e-05,6.628036173239593e-06,4.5538449789717106e-05,0.003352890496069738,0.0004616311683018903,0.0009911139941303493,0.00020900443450100337
H5,0.0,0.0,0.0,0.0,0.0,0.08240864791387925,0.035506357359854857,0.006008060020830097,0.010752585040159746,0.00142138468491404,0.09444254791839635,0.025998922214171327,0.011026530709252969,0.004496411696069735,0.001731302228319187,0.00033462965890418417,0.00011389354296142962,3.742628638558898e-06,0.00010722509433069849,3.691566969044047e-05,1.9432043372846763e-05,3.416170932091234e-05,2.210672396596447e-05,1.311685288074571e-05,8.931123214317438e-07,1.2115690615210895e-06,0.00016081441793613926,5.5216984442552075e-05,5.3159241602429574e-05,1.7265231636365286e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9973772968475283,1.921088191605653,3.1617560912450338,0.11567802741917421,0.19073758182417044,0.039195004358620805,0.03130519652577293,0.003418613473676224,0.0032164923915062593,0.00020089398404365966,0.0010569292600479674,6.825507105356898e-05,0.0002727669681510392,0.00014317104900984923,5.741884072429926e-06,2.2226868952479606e-05,9.15208679665852e-05,2.229737496484141e-05,4.131964446818515e-06,9.920969129328938e-06,0.0008905085539349933,0.000450409730344159,0.00024400714418165714,6.558530190703404e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023783396020891967,0.11802517104156074,0.007228986705119844,0.011867089468257985,0.0038933661633451244,0.0009396610627772084,0.00019582448521671125,0.00012446746510508255,1.943742972576601e-06,3.280466175414887e-05,6.933387066698771e-06,1.3064779110227853e-05,8.481907606494588e-06,4.6766178849466655e-06,2.07500694404672e-06,2.7516639174995916e-06,2.157216171916332e-06,9.44699696248108e-09,1.228131680797162e-07,5.718118960773566e-06,7.313597896851931e-06,6.649173702744093e-07,7.356091802357412e-08
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10160269601442173,0.03514780925168459,0.0049524668006255546,0.0009365037310978819,0.004582145193562148,0.0034648363516962544,0.0003827873011859051,3.632583553958568e-07,0.0002431355861358675,2.3406776590739753e-05,2.1494813144173897e-05,1.8105111094790516e-06,6.707209168066441e-07,1.7182558693651373e-06,1.2332635117795476e-05,9.400267511949778e-06,3.82106300378382e-07,1.0551650042600613e-06,0.00031594221831232616,0.0010483275006248904,0.00012361540885041933,8.167251233537343e-06
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7252865857659692,0.04018999459622527,0.010044451471172514,0.006050512711803721,0.001277611835672654,0.0008544642906642419,0.00010325939442978882,0.00016562018726096195,6.359961317592422e-06,4.565557815891519e-05,2.7511072077546217e-05,2.5078541030509882e-06,6.82883536484713e-06,1.833459680189442e-05,3.0935079744498495e-06,1.1004370850109524e-06,2.625390124078031e-06,0.0002744583865645356,5.6960469046463125e-05,7.719799203594058e-05,2.0055111514816204e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00475250689335871,0.0012623797026913852,0.0008400080698834911,0.00033352676241027446,0.000164960211617049,6.344431978888565e-06,1.4085995100998616e-05,5.101072086954872e-06,1.7682350409442549e-06,1.9968727524855012e-06,8.437936949157177e-08,8.404981644005716e-08,9.185842472225758e-07,3.2055451404389146e-08,3.242853474638707e-08,9.775774834075435e-08,1.8664567680848343e-05,1.5680554535713043e-05,4.79026465893817e-06,1.3381622461228204e-06
