,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19C,20H,21H,22H,23C,24H,25H,26H,27C,28O,29O,30H
1N,0.0,1.0182239559364021,1.0223530636673848,1.465392034466141,2.0920090598993353,2.425242650582929,2.736654564902942,3.38764959585614,2.733993850401291,2.1347032513217123,2.4927060920166944,2.7863730019076693,3.696441469519565,3.9785814060013878,4.953334340030711,4.944011594716542,5.806462713107835,6.743558274256209,5.448593092101499,4.651886110868728,6.382080340378183,5.391346909225249,6.34758720520785,5.691352197763504,6.925691041827969,7.144421614984536,5.958620311678044,6.032838715546812,7.087377028477984,7.740250088987618
2H,0.0,0.0,1.6280883457226167,2.05320986152815,2.274861162170807,3.295613057606593,3.7186053252370335,4.152374473213216,3.5221505043691175,2.8766780850852247,2.8855994012177826,3.1519947728959754,3.9759638137638644,4.278468475922194,5.223841813718919,5.300231303041625,5.8240791370883365,6.815781015268922,5.280983301514241,4.356616552518779,6.102752735370077,5.315508566621744,6.252385800067668,5.516225937928404,6.937995902638796,6.935296485666293,6.353695258719782,6.471838458785789,7.494811695010434,8.193312280190979
3H,0.0,0.0,0.0,2.0189923774265846,2.8906796003389825,2.8352267717645288,2.750061475459064,3.81744201702453,3.3581102930057565,2.786257999611684,2.4805120970014998,2.3034364177334012,3.8300117306350945,4.324693295105525,4.87993663934808,4.649609300297711,5.746934458475691,6.590339066036806,5.274344575074483,4.591167616261377,6.222759865102158,5.015591397860482,6.516936693867311,6.000434741288504,7.139786351276258,7.291098571129335,5.974807430789577,6.2210117462461,6.9734987304105305,7.6862740367714
4C,0.0,0.0,0.0,0.0,1.09663720346264,1.5502868507708576,2.169496542909479,2.1962560623614373,2.419567938230954,2.3729476277900847,1.5353994392795918,2.413501459941535,2.4567027105429475,2.5727073062329486,3.822446969643611,4.004208460833114,4.82727214341168,5.766853520910506,4.822722801900917,4.136041805712283,5.8221830735433535,4.917963208683158,5.266898014632074,4.638656090718293,5.699913587009568,6.175179046944177,4.647804600432822,4.608244942030205,5.853772729763299,6.4365416585624295
5H,0.0,0.0,0.0,0.0,0.0,2.153284437749698,3.0573598744174055,2.4685136781106647,2.6832448191701803,2.713865882434775,2.1764285366337934,3.2311428070081902,2.617374773139647,2.421673185378639,4.0706055784579105,4.510852042043229,4.882976395453746,5.902916540034699,4.949157385774014,4.160020407731941,5.856587245577696,5.271049643519516,4.996237616192255,4.1965630939721645,5.401487664321787,5.868823749710685,4.808646318480513,4.606351473195317,6.104740106319705,6.631753593881101
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.104796613041321,1.0960112035290224,1.406897880344859,1.8932776229253854,2.5367475257843957,3.310949418475927,3.200303698041878,3.062150999863216,4.415054792133869,4.521181966521056,5.712231630280104,6.527426505869339,5.987564588551859,5.462184592113321,7.040280275010578,6.00845294800724,6.167937511282382,5.635121678545328,6.371008650807654,7.179343307711045,4.817886851985379,4.544568235575166,5.978346571274751,6.387854730693371
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7772674293229986,2.0887418361453136,2.402622186636677,2.6980509087967315,3.0994701163162546,3.5156497264095528,3.610500545996538,4.489659294121251,4.333945119141119,5.883486333547952,6.58092263654288,6.115991403207034,5.715573171565041,7.20223793004435,5.944373506852325,6.579681904021146,6.193712398744252,6.7953134325300155,7.591458364142968,4.902792383119532,4.800013648028465,5.899441851087137,6.33662499786514
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0331212412479562,2.7912580740332493,2.8405456210282853,3.7871270071895586,3.0191354870260865,2.60653411787136,4.132647233763058,4.400714318671759,5.488016528536687,6.249385998298866,6.037447773866017,5.617289741864471,7.076477425600954,6.167915761143072,5.802897966621809,5.321866795709442,5.826833119859188,6.863390511512665,4.210770360678319,3.723271330635651,5.394425735666178,5.673813601119861
9O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9788655350071389,3.7671517194554927,4.501398907759763,4.465246551572171,4.200371722207322,5.762517323405682,5.913778349275345,6.98709682888332,7.855702244784103,7.188457197341862,6.542200811120265,8.205520029309097,7.2493832207040425,7.303104498091038,6.642993162672983,7.502018646490258,8.286761188411537,6.129521744137518,5.718697135623948,7.3221611342949755,7.6726568312833425
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8049172805826923,4.380167909270095,4.722807983805485,4.610966578678168,6.053083677901805,6.133559170802151,7.177498829483186,8.084755315217658,7.16952143931082,6.441099810224267,8.15976920951994,7.178119659870499,7.554420122021733,6.8550736772315375,7.883440851010574,8.479206727935136,6.630565730986627,6.351664102651261,7.818331996786571,8.262377151843989
