 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,C24,N25,C26,H27,C28,H29,N30,H31,C32,O33,O34,H35
N1,0.0,1.9112100525868727,1.6111363944354569,2.8524806804806175,0.08632950533851191,0.20020624384516778,0.01269801633089196,0.012930386819056339,0.03415366963512412,0.002560678250516202,0.0005191168101359445,0.002970636889503428,0.0011150113550601193,0.007581821423815284,0.22624507901211655,0.0590151831939878,0.034021573048589646,0.0022178774274936863,0.006934110410220171,0.0002148216572911421,0.0013937917004976444,0.0002827833142978742,1.1593261314057912e-05,0.00012337542241287747,1.5312177350887413e-05,7.983063941030544e-05,1.2583441504010473e-05,3.326419814747572e-05,3.470048506315493e-07,4.387295127306068e-05,3.139991425360478e-05,0.000793100208435607,0.00013941534318615,7.944107574547887e-05,1.0994376759887459e-05
H2,0.0,0.0,0.026374678555784126,0.10114143861925162,0.008219540590309826,0.032119873908843855,0.00044028067990242725,0.00143049791687333,0.004570861454239239,0.0008800546437954804,6.050139596136539e-05,0.00013782039445220384,0.00023905854411876426,0.00026096197554548173,0.007879688831829212,0.003965422405075469,0.000445164626677097,3.0450769498369112e-05,0.0001453210693327378,2.9755535382314235e-06,1.147723856831373e-05,2.3675943578993497e-06,3.294199264480824e-07,2.1730858913437956e-06,7.657961330620466e-07,3.853127093833564e-06,1.9160090780623307e-07,1.9177817105475725e-06,9.229587316639254e-09,7.048066802184394e-06,1.2532537606135818e-05,3.622210478837484e-05,2.6761907359285075e-05,6.817286581028981e-06,1.4685725142626893e-06
H3,0.0,0.0,0.0,0.10422061338993382,0.033238607795451625,0.00847367759583928,0.0002289484063824343,0.0056006160743884426,0.0006250962682641248,5.7169250419430995e-05,3.3842238713166495e-05,0.00047725731736492083,0.00021143168892145958,0.0010439249809097717,0.0250671241554854,0.07024918644211464,0.0041688352675125495,0.00032080021739333553,0.0005497762957829,4.318314455797889e-05,9.211565142686062e-05,8.531990432381065e-06,6.088589636910058e-07,3.697555010317988e-05,6.756965381882196e-06,1.586822422583456e-05,9.594899355036546e-07,9.225901289378058e-06,2.6779539696875077e-07,1.0182878646625149e-05,1.1130819805638126e-05,0.00010669784564554252,4.325989711806422e-05,6.831466600965008e-06,4.1656491811536966e-07
C4,0.0,0.0,0.0,0.0,1.7840950253867358,2.6203377889311934,0.0969410593882285,0.08377611719990541,0.14238392779410133,0.028604349398819284,0.0054633013078162485,0.01853622853012496,0.004503155374023557,0.06074576980447327,2.741726940780301,0.2674819001014891,0.22466203367386448,0.014860693153571969,0.03586617858629412,0.0025290393399541866,0.00400342051187727,0.001333828886622035,5.1622780420368386e-05,0.000583606630203598,6.287309476155079e-05,0.00027979514456266674,3.5209571230376824e-05,0.00013219017394036636,1.9833363669174986e-06,0.00016401724680403795,7.285298695203224e-05,0.0052393268569660145,0.001014351761832774,0.0008688056163944913,9.881964961344636e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08283951859507832,0.007823506323260121,0.03186767848388716,0.003776723646199631,0.00013805406332356718,9.590551180238549e-05,0.008199288071597977,0.00302288728658906,0.06336007628757534,0.10186538667343403,0.02305133277031024,0.011981152953683072,0.006244790436695569,0.0016311399758617284,5.793874024129231e-05,5.239580029914315e-05,5.206342030605882e-06,4.836806660302173e-06,2.9321047001040768e-05,3.0198724847441127e-06,4.1192069675677345e-05,2.3576490788546067e-06,2.3308229970764316e-05,3.2926652027143177e-07,7.6984040490502e-05,3.9763421901373164e-05,0.0005722873537628015,2.7205888028070113e-05,9.523224926100138e-05,2.293015554166722e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1626490918754726,1.8792752895775926,2.5866905425742215,0.09670386049250412,0.08632987245046353,0.1422002339128622,0.040401205458139175,0.027922951611827534,0.17081684061712699,0.032117982223922814,0.027456798784590675,0.00047499903860903636,0.00322062530229672,0.0005573417482971355,0.00026227819773279315,4.303028699981226e-05,1.539592455701566e-05,0.00013484004219624368,5.784426165650336e-05,0.00036389920770404927,0.0002564679658612068,0.0001366306132891404,2.2367997689620722e-06,0.0006638704859905642,0.001023162700586333,0.0014639235099623005,0.0009014100651594942,0.00027228016249727927,5.4062612763194906e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021442702770323896,0.08272852022910504,0.005598404818193181,0.033044115242697236,0.005347196419572597,0.0011241454116748262,0.0012487940574621437,0.029042505622936865,0.00472188867730472,0.002923087297278526,3.592012288877733e-05,0.0005245571377479052,6.996550696425352e-05,5.0291876972030636e-05,1.5641094380347553e-05,5.980975841257674e-07,3.211096130573132e-05,6.418828441878688e-06,8.461188135866493e-05,0.00012728612637147307,2.7816310723460802e-05,1.8896697806525253e-07,7.77080695602006e-05,7.656193040883608e-05,0.00023637632641793083,0.0002773667533000346,3.6687274239222134e-05,5.081310841204001e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0906104443006619,0.004210681241606284,0.005988389588323262,0.027589164405067645,0.004086019744688585,0.003173142665147788,0.006384989758999149,0.002382786067893772,0.0007491635752496784,0.00010896395105186585,0.00012606203690346263,9.19923605202655e-06,1.7084877331541293e-05,3.8754073417024415e-06,1.1894150262481418e-06,7.790853745470727e-06,5.531845580941663e-06,1.6258447844030854e-05,1.2380605340922557e-06,1.5306603641906946e-05,2.7126590196324685e-07,0.00014950786465206534,0.00036494066924297464,3.994321801248368e-05,2.149100684012417e-05,8.769015475973418e-06,1.9068928212018221e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7704357201963388,2.0978847959821607,2.641427994023045,0.28480098988128566,0.2783782158435394,0.01547580253376793,0.0031083347414770646,0.010611050904198116,0.0034574218536542745,0.0009553886420518298,0.00033177710399789895,0.00013667394664747257,1.581885453960652e-05,2.4530137509692906e-05,0.0006162965214270566,0.0004102039087167525,0.0025797303189024068,0.0014322654845289051,0.0012479211145078328,2.4276190026650823e-05,0.005985185069576057,0.014597764731602125,0.002148575084138349,0.010277053658527519,0.000977611383794319,0.00017544440251726634
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02511064733919377,0.08975775641428463,0.017694683180855986,0.025717629269040865,0.0017688189652400599,0.0006167528302553071,0.0008831872612364844,0.0003091763428642036,8.678364414671513e-05,2.1382955472271092e-05,1.5032525672031838e-05,2.138389274763952e-06,1.0708017581517737e-06,2.6269886354901573e-05,3.452656774416418e-05,8.559703537258656e-05,8.515272197096024e-05,7.26627340710273e-05,6.783986410408005e-07,0.0003759798667870573,0.0003085602012300459,9.719448173517442e-05,0.00022110390730889495,1.918205915352189e-05,1.4723327250276697e-05
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09557886390804415,0.02182760637531478,0.023131321785980985,0.006205237306389888,0.0001235542244260035,0.005676479627090281,0.00038465645530405546,0.0006572640718482958,0.00022904548928659452,9.798135869887314e-05,1.7407639093747207e-05,2.607157566725249e-05,0.0002551465154589927,0.00018535363415073114,0.001525861434518827,0.002236191456112424,0.0001726110096349487,2.4195518988356923e-06,0.00048180673450026745,0.0001921646463947102,0.004820255202301782,0.03318440882806617,0.002081847520161828,0.0001019580031018652
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5178108350328054,4.539721689935516,0.002645765387500887,0.0012166854592425835,0.017180074299629033,0.03939801698083267,0.0021892712527469826,0.00047131738210515195,0.00044776541715918494,5.920260343139638e-05,1.608468325953183e-05,0.0028541225829663286,0.0036430301102369222,0.022781774481851258,0.005030531149898598,0.005453258394446603,7.61961724780047e-05,0.031221373444357436,0.046819668057270114,0.0002716622947941949,0.0007373396350425221,0.00010626100100441516,3.509900093623397e-05
