,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31C,32H,33C,34H,35C,36H,37C,38H,39C,40H,41C,42O,43O,44H
1N,0.0,1.020680810586833,1.0218455518062741,1.4623993670977262,2.0775930575152106,2.466118398754589,2.429858870609222,2.9219782031757107,3.7821087553700994,4.326421500590934,3.964912652720259,4.885195885125744,4.984883238801775,5.683824189897491,6.308734663114022,6.122766075249489,7.006042842766942,6.461551976901477,7.803841867889019,8.078173548922653,2.4911514053357666,2.7538531330673663,3.728641860910935,4.030378021122266,4.932887534276673,4.871035704374238,6.111772743597886,6.9585840446201805,5.9774563966605045,6.711848667250797,6.605541976513555,6.054172785011747,7.729023765769129,8.083970540424492,7.5172391252074915,7.705488076806757,8.523793612347557,9.393596482584377,8.429978027305001,9.23442754072371,5.5977403738820355,5.435523727607788,6.778960440083907,7.263973250596101
2H,0.0,0.0,1.6037054566138966,2.028934691447821,2.3497779726275057,3.352851050483523,3.4123392385238906,3.810020590388728,4.549066237016568,5.005309801483872,4.598264020319505,5.611112847063962,5.703132265251543,6.304820334238306,6.869121972239056,6.798851242230335,7.664673676910643,7.0991295473642895,8.405330213329838,8.652999693948038,2.659607999965673,2.7084104717544917,3.877258019965343,4.325005964613285,4.9770176305591125,4.749902933513375,6.053519994995219,6.861403279854742,5.76021116754166,6.8049240482092115,6.701433499559945,6.039368020695742,7.928504725609212,8.274510294874952,7.722160720937182,7.905043861272697,8.81035099152747,9.727843452205166,8.720238294645009,9.575718082145176,5.846011400147666,5.885638944702593,6.934115091958293,7.516664690691655
3H,0.0,0.0,0.0,2.020393150767549,2.9127204003077156,2.720469690081642,2.708629895455272,2.7829104642723714,4.191164176945476,4.961076830664157,4.716116722922189,5.1362774031065594,5.034360926195195,6.327152433896763,7.039777167064953,6.466643824915894,7.268768245352152,6.978486905896785,8.340411421779091,8.69604899906167,2.6129075273828817,2.5103298376038055,3.955027448359819,4.382423731919105,4.977052812171348,4.809539937431378,6.315769906500174,7.059314171146751,6.295356086305917,7.017033612554122,7.096563759183258,6.647391742751871,7.933854627508375,8.161413305449257,8.046157915933046,8.340384483971139,8.79573701599235,9.599912318842696,8.848124973527765,9.678121037729667,5.432283344998306,5.20677454287031,6.541455617636293,6.940391568652222
4C,0.0,0.0,0.0,0.0,1.0977751053084248,1.5598550465046144,2.1268811897757494,2.1852387143881726,2.5983739141903675,3.3051638251400757,3.2505478869199003,3.584814799575773,3.732128522086765,4.578457208388001,5.323956922692336,4.785692382121084,5.641628715215469,5.195141191576066,6.523696542569005,6.873676264169759,1.5460667826632402,2.4221907063126378,2.4845392185734947,2.6094357481554074,3.833942496000942,4.041492083421394,4.935781634674457,5.858370317517957,4.905542543195032,5.3606438691047735,5.2283456428004085,4.769190299559482,6.346912395719579,6.7687559850651615,6.098958804499306,6.335354782062492,7.083725457779911,7.95920736635748,6.975363521387632,7.779774277069254,4.512949503930306,4.3429296545638705,5.782909320455983,6.289589568330763
5H,0.0,0.0,0.0,0.0,0.0,2.166998886378122,2.622902100203408,3.0476388423620224,2.656625227878133,2.9257721996783395,2.74956289305858,3.731904528889807,4.129392623093781,4.092783702651406,4.698290066510332,4.7065287791597115,5.6276965863796224,4.855933779716533,6.117010632214529,6.355312841467295,2.159622521297398,3.1598663110413465,2.6767526946645144,2.5878123561808617,4.098085398919411,4.3962366437073435,4.898381011606457,5.909796001368641,4.700644296297889,5.181533744231175,4.7850860674003926,4.1694744804817105,6.286511905288533,6.856396717306762,5.602381031090852,5.6886527057410765,6.931467036807948,7.881329607009662,6.63297912794843,7.40286715467106,5.005335347826259,4.953175455555509,6.267689069234625,6.860233780891252
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0959954227860094,1.0970239521188863,1.5160693917181702,2.5303986318531027,2.7244882485572175,2.556121670184511,2.7640194818017054,3.8227861716357174,4.687396310537567,3.8403961715775616,4.719130379678154,4.338566524577922,5.707962999239835,6.113656322791109,2.5691311132600863,3.4513732920498255,3.146156414450878,2.899799237786979,4.422369099746338,4.8709874441892325,5.554189969215746,6.468641348359235,5.771632982064285,5.664690798899766,5.524021634562469,5.3034910893978715,6.388157098235807,6.816350434297949,6.118500293317705,6.346303685106617,6.911487903227277,7.6669796254764995,6.788574814849864,7.460496474273385,4.653003875419099,4.08801180050385,5.991140816011706,6.294191383784884
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7631971294263793,2.1464817089297283,2.7184082593671985,2.5634755263079407,3.3437925209247874,3.6557825422940757,4.071205221659207,4.781821366294082,4.515961568201796,5.45343462722302,4.809350982027454,6.16123522484874,6.447861725067152,3.4264561763976054,4.162460104940532,4.172209564813756,3.943690139952088,5.473874308804117,5.844276593887477,6.610005233325294,7.534780602696021,6.760004027564136,6.719074421857035,6.483618135695061,6.1918998805606575,7.455116702919774,7.90335655627423,7.007359571961696,7.122180814118511,7.9178995457715216,8.663307518705096,7.710429731276993,8.314584906874359,5.710405024593608,5.1008187300793235,7.034833140606959,7.305470640323159
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1557531197923816,3.4113444389656196,3.749073316286975,2.6709723636381337,2.4498913946326635,4.57866502464893,5.528820508668541,4.054317514967972,4.754569187329054,4.837206232439904,6.175197369735097,6.702375301007551,2.6545354623996085,3.2844591204861704,3.2526270328817177,3.1617352340776304,4.277830225818743,4.681578951519582,5.575746175715278,6.367811361788997,5.954213660741536,5.769876016299353,5.878960561937712,5.806724110464909,6.330166320591339,6.597093043315562,6.508336828874397,6.885218171797192,6.921127359030069,7.575197575206898,7.003585219788874,7.700810188698807,4.1806622609609825,3.4489905633041307,5.462109237806979,5.634681409222702
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4030090250448808,2.157882999129136,1.4045754052844381,2.1567888261967254,2.4398432018528338,3.4233626011756315,2.4411268232636605,3.4275723351123157,2.822635200739653,4.191909594144954,4.620572770176077,3.3716261385445168,4.474590066927983,3.339324274952845,2.6439842660412296,4.571373957511882,5.298137389028337,5.381508907468442,6.355591459144883,5.667434710831012,5.084256921361298,4.726861700385069,4.645817561143403,5.691327824707497,6.283480179846232,5.028385726800492,5.165832783107387,5.94724697994433,6.688961311612265,5.639887782679535,6.187819223333474,4.76486559719829,4.1640402568706625,6.107857982901228,6.395650611714343
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088342689964467,2.4036760608524927,3.39180746972073,1.394220653220063,2.157369479194489,2.785352163257692,3.870601847261032,2.4177271612841467,3.688522507059592,3.8344020665602545,4.332160472831744,5.488357896309648,4.263139272807306,3.47933303603564,5.56714142737105,6.3021152809488745,6.137511520217416,7.181198224597678,6.256891416809504,5.681049926246395,4.9843607583249065,4.76140298268521,6.369947486028151,7.120694076592291,5.067399299505823,4.9034168598026024,6.43859161798112,7.2278880019253355,5.830079774574658,6.2315913551681295,5.964873723321987,5.469282830114019,7.2928162317426,7.644881782387218
