 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,N29,H30,H31,H32,C33,O34,O35,H36
N1,0.0,1.9303470155010047,1.890206261756488,2.8562032506967356,0.10051151597315733,0.19323689228636284,0.0248204799611913,0.0064876505563968845,0.09957578001141189,0.23412403216727962,0.1651156918225186,0.038573072636534575,0.04711691345870726,0.06022914259704171,0.006052679361782415,0.0007521689159015743,0.0012779925477008625,0.00019484553523685388,0.00015173842520488368,9.833389846664042e-05,1.3455381132843058e-05,9.788508710806276e-06,9.609850364608596e-05,5.428195307910499e-06,0.00015718551831345184,9.841257927312164e-05,7.960967185693946e-06,2.4324122252727953e-05,0.0011291691522979513,4.5624467113980494e-05,0.0009598936402004377,3.174796176586003e-05,0.0009409938592195577,0.000903210028249099,0.00018288009431630114,1.0684629045520921e-05
H2,0.0,0.0,0.030758526662385988,0.108076858893703,0.00567748003099644,0.01061013471094463,0.00028589848327897904,0.0035687590611588327,0.0015024137351914435,0.002788162291748497,0.031041246483143325,0.005875207365709012,0.00459392581669571,0.001851783432940568,0.0004718373507556217,0.00012379504789516993,0.00017972373768793126,1.9193018292229524e-05,4.205954669278533e-05,1.3472372816902833e-05,4.223232032529722e-06,1.1364435026361974e-06,1.356315269018804e-05,1.1849249270667883e-07,3.670419460477525e-05,2.851882495491509e-06,5.210571978331302e-07,1.241446184518935e-06,2.262819975573649e-05,9.670719292032004e-08,2.7307693970746172e-05,2.584778293623913e-07,0.00011101304944693968,6.64909763665733e-05,1.2200926590932859e-05,1.2711107841845148e-06
H3,0.0,0.0,0.0,0.10189858310369249,0.0037699911310014045,0.03350628566706293,0.0016660440469578042,0.0003392856622685958,0.005324428337020959,0.002261250047767227,0.00941744514682119,0.002076764521131702,0.01635277765760257,0.010729916389478955,0.001176573540471182,8.868891322078021e-05,0.0008438859755639516,9.567700460988426e-05,6.803382004649805e-06,3.5050696923000224e-05,1.8588646613304505e-05,6.340518813985341e-06,8.846197478962203e-05,9.716643256885149e-06,3.689023964192906e-05,1.610840011856407e-05,2.927969616317583e-06,1.163354328648225e-05,0.00012932990128400323,5.641620008045578e-06,7.426082051553706e-05,3.2845796946734396e-06,0.00013879847678854862,0.0003054624939703432,3.0817073581768106e-05,4.146174168218053e-06
C4,0.0,0.0,0.0,0.0,1.9838617956964182,2.6889718292316847,0.08745123078913442,0.09118329732231856,0.1895394848384035,0.03629910272656722,2.657049277190828,0.30576080542641026,0.2194606415879305,0.011624266116485593,0.036479194237596047,0.0020159669660166912,0.0032727129097494534,0.0009186323447933908,0.0013978465248261074,0.0002820989491638115,2.1021147656341554e-05,3.169853243800702e-05,0.0007886946804418205,2.668105532510623e-05,0.0015161054010102148,0.00028228762156976006,1.2297212673706426e-05,7.167253284379171e-05,0.0020994172140916395,3.0344216154554182e-05,0.003962334217519459,3.93517438699309e-05,0.004411812820974553,0.0003826509496707847,0.0012809186115483179,0.0002518871456930194
H5,0.0,0.0,0.0,0.0,0.0,0.10161465768974809,0.0024591082750142768,0.005712043260170274,0.026203784785284845,0.006614870007755069,0.10943160081770476,0.020184881714595537,0.021902265438630608,0.0028522798699934793,0.0021865523632356165,0.0002704495179284283,0.0004228697915722446,1.735714212847128e-05,6.688827778944528e-05,3.7728033998041255e-05,3.828866469435255e-06,1.68065221273217e-06,0.00012483342291269572,9.441338231219731e-07,0.00038461448267423926,3.6133329383236656e-05,1.2471850567852272e-06,5.27905249114724e-06,0.00024936111240025927,1.0307865605962974e-05,0.00021414691988708157,9.28339855921223e-06,0.0005725650309564845,3.498207184193802e-05,0.00015495462811909722,5.3060604253030164e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0603225227867874,2.0801117283281414,2.895191744713657,0.10283010652083202,0.18861450276978795,0.048009119598869665,0.027368177303103036,0.0008151854349458532,0.003427825416399022,0.0004883902641467097,0.0008860049911047774,0.0001606057426823959,5.5245365674805313e-05,0.0003183244051736811,9.868489611486453e-06,8.79869006580325e-05,0.0021561736620265004,9.723575287123865e-05,0.0034926993057866618,0.0013557250076159377,0.00024679897496904246,0.00021696267100557165,0.011477293927734916,0.00039288508614310214,0.016328610773218233,0.0002978122819397022,0.0004075881123301317,5.0591819076309386e-05,0.00013133243149859863,2.1014097504434837e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027217526624652377,0.09432195527259424,0.026021545635088517,0.017763774940201094,0.01861841400367026,0.003568830295913372,2.8810007844937147e-05,0.000286412034265382,3.186260091281312e-05,8.964205576389439e-05,1.4877658129686111e-05,6.560562588076024e-06,0.00013042173448374328,2.6756249400516907e-06,4.2357559861594396e-05,0.0006126352652844336,1.2317294903363418e-05,0.0006550705004690904,0.00019150431350367647,1.7637611766652128e-06,5.764263507734846e-05,0.0007924821127358594,2.582262405326219e-05,0.0007329952742147761,5.6269261685226724e-05,3.5642275204805784e-05,1.4836846846888463e-05,6.5757930556298305e-06,1.8733531808035053e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10481444982101917,0.006046567439171202,0.028945983321033486,0.004860136752624755,0.004055897438177469,0.00018688740223105071,0.000923363566684543,4.8252779447643945e-05,9.151799510709324e-05,3.058526602761624e-05,1.2003402959148701e-05,2.967428318689791e-05,1.4559197392127743e-06,7.954118181885406e-07,0.0002645261012532707,6.537668752137904e-06,0.0010300829880531825,0.0002394259582789715,5.0059484581588265e-05,2.645330488526554e-05,0.00121964253521889,1.0891992208605927e-05,0.0019999159029620017,1.1849626905036104e-05,0.0001272250463171254,5.25478104540511e-06,3.867905392118676e-05,9.824472551267505e-06
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7374949926384415,0.018934567234092037,0.005299949593705014,0.004847820562822888,0.001156744224288686,0.0005896855232357529,9.198376572150391e-05,0.0003077821579837714,4.258785819810651e-05,2.9725760770538123e-05,0.0009842006427365907,1.904807485109128e-05,0.00029184094091749824,0.014131614275615684,0.0004008612379954313,0.025714294530271187,0.010403741189264584,0.0009526327437552329,0.0017429441731646733,0.14074949567054929,0.0012698824915787776,0.3595067133417158,0.0015237548839684978,4.621043510391609e-05,1.4807530283239556e-05,1.7732004331499907e-05,5.410206975309251e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002103336556931734,0.0005998834907886552,0.004116877654230744,0.0021073939743005976,0.0003104987860989006,0.00016201186040754045,0.00011362135393089279,7.982399865325007e-06,3.4370495558544434e-06,7.220405303021149e-05,7.837609696137449e-06,7.12547939185626e-06,0.00033301911459715505,2.8730950014654866e-06,0.0002810013197287464,0.000536212234731881,0.00015491863969696595,0.00011159321060660865,0.003696999151329816,0.00013138990611616386,0.0066270338184433175,0.00015744141178974935,3.245865026779704e-05,1.880202999304803e-05,8.973864557448863e-06,1.0444794196207141e-06
