 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,C23,H24,H25,C26,H27,H28,N29,H30,H31,H32,C33,O34,O35,H36
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.010296698163957,3.550640067710672,0.13713446071723556,0.26161208962309257,0.02199835041133591,0.029165464028909766,0.0030066296656132696,0.004603150274403944,0.0030997229666016313,0.0003207482539813178,0.0004961804274603576,0.013503357649789244,0.0005871418727030342,0.026503613325279618,0.0012779576462707276,4.6556593729984996e-05,0.0004294132896520697,0.00025473886338006624,6.314481174385378e-06,0.00015311541670370854,1.3960078577124335e-05,0.02813008797231431,0.007973730668874773,0.005670627256978422,0.0012193640689740493
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5686850031842887,0.025034831317662598,0.056718191624299724,0.017843415286192155,0.026248748494221,0.0013191314794613884,0.024109705615343646,0.0038333486171365366,0.0006329343107269736,0.00044116880448963336,0.007319359224764399,0.00014583093769049427,0.009699452891296478,0.0010044626779316806,5.9685063420356066e-05,0.00020372637653487402,0.0002404834704245462,1.18661724164415e-05,0.000181784924912054,1.6315589433157918e-05,0.006053784961854575,0.004021630758583472,0.0011294518463150494,0.0002771160452125221
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8237689723456358,2.7405770848680215,0.0950612873262453,0.16092512792255745,0.0247353524591013,0.004246753070462739,0.01948700105821627,0.0036484834275036793,0.001645097604334289,0.015392225207241789,0.0010779254195663057,0.01132780459872662,0.001228811925185147,0.00026721964029208234,0.00016657553132615188,0.00021831287831476642,5.377926292737811e-06,8.500438375380615e-05,3.4165394773966185e-05,0.19191644069426314,0.06991770853621235,0.026819432726769746,0.005345643059648131
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09432765301731849,0.013506291402728632,0.010696617036089706,0.00044733116111594917,8.134136278781234e-05,0.0007681059010382629,0.0003759102404481407,0.00010272965969737591,0.00017130129754849843,8.052614384190804e-07,0.00014838008395523516,3.623105213534927e-05,1.7542562713135368e-05,9.669883909158017e-07,1.541502273971762e-05,1.2742397781373427e-06,3.990003896836569e-06,1.0023415919491185e-06,0.040606383689366976,0.09973231391677018,0.006545236095791274,0.000195735693443444
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0426454411765267,2.408105731354261,0.10064397292253391,0.09627689605901346,0.15265213072385866,0.017551043955416734,0.021428317503007,0.010968487081208594,0.0004363194916034985,0.0010626338175163674,0.001981138572711344,9.997922140869697e-05,0.0001267736710246492,0.00042114659169777136,1.7492168030819322e-05,1.4086000628354967e-05,4.3596724882521976e-05,2.5995208519625925,0.2807482825613218,0.2181359387366117,0.052991242381575154
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0905534910755067,0.003337190270746637,0.007992118872135245,0.025130384666015804,0.0022698403742744677,0.0006293745287309083,0.0013359427467333207,9.843914434615186e-05,0.00015016098145759216,0.00043198265169730465,2.727735508312179e-05,1.3239927163288812e-05,9.61455311520032e-05,3.4994268964805286e-06,2.537300321403535e-06,5.879849611645227e-06,0.11030157280900799,0.030483486971595197,0.011086741267326783,0.000625854307319651
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9303978585501143,1.7537111966813688,2.8487615406062163,0.07714639468536366,0.086754597715899,0.17726365699892843,0.005062731527505804,0.013505374088104372,0.0334872747237355,0.0012545193223081341,0.0005730501201557381,0.0056119465082638265,0.000183219315140426,7.637133510940419e-05,0.0008100088292173346,0.19127936206355792,0.04329606106992352,0.03231070228099672,0.0021387331996336467
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027984914125871674,0.08516211829849207,0.001323633487825715,0.010978791067666416,0.021418690501877502,0.00011768822743740692,0.0011557356146376652,0.0033175804069303094,0.00014777844813695928,9.730918847350445e-05,0.0009115736492233406,2.266428322950098e-05,2.213318980115453e-05,0.00015684920884861953,0.01323486402610241,0.0021713905277120915,0.01634423160552656,0.00032240734420430073
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0810571318943416,0.025754151205540365,0.001283732637058277,0.022663451048101857,0.002980433362812951,0.0018539452296268966,0.0020917269167792796,0.0005429775286129868,7.31048934461409e-05,0.00023931123078946293,4.3564830199738225e-05,7.124059116403458e-06,8.113344741134121e-05,0.02614663493626379,0.004722942757105719,0.0035738951411879993,0.00026215124450734706
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9833965272307996,1.8913466036961881,2.7293228303083,0.08066655486633945,0.08299296117881028,0.18092260360934295,0.014687105695922464,0.003071099461341764,0.035488395124290875,0.0015620531561651996,0.0009958211980258813,0.0039053347100537206,0.018614678454457856,0.00732873444236197,0.0022883947669071203,0.00021910977509320695
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024326313185700554,0.08124155555374124,0.03028749238487438,0.0024521416954204067,0.015814663100749415,0.008220833369127822,0.00010642279270234312,0.0011750662455097816,0.0006388510734778308,3.5974310172104396e-05,3.685229137517787e-05,0.011817090824478349,0.009826416420081197,0.0006416879170663137,5.6056686653871424e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08842594035699802,0.008589616465286776,0.02882845885173757,0.0036929206540399218,0.0002113676738397796,0.0009801424586184382,0.0008306939926550072,5.509803359027288e-05,0.00038926630051761,0.00021829862079103535,0.0009501698947107506,0.0002159636392301545,0.0002052047585218153,2.5843685784732173e-06
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.010270718391751,1.9244019440367541,2.8713924300079845,0.08286523832345427,0.08167262805972864,0.16592832299583338,0.012184747886504699,0.011261405171786754,0.024953577163763896,0.0021126969033872234,0.0006889805256571763,0.000722216312822252,4.422149353366933e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02593074338622947,0.09438527917518003,0.03384592320680935,0.00817572553132706,0.004473886194066412,0.004452439573643607,0.00012120206540977563,9.578162193268902e-05,0.0006364506422418259,0.0002458182268386677,4.326940520049671e-05,3.054966841276041e-06
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09754371150879049,0.002847005932481439,0.02940956071577938,0.015117921430505943,0.0007065930930842956,0.007355473154169401,0.001880693685139212,0.0001300992604766904,2.5952625762770687e-05,4.6475397644352157e-05,6.527610313167287e-06
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9966760515468032,1.8226454547384785,2.715895326535393,0.07871977035268996,0.07727249199974673,0.07589045934163363,0.0001757221589671898,0.00011216513738843137,0.00011589778719554855,1.2733064911674141e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02646696125736825,0.09528394206933466,0.02902386766134879,0.006084558630596648,0.0043819571674537094,2.9456244633019324e-05,2.723861590936405e-05,3.7369752322602423e-06,6.779681938073878e-07
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09023272112470127,0.0042560000586064906,0.0208821350995263,0.0048279029189737255,5.3535254374015295e-06,6.484525356231785e-06,2.1856735397118854e-06,5.299237080258479e-07
N29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8515145575685312,1.4651386485754903,1.8797471105423982,2.6157328513826128e-05,8.339216037156483e-06,2.2092566414902426e-05,3.228439132807459e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031671102272816,0.02936772832319723,5.759994443299554e-06,6.664386589916305e-06,1.017556652604945e-06,2.4408427701239077e-07
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032803934620162734,1.0175466502726493e-06,1.75336819729921e-07,5.371206313053989e-07,1.8001515611487662e-08
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9687834368630206e-06,7.63430269667964e-07,3.719624211973027e-06,6.716483136326445e-07
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.287116198540865,3.45697497170472,0.16890248258337293
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5144947019332011,0.057750413696679104
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6361991851811002
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
