,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22H,23C,24H,25H,26C,27H,28H,29N,30H,31H,32H,33C,34O,35O,36H
1N,0.0,1.0207517563456652,1.0191934065724682,1.4720079318582897,2.170860988321198,2.415677127715282,3.3670980704938693,2.7608631398828716,2.6865659558578514,2.049814699460478,2.516238991028792,3.6418282996888744,2.7481436393767242,2.3278604337094,4.177824690275993,4.611928711733347,5.2182967616437885,6.166515588014322,5.393597088282631,5.316070845482054,4.985768586716743,6.401918956042445,4.993399521594659,5.815567613888162,4.057208686896996,5.3398980612862825,4.972592659050401,6.4263881448378575,5.206161354094729,5.777403849584155,4.235994323023414,5.762837382324345,4.660704880519165,4.266871584987289,5.958973075927155,6.397545655143301
2H,0.0,0.0,1.625583801318352,2.05859647764094,2.4337908595326523,2.6677099358092238,3.699682444668333,2.5872214874547477,3.04370656812264,2.4521316955688475,3.3948117425706585,4.419572461336753,3.7632672493962076,3.325998407228317,5.1919765887785605,5.5798558616501746,6.22332664316659,7.182765871197138,6.354229556043153,6.271252787915292,5.925876249607829,7.349872367857057,5.83434550896564,6.62986862946042,4.882286100183919,6.0429197567038235,5.659961891799396,7.125003908699429,5.709199928322222,6.270562533674518,4.683606993213699,6.155733376555094,5.639822398196603,5.168791977779302,6.933002089828876,7.330297577035274
3H,0.0,0.0,0.0,2.070771899881197,2.5198564310985447,3.3280920499163447,4.1806923201339385,3.7031818295832277,3.62521884569168,2.937496634394426,2.7170979384365523,3.856001188987467,2.6721046069717627,2.1544958334907665,3.94942513371232,4.267341809487419,5.216116831322378,6.052688090645669,5.48649703263549,5.507971079760655,5.112451490397343,6.585449368441249,5.455687873563118,6.301327454060798,4.572054528864076,5.93201724232697,5.503571150709019,6.9982601717580115,5.998764250045615,6.587453851715475,5.086362870198359,6.588437053563675,4.230522313461917,3.8009972791621847,5.468657358988217,5.8433197440637406
4C,0.0,0.0,0.0,0.0,1.0992722505000088,1.5378938757862326,2.1731931026985154,2.1802633627790433,2.427201163755769,2.3360167714044633,1.5430322195891724,2.396182100490466,2.4757087794215815,2.631219442826997,3.8543721465471075,4.1304669413130854,4.684870828813082,5.69129271084761,4.572201858741841,4.953729436590238,4.9367588999458185,6.0348249275575085,4.43150324248726,5.039672307319896,3.3681179475837193,5.0519732211067785,4.9913120818130166,6.13115922447445,4.820377854862944,5.153205628429401,3.8683129942919523,5.549082854111083,4.790165106798744,4.7607336631214485,6.007043433635943,6.637085826553005
5H,0.0,0.0,0.0,0.0,0.0,2.1475851290286356,2.538960694579095,2.436729898092345,3.35845916365942,3.3535755209062135,2.115279496584862,2.5807391333106113,3.217957752177235,3.4796151603678487,4.456329091375894,4.47775868050107,5.351472859377842,6.30148325092748,5.102309603831622,5.82799164178347,5.895886784394808,6.894765631394575,5.320790202001583,5.802004817103529,4.23948802444504,6.047422283163313,6.05901034872208,7.110009693207179,5.744267662123053,5.9589460500095575,4.791622738666969,6.486411549397405,5.454906641569311,5.516870742286495,6.582813122999297,7.2441526374483525
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0917916946086283,1.0978620682429128,1.4417012426885465,1.933844102255477,2.514853090279954,3.020597663153524,3.45442947570421,3.6129534910386965,4.7734502190431485,5.203202954943929,5.201750103808621,6.284589171565756,4.975134066060497,5.1135775224932125,5.190599720745559,6.11728569273886,4.155596093790604,4.649490916733869,3.125421443818776,4.477121000730535,4.570785880598166,5.516755613645225,3.824627171799371,4.056199485036661,2.817401381128399,4.4712154130961395,5.785798900539148,5.732571323917811,7.018242288897025,7.665623654905777
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78373243188801,2.0694807208279755,2.8059480357679996,2.6402938188869025,2.679944868906676,3.748078517375631,4.1588571932356455,4.8675489764755815,5.206175077010971,5.046067438663851,6.115541148433522,4.607090106723678,5.025508586386806,5.329654986206807,5.953807258768209,3.9251553171680404,4.16712706359235,2.9202322090468344,4.422961328685228,4.770492059848908,5.381058910360799,3.721260846134923,3.677208768382791,2.8742917967027903,4.481253670998331,6.079210003814189,6.224146299954294,7.212697036326625,7.95344319325403
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07808282819701,2.466576289684937,3.465620393811964,3.946597481306242,4.419363261280231,4.463865269657371,5.789249126193084,6.172050065282731,6.291981823061507,7.3713263907972,6.056078965930244,6.185248237055508,6.209307353534829,7.182190308037628,5.1862446950551035,5.655015998625722,4.18769429851362,5.348527568528422,5.394226716977119,6.361831758668646,4.495801685675472,4.706321272388447,3.467738961182173,4.977108285250633,6.735649562218202,6.585682808783659,7.993396570526571,8.603132255054305
9O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9849183819428343,3.0418265774838917,3.735279338446175,3.483116055045672,3.4187574858998384,4.739884948305972,5.437387862748299,4.993529890957304,6.073182653001567,4.980712149462718,4.499363293069201,4.413245584474383,5.442136130061009,3.482444663448613,4.162580407555951,2.6575036720893626,3.3850502181418904,3.324324288522085,4.4238262830531445,2.7196625461312216,3.2409763900493975,1.6659124471610733,3.246720679272262,5.537765683882895,5.326771750739269,6.8034725519396515,7.358490595195958
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0294666467703295,3.9806640363917287,3.188824468335966,2.855289261525551,4.515954258012204,5.262152764864403,5.00215961647883,6.041568687146738,5.173412955877228,4.536666616019737,4.2298191272658,5.523817745431034,3.8090025094735545,4.65860566647318,3.0272228534414922,3.689423058534067,3.340737905723314,4.74849842478225,3.3164547963449493,4.006657512675739,2.343865964159576,3.7514321911956086,5.083830743161676,4.69425346698414,6.398827295370981,6.858158262303233
