,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25H,26H,27C,28O,29N,30H,31H,32C,33O,34O,35H
1N,0.0,1.021844736391188,1.0234527734354117,1.4724645937744514,2.0974103364589145,2.459627677472761,2.618023175159601,2.6562006355852303,3.890634548434757,4.606558858079242,4.259766909256427,4.526774445118869,4.588210166892189,5.339533602398837,2.489999544422537,2.7943886959317683,3.6667621088645266,3.9358400041920283,4.88201402861554,4.964044482294057,6.083419958144004,6.01899640567197,6.982240100623803,6.569433239931584,5.875473241140138,7.3673088900476005,7.400831910214493,8.071774992431642,7.711568363093905,7.264435331636169,8.340378136513937,5.4787012764727505,5.487797478633999,6.54108012557686,7.0555858633572655
2H,0.0,0.0,1.6045160839675259,2.030545885407404,2.3033694307361547,3.332804291787067,3.4919851567617943,3.627327389323516,4.643030835461352,5.457467134827768,4.95349555819551,5.060118211718027,4.890335548276351,5.899135600637049,2.726187337083742,2.940057242019427,3.808323923335344,4.154358870379623,4.940048257835676,4.839977380715104,6.088278082363149,6.1230101634194805,7.041332405231648,6.340336758526638,5.541434502364947,7.151125922243117,7.060950407220999,7.602907880941467,7.459329881101979,7.127807848035812,8.02211708389806,5.737545666658646,5.949153351752849,6.68884800540054,7.302696987051601
3H,0.0,0.0,0.0,2.0070296810517685,2.8961580190188494,2.7889014563435035,3.147887414878398,2.585197531118281,4.2063824497802536,4.868143151735728,4.38157047476166,5.097249890304752,5.176361986492621,5.987844611632287,2.5040600043346948,2.3595546596368657,3.8336683075462217,4.314037172875364,4.856633912143828,4.85075224992698,6.220853883411965,6.281488038288997,7.023079699807988,6.803665034659495,6.208518162054638,7.6907106126875835,7.498901834173711,8.225778737790664,7.632543592755783,7.106443485467213,8.200495825281614,5.22497653731692,5.1938945374066625,6.185949754054051,6.617841166022039
4C,0.0,0.0,0.0,0.0,1.0950692979827357,1.5478316286869427,2.1302853000530875,2.156121014738317,2.6421863863576416,3.5420654027540177,2.95183065629162,3.190045682591188,3.1832635733384955,4.155141705335724,1.5443704090060728,2.4400703777453274,2.4344212583257185,2.525788346481192,3.7854905436330113,4.127792953475264,4.853943593469745,4.65891875512598,5.74998964559975,5.492183377621088,4.901955174376355,6.220456699954969,6.504993789063366,7.286275683818734,6.846402173420536,6.364348689508916,7.594403759553537,4.435735337854393,4.416285291608775,5.638223677419717,6.17515050951164
5H,0.0,0.0,0.0,0.0,0.0,2.14980754689868,2.4313304620333813,3.0462288513625024,2.8813057890541343,3.8264447623514624,3.338157077756707,2.8514118326908178,2.6365771096087545,3.7271190945740575,2.152385181154634,3.2203506678673346,2.553143412858652,2.3151309250661702,3.9688198411461397,4.341490014420905,4.744122496720328,4.425744356784736,5.73828085624773,5.178367982400691,4.468408019979667,5.7767363142609724,6.307879161990537,6.98690312726304,6.860002899030664,6.507369217396418,7.643565968253112,4.896981243158622,5.000611129218723,6.101027287120783,6.732736417068781
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0971810417610501,1.1015372950863718,1.545193868185654,2.1480753809739737,2.17073025394291,2.6109246410644515,3.2063046656162126,3.3907255334880277,2.565264194952531,3.3795199450017344,3.1940090596143915,3.002004582968248,4.467335931841585,5.066983880797325,5.43782659907401,5.036929131106179,6.19071363301419,6.360788096427136,5.938702631585327,6.989074647892963,7.497774622181557,8.395551434818659,7.740669865063528,7.136558744943347,8.556984963110482,4.737745325541922,4.320856951349741,6.055697205227702,6.402918589207573
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.762314169874881,2.1734927210986656,2.4422960373971834,3.071565446838727,2.8912946657309155,3.6626160139704322,3.3098324795451783,3.477470275086879,4.2806455791315745,4.120013343014735,3.796344353305429,5.464704071614639,6.035136083456964,6.350498479536362,5.869009416351016,7.153222935519769,7.170025370611872,6.652664426946232,7.731572647118794,8.356110192519145,9.18409231345156,8.698389962699675,8.145115963912202,9.515785835904211,5.823323555637662,5.40346890757265,7.143852040307655,7.500022618947508
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1713557615147967,2.474512652047624,2.4675593487085528,3.54450630235642,4.156540146306087,4.301097113131774,2.8300172776751364,3.2674372468370945,3.6718811224993995,3.7274892933842034,4.757323115247024,5.286213678795835,5.908478539137042,5.632654295717214,6.551319636346908,6.936123134600404,6.592037279707696,7.652994041181659,7.947537735723158,8.89919072272512,8.015554537866134,7.3188183768175765,8.77775328893366,4.724809609642758,4.159018110826135,5.965544653363009,6.180830866134154
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096254776548418,1.0967459316391213,1.5591441523341136,2.416950730831239,2.4038823084149987,3.142606814284454,4.110182232644218,3.138364439186843,2.607034766362472,4.231555679340835,5.096658321989143,4.864623329271844,4.243612944781192,5.4894158248679314,5.96901330847681,5.745777956426904,6.435248336630828,7.246630866529349,8.227079743855795,7.484231279936713,6.853261096457245,8.392152905701504,4.381009994882308,3.821100855897951,5.757505102049406,6.046340233236973
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7707187125455979,2.1621463744836213,3.28158924398259,2.498578426473739,4.1406338038542465,4.997369108250242,4.200849079829948,3.671792392347338,5.206236053332587,6.098437948889173,5.796735265878769,5.124154494312089,6.318424573344524,6.970953587955481,6.800820430711643,7.385032611688842,8.258093955149572,9.264984511605487,8.44142616267573,7.764236359691365,9.354359790129333,5.153104397325391,4.398552544186158,6.503851394408298,6.663527799861734
