 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,C31,H32,H33,N34,H35,C36,N37,H38,H39,N40,H41,H42,C43,O44,O45,H46
N1,0.0,1.6807657111541259,1.9140910047190394,3.0567034952207734,0.09898137575322952,0.19976667052915778,0.018579337741309043,0.009232715448504791,0.0320953357294579,0.0007497137069856219,0.003983307356748664,0.00018929041388382473,0.0004934508943177374,0.0011774282409025005,0.004916623407523413,9.003105087845853e-05,0.00010268879463337655,0.0011253832721089818,0.20949133383231003,0.0400262691921307,0.05054912471132772,0.07359853805210881,0.006468877322349728,0.0012446916412036657,0.0008952285978539171,2.230450466311762e-05,0.00012652961174808297,0.0003132498184620913,0.0002617081762226192,2.6439290586210973e-05,4.912496170658698e-05,2.843692566312228e-06,9.724551363943235e-06,1.2688491639656352e-05,2.4979213280040824e-06,1.9991518129813812e-06,1.1660549720099445e-06,9.613844177414066e-07,2.0267928835249194e-07,5.059082231334555e-07,7.631182019629534e-08,4.9147237723978776e-08,0.0013887642359732555,0.0008483385872671972,0.0003021108939907577,2.931721242616092e-05
H2,0.0,0.0,0.02827794307560061,0.10136570495356556,0.0040790610474581435,0.032333073683338265,0.0012968180118446693,0.0004978646567717071,0.005030879103502417,6.581866707722206e-05,0.00023641094319193368,9.233046334600203e-06,4.188992493214805e-05,4.930922628565426e-05,0.0012213276485275593,3.1533838843911255e-05,3.2860271229617766e-05,0.0002776223267424438,0.007414945221916325,0.0010676581262148988,0.007831795041153167,0.005637710291988007,0.0006254930180074059,3.5450626013178166e-05,0.0003861079647154986,2.2346033821118994e-06,4.321981897348337e-05,3.245159710052459e-05,1.163471565379659e-05,2.938813116637462e-06,7.627488119776871e-06,8.523358114853608e-07,7.380415072422153e-07,3.5511209528493737e-06,1.001227826646911e-06,5.569694702112216e-07,2.3456541597965952e-07,7.495160048165417e-08,3.2183792741946604e-08,1.9827905162195236e-07,3.854367491840094e-09,8.267681650409031e-09,0.00027135832095248613,0.000875006195878103,9.534054556881166e-05,9.617104150594358e-06
H3,0.0,0.0,0.0,0.10133976424105118,0.03502145032599402,0.017401751011942745,0.0006657488071146744,0.00825449074015383,0.001343231820412627,6.76073430068147e-05,0.001163680727836014,1.2211374399884178e-05,0.00016117866583753582,0.00033777832620907056,0.00013455089609581972,1.9920377883453355e-05,2.125252394669097e-05,3.303303162383031e-05,0.004487248365119378,0.0009134089544104995,0.005689895209556983,0.0109713555448816,0.0009290415570488708,0.0003361144175293429,5.544765289022813e-05,1.0182514234235995e-05,2.160365426284727e-05,2.4586885736810338e-05,1.4345458002384959e-05,5.105741241795414e-06,3.774444031323654e-06,2.3794661396792094e-07,2.639844665086599e-07,5.414988338836579e-07,1.8075092156344397e-07,1.7925551232256254e-07,8.475278467923175e-08,4.332407477214417e-08,5.212914988561579e-09,4.4033579782443155e-08,1.2854270980966476e-09,5.285429427459576e-09,0.00010107895590338867,4.572242146438921e-05,2.7837036923772374e-05,1.4027012851247633e-06
C4,0.0,0.0,0.0,0.0,1.9966507672932479,2.4354192322115815,0.09779787863937317,0.08384218746788119,0.1404813477259247,0.0056679719865362355,0.020318606011894433,0.0008290420236241047,0.0025059140746392927,0.007978908149779196,0.03193769194105692,0.0006385857130271066,0.0010517561598113456,0.004629231433559644,2.4194132599300078,0.2704032463991622,0.21361014556791863,0.014308405302887572,0.03707233324029505,0.005059655539209507,0.0030515430262714888,0.0001374761124663948,0.0008030910863767726,0.0019145612818158853,0.002133768933368474,0.000375481309397685,0.0002588727193612861,1.7113874368979154e-05,2.6945042917336792e-05,3.711467287187409e-05,8.461553746452743e-06,1.0048875269119684e-05,5.838395266924423e-06,3.2038624302455077e-06,1.88352924590518e-07,2.269325177134407e-06,4.3437711427785075e-08,2.2668976329409674e-07,0.003916604268357438,0.00037529773947031497,0.0011746747827133391,0.00024088471372440967
H5,0.0,0.0,0.0,0.0,0.0,0.08211982249691097,0.0051688415697819234,0.034014613520809034,0.006281010027192946,4.536589048331763e-05,0.011854737425895823,0.0002738659106324981,0.0008548074263681205,0.010797577341323139,0.001175179121012948,2.1287693578564415e-05,0.0001989731082692181,7.233735354006399e-05,0.11427053976283075,0.01791702894502989,0.023019239439423966,0.002379302693182872,0.0030945481364622607,6.482499726945257e-05,0.00019128878588248188,1.079643033286004e-05,6.072094775877446e-06,0.00031398596683840374,6.888970225937818e-05,0.00014450830338930132,3.601631463590049e-05,3.5435679899276096e-06,2.861417797817012e-06,3.4814012904726965e-06,1.5387851006742892e-06,8.195857346127156e-07,3.5405183707037935e-07,1.5596672642281817e-07,3.7394025653725294e-08,1.6894215093543608e-07,9.586386351401188e-09,4.768304373570231e-08,0.0009858531891022704,3.028236787228078e-05,0.0002573332691738761,8.987199785348565e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6738748023662335,2.0398757842597224,2.7822082028552577,0.08493583485448442,0.15586479365624673,0.010549483180645858,0.030646350214495133,0.005139036478991166,0.18630079042471615,0.00975633139783727,0.010951264404388539,0.030706137163343472,0.19962078790605026,0.03898860988836553,0.02446490779843183,0.0009939758530052023,0.0032381661429769226,0.000608356271827093,0.001041470530859498,1.661363645011349e-05,0.00011821951000623443,0.0005286029848754759,0.00022491656180301245,0.0005293028530802824,6.851355782974689e-05,9.147167093437325e-06,7.003529083893234e-06,1.2650401932892685e-05,1.1890853185425598e-06,3.700664420902555e-06,1.5522155031588714e-06,5.930475855953077e-07,2.6818798182226544e-08,8.848598456318024e-07,2.665794274214761e-08,7.462879447750481e-08,0.0003155870757071966,6.540753326052251e-05,0.00010731334111016566,1.5908655045637765e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02224504386233339,0.08501938945133847,0.035963130445056946,0.008580187455501709,0.004480008932540969,0.00033651085303398887,0.00014526385267599196,0.010451906692217738,0.004777191313566798,0.00024043783317062584,0.0006405804685341021,0.030965797197198608,0.004569467376978942,0.00411824229550517,0.00011082270095386093,0.0007000140691688639,0.00019986623905321466,0.0002490435437084715,4.5996444382190305e-06,4.497875284426023e-05,0.00014292557616513157,0.00012315012766084266,2.204603666955407e-05,1.4701454244425705e-05,4.524780364612013e-06,2.2847279175230994e-06,1.942170881452654e-06,2.4828234068685617e-07,8.181693647024701e-07,4.978456513704543e-07,2.1022719809415946e-07,6.04296435113838e-09,1.535137619246285e-07,2.056026016106216e-09,8.23763923740728e-09,3.5095689037811795e-05,3.3595312609602246e-06,1.247876293897221e-05,1.5627073899349142e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08250965249061748,0.004379365358204046,0.029926551586823003,0.0005782179877498184,0.0015209243773395276,0.0003746847889125604,0.0122746702984875,0.00021846089937138657,0.005999513487068953,0.0007861121739158872,0.009048682256190821,0.000886412804297465,0.0033388027370668816,0.0001159617265300561,0.00032985147739661436,0.0001099346318491623,9.369848856688456e-05,2.9954808207222072e-06,1.5989070379474057e-05,9.808694908719495e-05,9.469592980426711e-06,0.0003164415096876816,1.2503249309014919e-05,1.992897449287767e-07,3.6871977227015407e-07,2.9977398214864337e-06,7.446495575713641e-08,9.358181587426628e-07,4.448133039680613e-08,5.445113693269832e-09,2.8468103430157043e-09,2.1998860533223308e-07,1.0330138744407691e-08,4.7664928226609504e-08,7.770230241455067e-05,4.162630677928547e-06,2.2754287684834118e-05,7.960357821801267e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6414702952511866,2.8018586897091025,0.08095561917410832,0.08616554297786228,0.08582593393056115,2.587357254430151,0.08484650923360948,0.08217215313238668,0.08402652109165554,0.01926465810849337,0.01933073385376577,0.002901361153835949,0.00014246080715818454,0.000445988846865808,9.734438775843568e-05,0.00018199265419405197,6.437231542921751e-06,2.9826297422097525e-05,0.000870959779525407,0.00011129452719638167,0.0011920752704187576,8.884600592090619e-05,1.6677665559017285e-05,2.495504437982632e-06,2.3331557766764766e-05,1.1583042008878053e-06,6.002064389387662e-06,1.0465840305229346e-06,3.817279168316645e-07,1.128473914313588e-08,1.6920575208051458e-06,4.2109870590500975e-08,1.7415899122852352e-07,6.111113669887702e-05,2.2549596884469114e-05,1.033532001559756e-05,2.2974184852309065e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08150618765064688,0.03418622495042123,0.0034832021624446874,0.005908731092409969,0.0829807875636126,0.034657941855083196,0.004264286026256503,0.00481466453707502,0.011891997265764509,0.020631853168920467,0.0011847467408674373,1.983581696318737e-05,0.00015992330523784126,3.25700325700673e-05,0.00024226677661076668,7.916975905741808e-06,5.525998293576251e-05,0.001128993500478348,0.0002436725325187794,0.0016204411121316653,0.0001286309259709295,1.1579412330542382e-05,2.758129329816228e-06,2.876938712448318e-05,1.0566883497098445e-06,6.647521576974569e-06,1.2745886903697823e-06,1.8753184560793557e-07,1.150277562089741e-08,2.038182673302913e-06,3.051879016169323e-08,3.329529163487166e-07,2.651295093758499e-05,7.207901834727082e-06,6.115956404428857e-06,4.0114532784407686e-07
