,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21C,22H,23C,24N,25H,26C,27C,28H,29C,30H,31C,32H,33C,34H,35C,36O,37O,38H
1N,0.0,1.017731980838969,1.0198132131119009,1.4671278903492546,2.076351606447251,2.5447225246972542,3.4506763125534885,2.885860954401925,2.977188115865247,2.695879157172372,2.476982098815619,3.6164850442680123,2.659567997532751,2.197961673837417,4.087079451632466,4.668461699990773,4.8350365490946166,5.879553024129923,4.8069112109338255,4.834030724072954,5.8025250987506505,6.580794293684271,4.378929536101386,6.013948821298293,6.8401854138407625,5.24239610289227,3.8395872176381265,3.560647259545991,5.613790712218366,6.497620570092012,4.304185929812413,4.416216225754363,5.177694072718235,5.821978572669448,4.712734146496872,4.420852149588678,6.0460671605929175,6.5161455059742925
2H,0.0,0.0,1.6527855965296347,2.0682075063192418,2.3444450730996538,2.828528936691958,3.820400017623753,2.768907359508189,3.347110643680392,2.9072735332797763,3.3681967218095124,4.441493380850467,3.6375567185817275,3.104368065540871,5.068177626757243,5.614092533627819,5.850789799201505,6.894295011709925,5.810898169526351,5.793146381000575,6.704394287929297,7.490604710089736,5.239443715966837,6.805590435829424,7.577754045488841,5.982046683741111,4.617143164156472,4.380325632501001,6.17996049877122,6.995869647606519,4.846877102816073,4.81543346885697,5.6406748058783505,6.1340098521381465,5.599312419394587,5.176644481452276,6.947471530503644,7.35388285174593
3H,0.0,0.0,0.0,2.0627123119601425,2.939912823129856,2.747844074916208,3.693875261596223,3.2096648612285934,2.6540217641858,2.1946326916301557,2.7815862933712574,3.8569748966212916,2.8407506621643415,2.421745606038576,4.15404777542142,4.872762592651846,4.580116053821976,5.665178689203146,4.519592997816166,4.331879416448257,5.292693507491042,6.175550962634012,3.629289823863791,5.344247106309018,6.171919874815252,4.428495793073089,2.9744809913818804,2.8561615402747345,4.683199776725175,5.588064544356229,3.3054595949794514,3.4550839031882528,4.16993383209573,4.81311543183609,4.843209266544663,4.62715177763813,6.134147371182291,6.634064212956066
4C,0.0,0.0,0.0,0.0,1.0999708054977344,1.5405476387143173,2.1575148583042965,2.168590861115002,2.4727448607285925,2.6926941304852337,1.543885738473201,2.426930302931726,2.4443088198229503,2.539353616586945,3.8146397501367497,4.0787942151670675,4.612265779961581,5.598044143765405,4.343973218570687,5.021441585509328,6.187328904896155,6.912245083725421,4.7659890957917055,6.640065810285497,7.558339013548655,5.902081417578371,4.114580962576049,3.458833638599735,6.429331299829453,7.412625761094794,4.812152394129368,4.804429034555045,5.934933927407497,6.644257875090613,4.775752243544601,4.787376035804967,6.013368428613685,6.63089417515236
5H,0.0,0.0,0.0,0.0,0.0,2.139547602749686,2.51580547995797,2.388293849592691,3.377860591996224,3.611985187478394,2.121406068446822,2.827553196820871,2.9709674630639533,3.0140353281180325,4.2682882206219555,4.354341511843193,5.31281120813029,6.215663366237795,5.108349431517673,5.860931019027747,6.973870209788088,7.603741595905435,5.749342839350953,7.503823086468494,8.397860093366726,6.862744771469987,5.191418360117753,4.534806966197097,7.426874824738737,8.37997138349558,5.89347551065657,5.870874349854018,6.976749045014376,7.667250694047424,5.076076225712407,4.999232772213178,6.294631444942555,6.849698122019485
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0917077078929558,1.10233996919104,1.4228573299035974,1.9526730967678962,2.5321350930936455,2.8552362462874403,3.6817873265492156,3.9265383638295255,4.914882061691405,5.085820110025791,5.385654173710514,6.369805754198622,4.83361219560509,5.772093962992254,7.040841846563007,7.860718788046316,5.2894150491398575,7.3971416961394105,8.344514165714301,6.463965230941121,4.285395265830955,3.4606370959376496,6.804329343994271,7.826395953490039,4.754555377022137,4.420095405643521,6.035029041252701,6.611515245157607,6.081178676104991,6.220902301280277,7.245169300072789,7.947979944591605
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7832165867021872,2.0195573890994387,2.8233772214796136,2.636245623319993,2.465608162930608,3.956748865092149,4.429549379067114,4.992983660275668,4.940523901840299,5.434925112629613,6.315002755999567,4.748876698783341,6.060575642407615,7.390313651213314,8.146188429167687,5.747136353581826,7.893854835698001,8.875089303137184,7.031713911795312,4.786840404692133,3.814655782960785,7.487398840965951,8.543884013521746,5.406828537449577,5.076191174553123,6.755364811143108,7.382742041422699,6.284329721627128,6.59146692436252,7.3323158170999205,8.10498593002586
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.085994077379567,2.3014821675273285,3.4666113890233508,3.8445493790513225,4.556558167955675,4.644474803435,5.868725238011347,6.040289610523351,6.433014287522065,7.429328246007422,5.923959189196383,6.753508664605751,7.977111908880897,8.810243790322472,6.189564195046188,8.247962121350195,9.161824119917595,7.267550768255096,5.143170215630692,4.412784880780498,7.473473217945396,8.448236608826013,5.406115594598871,4.945615278450713,6.615112025341196,7.061613053110946,6.928953186431604,6.934108379421034,8.144104219552009,8.790941775293138
9O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701138998523006,3.1046781041617546,3.400985881474839,4.024866720976397,4.262750913301858,5.136168577247082,5.476566007403602,5.2072213253267,6.222711249844457,4.569814616248186,5.331442327179107,6.592696290423489,7.520077865363949,4.577104802839651,6.773145756633176,7.708975152680897,5.683962844552288,3.347688141809675,2.5703369387906325,5.858638128776209,6.887259679676774,3.5995829978704346,3.1176205675152784,4.939124219237784,5.455733275315552,6.359748011632433,6.563038246300338,7.477400399697905,8.211065738442516
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.543013704617666,4.093438008962667,4.2399709326133355,4.255208558800203,5.438445630414575,5.931773495387999,5.520833515308252,6.584668026558755,5.023758188409897,5.40502962133745,6.56045288665526,7.535200633640694,4.475037640086414,6.564118975201626,7.443135691267193,5.399888498874503,3.2290724959304886,2.7381348533257563,5.395651935574679,6.36698955512212,3.183483344557066,2.6486907335927765,4.401693785171501,4.814920603940683,6.510265361185256,6.560751202134794,7.693537751380709,8.35230570658518
