,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36C,37O,38N,39H,40H,41C,42O,43O,44H
1N,0.0,1.020483118065761,1.0217112190732431,1.4611032965141828,2.0781500510848523,2.4649997124639045,2.448427734813977,2.893998841832008,3.785489842203668,4.925651940758205,5.2500705406823105,4.489608176353805,5.994489525421089,6.931971994043417,5.811391929787977,4.533788989058119,3.8139858332311514,6.909006620959985,7.898870971089207,5.845622064269242,6.22831740665074,6.900125890550754,7.897043483547465,2.496252392909396,2.7701858631152474,3.732384115766508,4.002060709309536,4.944165284421801,4.970220354421524,6.148435371144896,6.0103971205438675,6.483488657425279,7.435570087277605,7.733785969511695,7.463868674249716,8.648319803400293,8.86626081052014,9.675383385012486,9.7296370464526,10.547652835918102,5.471186832406473,5.444518033213348,6.439420618853409,6.909940142210626
2H,0.0,0.0,1.6045580092007312,2.027891474025857,2.377793303583569,3.3519872139180635,3.4382248096018633,3.767964457971301,4.563009066394053,5.659620115572858,5.96351851179281,5.186173065275992,6.687522955842719,7.6057547433314525,6.477829172862692,5.1430189674665465,4.398394644794124,7.51839278461991,8.502457023482012,6.376704098773896,6.681416675280989,7.452030397161081,8.409438292049789,2.637535873488536,2.6493817398553494,3.892428899261721,4.336108078137491,4.994170629393938,4.8215299136256,6.169575703242599,5.933209913282301,6.657183191034058,7.361550570501609,7.728142268717817,7.243933698177429,8.597752413919356,8.927166962142213,9.519017017940445,9.491897855805146,10.410391271177021,5.704634011638568,5.884683870562771,6.557298281905126,7.124977967346901
3H,0.0,0.0,0.0,2.022893862906642,2.918069987685557,2.6842633442317196,2.6845468529333685,2.7139690087448662,4.151078403343725,5.14812899206573,5.286672688306695,5.07872250188822,6.350696372919375,7.243828645180316,6.346925184217562,5.288773023134392,4.619620168603247,7.538002195165058,8.492179398644728,6.644280758240931,7.082263577923617,7.642955743027977,8.670706111126531,2.656375321536782,2.608022635460632,3.974854888746792,4.34016483072454,5.010956567479296,4.983404318942815,6.3672669541694935,6.389807820020273,6.713416556180683,7.567143705106798,7.727273497083052,7.593899432987782,8.871429016445783,9.14039035955389,9.898964516913914,9.905661325814874,10.805546507798201,5.2862127330272,5.2080934456866546,6.143645317044649,6.513527273930053
4C,0.0,0.0,0.0,0.0,1.0977125769289724,1.5603842974504554,2.1322104700102718,2.182719791976374,2.593714608209971,3.636398504200592,3.9987373297930837,3.41021415883069,4.68028221634959,5.587713544676156,4.6032211184876655,3.773720697531067,3.367950797433179,5.768849273114777,6.695765304796146,5.100005311118747,5.684255375196393,5.951441110731989,6.98625983796655,1.5449328423934454,2.4294848600671637,2.472929694470946,2.573652620058478,3.827107777680574,4.097506137886378,4.901179166089885,4.7815775007887735,5.1223111538760255,6.2871263939441375,6.621007189306244,6.457677312675417,7.407895506667416,7.524600178116503,8.511086109804703,8.667875845047508,9.342131008835345,4.429772483091193,4.369375275342426,5.558186989018792,6.066050120718592
5H,0.0,0.0,0.0,0.0,0.0,2.1688400015366183,2.6121543806157703,3.0527744602034756,2.6746478143308345,3.7894358381607587,4.367268533345814,3.0318803296666768,4.560197363474026,5.486481297456428,4.225630603302921,3.150945026547349,2.7690970370156234,5.220573768874802,6.176939881529186,4.361592173158291,4.884452017073403,5.252080608591129,6.234324085155284,2.156323558028665,3.1441356491319263,2.6902666482470887,2.6133100030109846,4.11511278144435,4.419788226547176,4.902782186274957,4.555000702118553,5.103686561747765,6.340669170089252,6.837595721081142,6.502104056861501,7.3113844819737475,7.363500050153608,8.387393641936875,8.598043714652839,9.162524851745317,4.982908509795248,5.001752885256992,6.150509186763114,6.745737221479964
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.096901813505632,1.0976270702352282,1.503470101081176,2.5828817193656155,2.992477377285706,2.631968335936218,3.721350509541341,4.642724606870739,3.7706217620675417,3.3164035939417285,3.133737402389325,5.049508927558266,5.942664796339776,4.686874885891255,5.420266183415749,5.397676934708104,6.476717261443425,2.560823117416838,3.479995390654856,3.0755967149372445,2.761523050495691,4.349807243862112,4.9013751656557645,5.350430738075742,5.420437562478432,5.268806112437493,6.785079725740675,6.978580555247553,7.1747724700434485,7.811188891041746,7.734140466734756,9.041151759543006,9.31594778441658,9.816130090871212,4.53334008245901,4.052237486169073,5.771793583520707,6.072829067340541
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7616901217310283,2.1364744066502666,3.336730656755362,3.842883478186106,2.856688764730074,4.317846086155381,5.2730955215448905,4.130940694712844,3.1710429882983737,2.7562156843044643,5.27780076756183,6.239267939834764,4.5308579364719925,5.1249395910196585,5.4161308215873,6.458466028824106,3.4332034179936075,4.217491558924814,4.113884587076825,3.8111380672427324,5.415865488253197,5.90094353594617,6.424874735338156,6.435682822461722,6.341729114944838,7.8673484475111835,8.070356219050526,8.226683706217045,8.885790823356134,8.788246260920584,10.109809138366904,10.380302917628466,10.879021535746944,5.586495099168199,5.061396696862662,6.790340863197197,7.049994426107618
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142115018175785,2.7300057351118086,2.7351395773188134,3.490746368296668,4.052254570756272,4.848764094329351,4.421474392693378,4.3369416885885785,4.199039175025244,5.775711761547135,6.572427531932272,5.682747106836659,6.456840272475257,6.2838671999547,7.368961386990375,2.658582928103831,3.331940643682986,3.193209533220368,3.0268957098288016,4.209773023001985,4.749668036758608,5.365576653696392,5.644426931595979,5.280652283107407,6.687917415541932,6.709430267361269,7.103001230022672,7.80339866421885,7.776946460392075,9.0387601222878,9.273457265908299,9.844365865531033,4.038203586399145,3.4153224885993927,5.190268432590529,5.354102620220505
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3773762309572057,2.223714180907568,1.4460711817466534,2.2600256258785287,3.2260612221975284,2.310487825188245,2.6243329524242585,2.961294621426596,3.6515486024355313,4.480961502490673,3.8212665506109404,4.747417621620103,4.217210944652002,5.302360230573002,3.326503050450296,4.453579716384986,3.215303531625419,2.4558302590708565,4.4291944420900045,5.2262352044153015,5.03567944453147,5.072723009781901,4.683411827491548,6.52742619644899,6.783503421858877,7.092015731939384,7.305354914038845,7.00838762859391,8.601139294110535,9.028906409464584,9.26711733595227,4.651392756052766,4.06516533600387,5.992307882050624,6.289301010460196
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0820994300007263,2.2595864605159983,1.38319359766053,2.128982352176676,2.255764037377268,3.6522202822120864,4.214360430239064,3.6292628635868778,4.17074806531083,4.59927010579954,5.632810237729017,4.589275620385767,5.617593779418899,3.8862582765710734,4.962795229954654,3.365447693787551,2.4876025977835723,4.222237145565683,5.192230300616526,4.6118493807387155,4.857690008403893,4.013443591547001,6.006059157305686,6.14359468630793,6.741879356739048,6.653007406292404,6.225390468901499,8.001955460145208,8.513970818935539,8.606371324063227,4.169382859906707,3.4105038740145104,5.490444361899007,5.678182101989409
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3226081595610695,2.1514912160991924,2.523062651754619,3.27580112657758,4.697432845113706,5.1745151675884,4.605382874350918,5.017193982910883,5.680291261588611,6.7088953964555325,5.641936804054758,6.650854297557072,3.910122334300199,4.822492947722563,3.332269339383159,2.635110774452799,3.874482993529728,4.86355200927606,4.356539464087752,4.839349948275098,3.7406899541170144,5.610102176271446,5.5659832928596735,6.390848616041415,6.333783226691175,5.966065375836246,7.685591598225903,8.161602833472108,8.3185308950498,3.463324143932317,2.5285324298667033,4.711544764934716,4.774183426710694
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2556562671777667,3.231809803998574,1.422592903249572,1.4068805177275492,2.171056740915452,2.4717141067346446,3.4595316620551992,2.4099385939612445,3.3973739842544584,2.800981752453225,3.887700081862571,4.3477940580257854,5.534186487130883,4.151816986142593,3.3021060869018886,5.414451328692003,6.208267528771473,5.740440830800376,5.553388721305273,5.325492663750327,7.259003994140732,7.667222899455406,7.82626670003842,7.831685983724401,7.404732632072801,9.099478504250511,9.60758838365525,9.672579098871974,5.85983715109141,5.356492653335677,7.21226273332278,7.573871060292072
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008200163922698,1.3810698232393153,3.57845854843133,4.426648264996291,2.5260803422883855,2.8664052743191384,4.12794368325013,5.213745588003521,3.721808493674975,4.64560466634444,5.00128228394406,6.146140291428104,4.297823452698282,3.304935003913997,5.086827102815618,6.1095881640158,5.09150856625437,5.208322248250291,4.312320128209028,6.445673704702512,6.682885999719023,7.26514020586528,6.794153510783291,6.1454778182569525,8.136605753647281,8.778626235001616,8.603569445772553,5.170024480122925,4.481281556557166,6.461172472806168,6.669311830774298
