 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,C36,O37,N38,H39,H40,C41,O42,O43,H44
N1,0.0,2.0249173558820353,1.8210424668735126,2.9949927693181335,0.09387450081438586,0.19573660158164932,0.033528691531072075,0.0038242096303361395,0.028689815384488435,0.007411659223833661,8.335127407255172e-05,0.0027627990426569993,0.002248755425677304,0.00014132452171733423,0.0006357207640714513,0.0008315320868815534,0.0007009064850551638,0.00014014581678518934,1.4123326082637888e-05,0.00022656863860681664,7.565759260308447e-06,0.00011084514706913295,2.024063254335573e-06,0.22489936275844774,0.046601323998017696,0.033860609662999114,0.0021431119263635168,0.007380455511065115,0.0002814715019505698,0.0013872906687977388,8.507008267677474e-05,1.1114250394461678e-05,0.00038692544828006215,9.433901076882911e-06,4.0617909006224195e-06,0.00010974059740181952,1.1646796422966343e-05,2.906179399240344e-05,1.037084863875215e-06,8.230067352510417e-06,0.00044362117727508865,0.00010149649881326106,0.00010008696715312071,2.3023597611193658e-05
H2,0.0,0.0,0.026556680141556654,0.10964810777886169,0.0053842789270528435,0.03459833508963628,0.002221479188661224,0.00013607545251481667,0.004265430709178397,0.0013781365450348249,1.7953831293437972e-05,0.0002951399563165813,0.0003447659512051393,4.86967582069564e-05,8.37085073220889e-05,3.842381512542126e-05,2.1351650340450945e-05,1.8398996657009725e-05,2.5457324155375716e-06,3.228656948162101e-05,4.408842306791172e-07,1.6000199690613393e-05,9.989241656072068e-08,0.012335236210187062,0.01850742865852828,0.0017365711657465477,2.4550824478053457e-05,0.0002908088173665391,1.9662569762601834e-05,2.5273713055051772e-05,3.2043124731373496e-06,3.503994239650865e-06,4.546231098578879e-06,5.075510536300953e-07,1.8809282753551315e-07,1.0882996920313914e-06,1.9048062016580047e-07,2.924696759221135e-07,2.0877559903098586e-08,8.894151304339459e-08,3.7695129492032464e-05,1.217077363713237e-05,7.453727761230766e-06,1.1741346941374076e-06
H3,0.0,0.0,0.0,0.10718090543146319,0.038307517703689786,0.010611749584615193,0.0011883549431428442,0.0026934335474360083,0.0011623630667726426,0.00016350694223465911,7.862183727169736e-06,0.000384627342793209,3.531892523500613e-05,4.950287987082191e-06,0.00010317803283210747,0.00012634082113127665,1.107325117355451e-05,2.5342942611583652e-05,3.284271964831831e-06,3.1408103950192334e-05,7.373763999396488e-08,2.5344195025422955e-05,3.3557987322296867e-07,0.01221103855558936,0.024022956907218562,0.001982424107953684,0.00027931134001613067,0.00033567579672311165,2.6092558737866867e-05,5.997177560213007e-05,2.360316223581904e-06,8.307469685719937e-06,7.617548005489638e-06,2.087608574896649e-08,5.14331384149358e-07,2.3940551225898332e-06,6.300099900657941e-07,5.120410457859492e-07,4.448816004476441e-08,1.3833758294445886e-07,2.4650620247812505e-05,7.606275773786031e-06,3.653030327344098e-06,1.3400959062437323e-06
C4,0.0,0.0,0.0,0.0,1.8577218285057098,2.7550358845713743,0.0891465349385927,0.07808463055850923,0.17432343626237864,0.04723090987901729,0.00029705504185084664,0.019078189217741515,0.01299459556790597,0.0003076880488201983,0.0038293320133082898,0.004210955376100639,0.001631621490835622,0.000794581981178849,3.8333844143423335e-05,0.0018105765682867037,7.011222755037849e-06,0.0009216094628781146,1.8230331969348867e-05,2.6417365601347944,0.2807658555519752,0.21239083104839787,0.012525752867352136,0.03457841071790385,0.003782746134481485,0.004292291063057674,0.00022818309103889156,7.233339238932324e-05,0.001430505003338925,3.812331604891028e-05,1.3150960367358522e-05,0.00027781858372227797,2.5636374510654147e-05,8.068201339778147e-05,3.1200516082963148e-06,2.2036008117676253e-05,0.003482014299871772,0.000936882582201301,0.0007428813115039623,0.00012028245960238326
H5,0.0,0.0,0.0,0.0,0.0,0.07619373493193471,0.0018048633382270474,0.02919056063172709,0.014519595883477399,0.0015649516965707821,0.00010888460669455924,0.005197627507308233,0.0006414994333838742,2.1822600321685925e-05,0.0003364427118572877,0.004999869163067494,0.0016258193690557032,0.0003969728106274495,6.613449299752716e-06,0.0003131290677163001,1.4600938662567842e-06,0.0004503627726804016,1.2255542661154806e-05,0.10233967094685803,0.027792193948595445,0.0100187448505632,0.0013940231970046568,0.0013179189617856801,5.068746295155968e-05,8.403142233692762e-05,2.033514806631942e-05,6.6637167717154e-06,1.1936708321669265e-05,5.489512118206363e-07,1.0210701271162748e-06,2.538668991913795e-06,5.427653529954668e-07,7.185910200213641e-07,3.7166211219741285e-08,1.234316611142816e-07,0.0006426141065378754,7.542908976487794e-05,9.146270784798904e-05,2.450566624290218e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7989556788096472,1.6846205076442442,2.6873525286007904,0.2563613738794801,0.006111380707229164,0.18949530172214465,0.04927349780467494,0.0025525847370113652,0.034220173188361874,0.014757046815596295,0.0025863896691744603,0.005196463786921499,0.0010959192485773261,0.00383847196103608,0.00014792285616138656,0.0024570342610002044,5.8636325289684876e-05,0.1798453106961892,0.03974186970103963,0.025785070017659645,0.005635932616403938,0.0025637305801722854,0.0005674150288067503,0.00042124956538525105,3.317407022496166e-05,1.3928085603298612e-05,6.0382064810154956e-05,2.0698693717902117e-06,6.004483442456632e-06,1.6290785993355872e-05,2.98423018291194e-06,4.255404337488722e-06,1.4764687294999135e-07,8.275841522076277e-07,0.001365118049366093,0.0013726828204515401,0.00031425620226714635,5.368191866794714e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025121800920267612,0.10711770749051874,0.03836253119294786,0.00012830418106246633,0.0117715762747157,0.007738800909646182,0.0004566005199684309,0.0019640735944410626,0.003244274010226089,0.0020760038163951666,0.0005874960967888754,3.7317821216964475e-05,0.0010135272908176063,3.1714685580608304e-05,0.0007366232914272075,1.573603123206091e-05,0.027438380785101968,0.004103874905675542,0.004836217108332375,0.0011274204253612918,0.0004978957115077121,0.00014488951086732982,7.472181488243912e-05,9.077585821026801e-06,7.95581640833376e-06,5.4084638125839746e-06,1.1126228014468609e-06,2.162051859322389e-06,5.696387026521421e-07,3.229634881751764e-07,1.3588934988373325e-07,5.926050206106481e-08,2.171001867168343e-08,0.0003291257425541705,5.0469128440977507e-05,8.757895582733877e-05,1.7296187813542474e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10264012435053527,0.014326377327880335,0.002568193110131789,0.023184346127117728,0.0013310709026144174,0.0001049756221478404,0.003095673196129356,0.0014222797740142124,7.114575551314672e-05,0.0007098297690397715,0.00011602816877998023,0.0003583170850267603,1.8729379424486936e-05,0.00018178691214676412,4.944008199503358e-06,0.016925528610352458,0.002980865537644206,0.0015530117205415639,0.00014441932679654101,0.00019406884522243928,3.322067462918632e-05,5.936316797683361e-05,2.7164570388649167e-06,2.3903907175881756e-06,9.873090342615853e-06,6.180437832625785e-07,1.4006801918320377e-07,2.824353821706538e-06,5.133505074361722e-07,7.437709442781326e-07,3.0308848320004245e-08,2.2490218620774272e-07,0.0006423669100144025,0.0024927026918609707,0.00024717521530170927,9.316202735698553e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.198360425637643,0.11992466550506076,3.144058393097482,0.49597175601274857,0.025702258214692075,0.34071189761123327,0.22808774633425838,0.007999415223896689,0.039448621070707984,0.0037259081350684564,0.0714257276082656,0.0029140882992217954,0.02536234986931521,0.00035456089800800505,0.011643029370328128,0.003942031997757139,0.026093203186525277,0.06884548575322014,0.0028381221412060453,0.0007790263482303494,0.0002594920316401489,6.435395045523151e-06,8.89753047845776e-05,4.658769355458947e-05,9.887149341469836e-07,2.0986860807425955e-05,6.135077330188254e-06,3.29014010494455e-06,1.5204655264139388e-06,1.591728735483855e-07,3.7914724493326446e-07,0.0006045565979184431,0.0023911323887122887,0.0002103657708522333,2.330846505027573e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.859436135401194,0.3920062164905076,3.316794850382677,0.11101068155129501,0.44814318477980525,0.10802418414344434,0.000772398734548041,0.07353925200469891,0.0006710489168080258,0.031680151538526324,0.0009694846478711661,0.07562917877809328,0.0008922705470795211,0.005126251495766065,0.0024347502630008705,0.02756661820034509,0.06848397392438454,0.002543495494955278,0.0006368527287398118,0.0003853497671438416,4.1043749002822594e-05,0.0005674411468823415,6.380490770260816e-05,5.187726373589996e-06,1.602268362832504e-05,7.877483247598072e-06,2.9017233424966093e-06,1.5824798344082902e-06,3.132873367395206e-07,3.563736039602361e-07,0.003491590585090798,0.018486269794936144,0.0013289588215789905,0.00012763002253390887
