 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,C36,O37,N38,H39,H40,C41,O42,O43,H44
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029918733579697987,0.10055093380496372,0.004812407492174486,0.027175671389213507,0.0029246050356566133,6.537808793760647e-05,0.0027038280475824017,4.480494905090282e-05,0.0009554976363561618,0.00010856206297060744,0.000912658284075718,0.00010593205545483819,0.0002063975895867376,0.00011561033319562597,0.001632227992364288,0.0031686613517547535,0.00020376171701497192,0.00011315441516956959,4.9198251837134777e-05,3.3740119089742393e-06,0.00011271837190629519,1.1775731526886268e-05,3.462848586766043e-06,2.420655724533205e-06,1.6227628307774467e-06,5.17745959993654e-07,3.4947468252610747e-07,2.4877298665515468e-08,4.411009446592118e-08,0.005248565922844728,0.04083120706114152,0.001904681555867982,5.599734029027026e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38664423683452676,0.030880002161897346,3.2619717346859565,3.5643393190526234,0.13101259564841183,0.2899392422674646,0.02669326735124966,0.34046796440017923,0.027705313364895234,0.23260188672218926,0.003943023568738324,0.0018105207747011742,0.0009149155165156381,0.002476955411048948,0.0031851202279445934,0.0005084835187337822,0.00011622009102463249,5.561576510922095e-05,1.1003385040897484e-06,8.66005055311092e-05,6.646386175618302e-06,2.1077424916526866e-07,1.777702099303724e-06,1.5835479087178417e-06,1.2563455659420075e-06,3.255181445505073e-07,3.841709805829652e-08,4.802076669641053e-08,8.638286672071893e-05,0.00028375910448867614,2.614428464475793e-05,6.922728154612479e-06
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9214356974858875,3.1992710247044784,0.04544086392974839,0.004039477863890584,0.249896405154874,0.007192696468667714,0.04897192806121081,0.0004466151052362477,0.06503054752184212,0.0029918811120550615,0.0010722177212545703,0.00042656904868465517,0.0026083777066925745,0.00331238136299028,0.0004320502937099485,5.0583466938536326e-05,0.00012787261461701116,2.795256106136179e-06,0.00020837115339311651,1.3460059839917604e-05,4.4029714696414146e-07,3.0139784152893867e-06,1.7363816932902676e-06,1.6107498594514214e-06,3.865113090834038e-07,7.046509076236163e-08,4.055608571196245e-08,0.0003714682555595872,0.0016735319314804126,0.00014218461019631368,2.0108434225840632e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11689797219389886,0.0035044942022833814,0.001403230811391376,0.007130770591944335,0.0033377617345757837,0.0005319132411779615,4.01119721202825e-05,0.0005774116847898636,7.042058249706606e-05,6.491840544797789e-06,2.87931570541744e-06,1.767547936770697e-05,4.978360852070374e-05,3.8693478197071585e-06,6.447460483283152e-07,9.139588337592208e-06,5.77386015665482e-07,7.930792816468468e-06,1.7037788601070858e-06,3.811103033157792e-08,8.650454537129093e-07,1.7711836253209157e-07,4.591180566837494e-07,4.180412871424011e-08,1.132816174198581e-08,1.678680083827544e-09,6.918188246496371e-06,4.038153830232538e-05,3.029032220269734e-06,3.133387251885722e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2994565129419519,0.027093182611115596,3.5904858728541535,0.13411440735456015,0.23156965141943223,0.00404217522675232,0.3578659249609623,0.028205940367015625,0.0007613263604036302,0.00047560499701966574,0.0024973528612943496,0.004161203418527104,0.00022901503021460767,6.902422151222609e-05,3.707640253874933e-05,6.681625450699613e-07,4.429117665716298e-05,5.90294915284173e-06,3.551385703293164e-07,1.6565072580299045e-06,6.468580523721901e-07,2.981787033951022e-07,1.77573162271627e-07,4.067172920674267e-08,4.865852554214456e-08,0.0001383827829801454,0.0004604059547902717,3.8037531587944984e-05,8.910248023075162e-06
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8872181795969847,0.30878792681912864,0.003639327569299633,3.929954747453366,0.13037348805232374,0.3252931264395412,0.025969725146814948,0.0007853743273880109,0.0005373725185809086,0.0013612589558714555,0.0021099681385794433,0.0001344925537592606,4.354341328705047e-05,1.8820311238634813e-05,3.248478623874007e-07,1.6129659749841707e-05,4.115046255886989e-06,1.1183261006131318e-07,1.1336198282307919e-06,5.787453581651558e-07,1.6504877399514672e-07,1.7842223566655324e-07,1.519100734093115e-08,4.9589595985111146e-08,4.239618874399276e-05,9.996100387948958e-05,1.1441338202508589e-05,2.456794845451249e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035659333165485307,0.0007759128543090021,0.12991075867554347,0.008432395477476762,0.02730839957875264,0.0011298072048806507,0.00015080223857366626,0.00026779795251785643,7.953287764572714e-05,3.3926952140994615e-06,6.365452188461518e-06,1.320108102831341e-06,1.4085190478407839e-06,1.193889547224103e-07,1.0910410974673823e-07,4.28078857139802e-07,2.2212240935459704e-09,1.2374483659982616e-08,9.507923182106026e-08,2.4208364202138455e-08,3.041390217450868e-08,8.416531915855785e-10,7.2293071529117015e-09,3.717790071577909e-06,1.0904341869455436e-06,6.976609798758915e-07,1.887280085544063e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8805380907767324,0.3197636403153986,0.0261512341594905,3.9483331741351293,0.13010434877647237,0.00016005905606744641,7.002190322871749e-05,0.00032009992139934995,0.0005109636333122669,5.626547042897334e-05,9.509936227836135e-06,1.1454993175383232e-05,1.8591131611955802e-07,1.5335458211529485e-05,1.568044465716234e-06,6.233129978827634e-08,3.1150669710378054e-07,1.1524536874807367e-07,1.1350512972574389e-07,5.3484851089691254e-08,1.1738981897657652e-08,8.509870474959769e-09,2.6635482810927202e-05,8.771179314487343e-05,8.606434250726935e-06,2.0640825972861876e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027290267940022206,0.001049348540253403,0.12475246609925539,0.00841872884823247,3.461406418159285e-06,2.4697840019793915e-06,1.443222440222769e-06,1.1566686404229642e-06,1.4264583514389528e-07,2.9604261264637444e-09,2.7514954759055854e-08,1.7019872178281048e-09,4.031726530406843e-08,5.60511814740039e-09,3.500209011519928e-10,8.388081340626741e-10,5.937599301120144e-10,1.021202344908545e-09,1.526133663887208e-10,5.1747939266988396e-11,2.4836799283889377e-11,1.8655283340329731e-07,7.112667537167994e-07,9.190666405700654e-08,1.0544412454294161e-08
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9675826583027658,3.5925380794811206,0.12235656845837095,0.00019981841746785634,0.00013830263750118366,0.00025720831137684974,0.0003278185639423725,5.7374463808018694e-05,1.0346436423946948e-05,1.4794643669172047e-05,3.223981774880258e-07,2.4649242968743934e-05,1.6880003313318737e-06,4.528461450270527e-08,3.6143328774329575e-07,1.968248580785925e-07,2.0963285982111834e-07,6.671387570156284e-08,1.5745804327060853e-08,8.383865379713029e-09,1.2768251762135252e-05,2.247787794026901e-05,3.908223711823755e-06,1.7799765763548692e-06
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1230287263910479,0.008133227796497167,5.06917477327562e-07,1.0397987855181867e-06,1.3247930390480889e-06,1.6755811325097625e-06,1.9099498071994958e-07,2.737106918893062e-08,3.2390144122373954e-08,7.921185929404828e-10,7.594439921376761e-08,6.034276078814571e-09,1.4537719916773995e-09,1.5456569357752414e-09,1.7701098364852896e-09,6.818872133607101e-10,3.1956015611456223e-10,4.065126013585996e-11,1.7692958209636345e-11,3.535457469006076e-07,1.3574607049537946e-06,1.0519724424895571e-07,1.8692789760521578e-08
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0212312072603043,0.00030052805345412437,0.00022502547409927742,0.001124417410039505,0.0017351642199049389,9.937719395500255e-05,4.043928578401079e-05,1.8260842344935968e-05,6.581729805610337e-08,1.7730748800071083e-05,3.006818036527248e-06,1.2660898751626348e-07,1.0463940320892817e-06,2.475494296771963e-07,9.12193381941151e-08,8.310759398721945e-08,2.305676460867545e-08,2.6593099389238262e-08,3.564487411081285e-05,8.893205870377785e-05,9.61214299667612e-06,2.6632311835861344e-06
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0233308900839972e-06,1.2829682908277462e-06,1.5214104867045108e-06,1.907388296418233e-06,2.2410415878582057e-07,2.361226569824737e-08,5.521584245382627e-08,1.3177501312355844e-08,5.867647923096797e-09,9.586236027203654e-09,3.1223199581376093e-09,5.649496426229916e-10,2.5274442538858466e-09,7.607643404128339e-10,7.047190608844289e-10,1.5651702156560532e-11,5.238409706009861e-11,1.0950973792223095e-06,3.881560459606526e-06,3.850864080945371e-07,1.0792460214403832e-07
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934909744157486,3.465996882937058,0.1337555234435417,0.26517847115366533,0.020046805320296457,0.03295722127569464,0.0017635499574799596,0.0007233701682636262,0.0056140654148866265,0.00019337471970404252,0.00013445819399060532,0.0011796613450271998,0.00015512181209041687,0.00031114269804401185,1.348369573483943e-05,7.787648832413563e-05,0.038396625619144115,0.006895987954573524,0.006228723909897427,0.001052233890074139
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5312917813080362,0.026354608775018384,0.07449611200533272,0.03777278875177914,0.009979380596706756,0.0010763984252293302,0.0009914293319610579,0.0014781944798310798,5.090191783774234e-05,0.00014308590543832267,0.00019273782117575078,9.009459648089135e-05,6.086209854600649e-05,4.737743762195379e-06,1.0754178233818301e-05,0.016951677166580845,0.00250290372980113,0.0027343711305982676,0.0005638416177397021
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7317963462557313,2.814639313570948,0.09761339734160213,0.1895594209830983,0.01860137706866749,0.00489285325297939,0.029480036427385198,0.0007415669010949477,0.0006447682178833958,0.005103761386473726,0.0007578526868498442,0.00138927481511672,4.525450397929731e-05,0.0002780446909443901,0.19694844769462228,0.03354146693292104,0.02851115448412128,0.005119066946494888
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10096604380383489,0.028786908303563674,0.012411701376651929,0.0009470769547617053,0.0037018984656072007,0.0010678856470467402,0.00014023095642912153,0.00034812161847130874,0.00011349504187041504,0.00012486297409131097,2.9976457863511996e-05,4.022958570937263e-06,5.651397926964563e-06,0.004652437683966282,0.004407607017337556,0.0008007639504664654,0.0002617914218778772
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.789045359771718,2.77032687898262,0.09538905206461101,0.08405531755329698,0.16173441575871844,0.008764889181609004,0.005920275648912288,0.029788018739735078,0.0067151121997722635,0.005150877517863209,0.00019325294127159331,0.0012696792768909226,2.5180783222600933,0.27203183170333883,0.20771630720220474,0.05488758324022591
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07963317649165214,0.003166872139553023,0.032276392408082666,0.010530678251408188,0.0002698366824156473,0.00326888026536154,0.0010303094269381585,0.0009699212113630784,0.00022993488478895152,3.496212036724344e-05,6.980506427334277e-05,0.10729132412038145,0.025370802102553824,0.012559101338933898,0.0008347797766428133
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6722180949337826,1.8350882278433005,2.6881164738907297,0.0831262608843002,0.0796855382947056,0.1805279412581325,0.05303850749799587,0.02941127081538865,0.0021571902068034943,0.003926115705692901,0.18980317138541758,0.04042876274538286,0.02141064730788589,0.00202859679335754
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02497234736759002,0.08675819030746013,0.03329498739355796,0.006408289295434466,0.006702889758191111,0.0012418568299039645,0.0007638188172578442,1.5224523777224164e-05,0.00010270925353284,0.03057559840325963,0.0059383144063434035,0.002931153033584377,0.0010847371560078756
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08195501518184367,0.00369870351156365,0.03322672789388492,0.01579634566724919,0.029782084525543984,0.0030081578755927207,0.0005728529745687716,4.8356121685300124e-05,0.012618382244755866,0.003821616208259271,0.0011999618220361885,0.00013335774310929693
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6302929160610282,1.943321553131865,2.732125947602558,0.29404979503348483,0.22961184890467454,0.01600861844542012,0.04360153941110112,0.013099883416517383,0.0031906583883155176,0.020816865330180845,0.0009947075073361011
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024953343100764025,0.11086873103501782,0.027621862860209734,0.017899334549123624,0.00012202242435122024,0.00011697516989039869,0.007469900379776684,0.0013164785993213801,0.03458222083814966,0.0008493905254622902
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09260879029038915,0.025445498489752416,0.012251072607297853,0.00800829245050294,0.0014470003585091984,0.0005169282989090362,9.864353221411548e-05,0.00032753674136554167,2.2661883966712537e-05
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.659826484268858,3.3121974452100615,0.12939627167744383,0.13616463305799975,0.0018623205984450442,0.0006704393536454689,0.0024660688050381907,0.00021999115679005588
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5518845608676521,0.03283065324754508,0.028095267166588056,0.0005713637166723934,0.00015617894163944684,0.0009470384316494981,9.889213693292653e-05
N38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.812995369398203,1.9416561807502317,0.00040486670578061823,0.00011814254453037382,0.0004532838084791366,5.48459706889437e-05
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03759988205754827,1.1406454290541213e-05,7.9841399756031e-06,3.3460845498822778e-06,1.227705894724096e-07
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.153472485543766e-05,3.347417157162358e-05,6.083932642986234e-05,1.2335601145885278e-05
C41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12442817352241,3.571061457076545,0.16950429078704088
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518193593543233,0.06694390034311593
O43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.621670084310359
