 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,N32,C33,H34,C35,H36,N37,H38,C39,O40,O41,H42
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08051470117546833,0.0014641515193278831,0.025133033234894908,0.023202613212344847,0.0005095061823030544,0.00599434932565357,0.0021662480812003615,4.1423487748826204e-05,7.643839897131244e-05,0.0006450167913270022,0.001343848028758421,0.0003946448845790762,0.0028140717956268713,0.0014679796581908988,0.00020829190145033039,7.68652063276587e-05,5.463918519565958e-05,5.400682775658083e-06,5.363020624482573e-06,6.262225008102362e-06,3.292368064489182e-05,3.505814583526501e-06,8.175021348755251e-08,1.0482987904847363e-05,1.2255095958035866e-06,1.272703669785713e-06,3.059113007353176e-08,5.010957179929498e-05,2.6725453509568453e-05,1.4308937260731902e-05,2.8888593559539544e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.040460565576303,2.02496051686222,2.761161995799061,0.08141348049866914,0.08377868605677308,0.16736539120947136,0.025487902167967813,0.009336519491688566,0.011260127727411473,0.016877346080343164,0.011006258950782138,0.00794373336601395,0.0001073557534059244,0.0006357394389411297,0.00015166066892435826,0.0004208209800554419,0.00027906888058248924,2.949529965468045e-05,0.0014795158827911603,0.009233987942643393,0.0005028164197282414,1.809040108569082e-05,0.0025088525499434022,4.698228376787128e-05,0.0009796740466876536,2.7339494561684496e-05,0.00012160016115936312,1.9866573282664723e-05,2.9575991118649392e-05,8.772650708421814e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025472968777519922,0.09323048238776965,0.03264602637235736,0.005769184133540994,0.007747408930744992,0.0007267406000250887,0.005044425745658776,0.00020508653023809664,0.030102321399834597,0.01647858852312145,0.003030339389268999,1.6326094157692594e-05,0.0002499431253537576,1.3223032432119197e-05,0.0001814103152851798,5.4501842565057856e-05,4.59574994791101e-05,0.002020889541131776,0.016715351053396277,0.0007282946781095312,4.862317675824457e-06,0.0031995306163008497,3.293508150603586e-05,0.0014510715454871814,8.994852191523961e-06,5.4468479643521306e-05,1.0916599902266455e-05,8.522995401327726e-06,1.803360065721904e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08869089390702523,0.005531154106589886,0.03492608764162797,0.007094523070944048,0.0005599803464362285,0.000148184929098516,0.006126639112350674,0.0009033697183118417,0.00019118859317512893,0.0011980512425395773,3.382727644618555e-05,8.808923735914576e-05,1.5986554805946795e-05,8.662046670426804e-05,0.0001219302413610901,3.296117718543101e-06,4.450621397689147e-05,0.000169726714560392,2.0520453346772882e-05,6.299024430944655e-07,4.2916269452408784e-05,9.16174675280601e-06,1.4256157891523458e-05,7.463581441768952e-07,2.0253733694852727e-05,3.4249280038700647e-06,5.301726663686779e-06,1.7569460331046116e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032352446452957,2.0422336977626454,2.695665397360498,0.08244308156184232,0.06805391936743377,0.08308460413049923,0.0022317378595418935,0.001943158645362153,0.005763958374331052,0.0002285293373758268,0.0005868135855957579,0.00032757807430816577,0.0024265554757433305,0.0021041147053022513,8.169031721250164e-05,0.002073932216278801,0.012482355158845576,0.0006871356049800992,7.121480657601431e-05,0.002197352126361962,0.00013092791883351218,0.0006588140437008005,7.564491327882727e-05,4.3847078254277694e-05,1.0145431857552789e-05,1.8584522939041337e-05,7.668137060878877e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025819802845209683,0.08924815236285522,0.004291556004388353,0.01920476900946122,0.0049852333379367675,0.0005002673959508819,0.0006502258518525927,0.00020840520383313965,2.073308303462973e-05,2.889474311418283e-05,1.556694119542179e-05,0.0001685484146249916,0.00017968004109003566,5.193929636160277e-06,0.0003499805247668686,0.0028573116477598193,0.00011532580519246771,3.016421926060886e-05,0.0002713699888532428,2.2222242453073804e-05,9.80169966339206e-05,2.6028482661422103e-05,2.77725881780988e-06,5.022568478896261e-07,1.503093567278846e-06,5.7175589596170084e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09467752070669522,0.005309543633486236,0.0045232248514999185,0.030219105126988,0.0011534085424036444,0.0011269032039828986,0.010831300971110513,0.0003637937379232792,0.00118814039995363,0.0006698411464991505,0.003195027012861562,0.0040656946105894765,0.00010427516561684058,0.0003468804034589823,0.00039168337951456245,0.00012124406467117765,3.715823024608156e-06,9.536085682304574e-05,1.3551861687055577e-05,5.065443143825732e-05,1.911584502245489e-06,6.848991124219772e-05,9.794843316535129e-06,3.070081007827685e-05,6.377405166180239e-07
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8613550907123302,1.4788938168506864,1.9148815335841554,0.00022772663171571894,0.00011816186326635281,0.00044233296178478043,3.094388184365915e-05,0.00015017123790320164,7.587996730396007e-05,0.001942464123674159,0.0011657069079806792,3.116541716874366e-05,0.02147608028775458,0.24058279468046756,0.007137481710565219,0.0009354586240571949,0.022484062557191736,0.0008777313874980264,0.0068432677934880115,0.0011446288038610142,1.8748298975856947e-05,8.753829060723084e-06,4.220671570229206e-06,5.488680762111287e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0311892493733672,0.02910171149089469,1.6779652904141962e-05,2.321929302939729e-06,1.0849871584506232e-05,9.793372457433946e-07,2.1193688179987902e-05,1.1791192702226283e-05,0.00019292803733028663,0.0001518166658356357,1.632836036669083e-05,0.00047967277004934417,0.0024953822518678503,0.00019492498333173458,3.105594075725193e-05,0.0005065866499827099,5.7330488880236175e-05,0.00014770107221651063,2.3413979146624797e-05,1.039557094073551e-06,7.804118880017086e-07,4.5827745953630483e-07,1.4216031929414896e-07
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02982499888902712,3.2586760823072325e-05,9.422049795049237e-05,5.800714689119246e-05,2.273419290155232e-06,0.00010704702518549158,0.00011140152148136906,0.0023777351136184954,0.002198393103051588,4.746769383290328e-05,0.03527732596951605,0.6048845796553746,0.011944273737790834,0.0005112063668506472,0.04637121877957373,0.001001046141565487,0.010882582323518797,0.0005170685522246643,1.4937624330801924e-05,7.739396676531562e-06,7.345410506398586e-06,4.715597303750485e-07
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.764032596781824e-06,1.2791187544047844e-05,3.9870452004264756e-05,1.1436337812975594e-05,1.3274908512106443e-05,2.6391229315247955e-06,7.527164341347703e-05,3.473427295230813e-05,4.091732345612442e-06,0.00032287265657493514,0.0020443840696710014,0.00015306388680469407,4.242584347990963e-05,0.00047641475710369363,4.25795257612549e-05,0.00012922150172245406,2.284541790364969e-05,9.741905395710404e-07,2.435720906079908e-07,3.325340721671566e-07,1.2748790689798284e-07
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.784235582849598,3.5677990943210056,0.14078187780411378,0.2746919157435532,0.027964207242667127,0.02763337409909067,0.00115532354312875,0.003012275508894602,0.0049384481761576005,0.001318879724738098,0.002242417108310496,4.689601362972695e-05,0.0007406778104654677,1.4706418145271627e-05,0.0004997653380371114,2.4295061181733857e-06,0.02855833641408906,0.0063168519403669215,0.005530347895887411,0.0012895407508509704
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5412680729354125,0.023981842047209878,0.06648224579175577,0.03350727477358573,0.010000452204238439,0.0008413698308860074,0.0006776146876529276,0.016627712788389815,0.002630415752074386,0.00910134793650981,0.0001725278243756012,0.0021007890275613894,4.135987599096502e-05,0.0008513879525581108,8.063718859530056e-06,0.009674482717310168,0.0040793155651105625,0.0014485352325273038,0.00035499511203229694
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.672716004805378,2.715357726635768,0.0946704600547954,0.17789460323311723,0.01329550925988654,0.023488111873543382,0.009706910989922296,0.0016428876466983433,0.0029555976298867026,0.00016947632108399446,0.0007886116574974955,1.921954281303151e-05,0.0006221087902712613,5.3774135899686826e-06,0.18992094157071668,0.05543092810603635,0.026171052728377886,0.005133762537728792
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09639065200310615,0.0163100826772542,0.007643971449321607,0.0008382289974244728,0.0003193365456810593,0.000595457487508555,6.785305336831637e-05,0.0002378037841067604,3.213467030671602e-05,6.533673097297577e-05,4.992752643984133e-06,3.8375473980001296e-05,5.915251546362299e-07,0.0349522360962059,0.07671285968042652,0.00560705989269028,0.00018217279931964647
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75465721553092,2.7118599277715547,0.0777632369214043,0.08971856567737757,0.17362078347894877,0.022628270383770716,0.04400878027886038,0.0007590146775999784,0.00981027405725568,0.000346750548079644,0.007847353617928599,0.00012495052926109196,2.651638930050137,0.2789461030283612,0.21468951624706223,0.053175154175560735
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07713133438289865,0.029479172228299877,0.0025859150508100726,0.014839923816857059,0.0008797211905705593,0.006028986210780407,0.0012121576766597197,0.0011237761852318506,2.344009711663375e-05,0.0005045173013973336,0.00010259342426222062,0.11352337645437727,0.030832354178018107,0.010980388259372309,0.0006251164828114941
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8297017325883362,1.6228228130522306,2.7774303776250977,0.19020789843849492,0.2417190283338938,0.003928199131795096,0.04634892093827357,0.002357479209510127,0.042772197644199386,0.0024379712179306567,0.18252201104258692,0.04027832492364161,0.03559974607762971,0.0023877320009334513
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027048221792231653,0.11104733881986562,0.014021572568678087,0.022643846110519172,0.00040177972562460695,0.0018294162223291277,0.00016570633097412468,0.0034676797917261304,0.0007817526130811103,0.0054843396945079,0.0007394491080436882,0.0007270125344680523,0.0001586427448438954
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10784084764547575,0.020929791171965473,0.02320501765665095,0.0006291288167394882,0.005082491031968006,0.0004988370794998254,0.004330276622119489,7.921750171946407e-05,0.017565371000788588,0.003236169103880915,0.025561916734883394,0.0004259187896820116
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.520861495017601,4.110945437954639,0.12239681363353361,0.5554559190815656,0.03377432490739696,0.45984347850938,0.028194833664539898,0.02616839509025104,0.0067962601532182,0.004737162916325172,0.00041246160372665486
N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40881871486460786,0.024932099512771533,4.105638011715815,0.11161860679263558,0.525145974339659,0.0272675699048478,0.0042778403073290006,0.0013191896197743552,0.0010211918925022018,0.0001124078548233598
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0534048199266945,0.6206123573101956,0.029525907282772934,3.3669386002486004,0.11215402930249485,0.0051753318683738225,0.0020877112559526817,0.0006309070682603141,0.00029118267083627636
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029795131293711474,0.0008487350435464336,0.10302485746671564,0.0046425906803644335,8.531117286647572e-05,6.245777967550659e-05,2.0692327170945823e-05,1.3916841816730141e-06
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0929314053984007,3.5986357191854,0.12388736785010845,0.0019021925442355703,0.0005370718437436167,0.00030099343797326816,8.314892274274843e-05
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10670090842600799,0.0045787838126123415,0.00012652089247966458,3.809917677932706e-05,2.835069259754519e-05,2.726518635309816e-07
N37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8811374113283308,0.0010531434497373648,0.00044214728418585925,0.0001498598016454883,6.215158760081163e-05
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3638687614967466e-05,1.3765840819579545e-05,6.342180283946952e-06,1.659326191782995e-06
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.117419341590588,3.336677746592928,0.16013895337928274
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145012157620439,0.058208885316413994
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7299948638802778
H42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
