 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,N32,C33,H34,C35,H36,N37,H38,C39,O40,O41,H42
N1,0.0,1.895780545637308,2.042866538678808,2.894453640651144,0.10187449817814853,0.1703965147235731,0.026663815161797944,0.010830386649644308,0.03113594760435237,0.0012313992630111903,0.031563768089008626,0.0034085864236232805,0.00025231267920511335,0.0006890435895678948,0.00038795979833421146,2.658577324254896e-05,5.6027163733984864e-05,4.969311511728025e-05,4.353343069474214e-06,2.4634972399795174e-06,3.1626940720119734e-05,0.1900536237887414,0.03762770902180346,0.08141991195442452,0.13404960151353007,0.009687723192781578,0.0012678168872222173,0.001397110058127371,0.00011572548625837786,0.0002052471633027242,0.0001991585171252086,4.3718586368299284e-05,0.00015057888128254537,1.0746240597159229e-05,5.0851420981740114e-05,9.167805985477173e-07,2.127458995818121e-05,1.488807546135007e-07,0.0017410784059347095,0.0015347387176938704,0.0003213850347656838,2.03824084120674e-05
H2,0.0,0.0,0.02976175001095349,0.10481940565520775,0.002670470729617458,0.01973236091682906,0.0008467203484165964,0.00835355471902588,0.0018970000336071546,0.0002674119152539234,0.0014744731360225583,0.00023449957860555148,4.715258521326149e-05,9.362385903566306e-05,3.461289474437912e-05,3.8071335861644684e-06,1.4154142802258463e-06,5.4536373259583826e-06,5.411015988610046e-07,1.2616096878304006e-06,1.8817756108902017e-07,0.029885823793075805,0.005701442107077015,0.005717563287878535,0.0012952188204351511,0.0004946678440171937,0.00013289032229768516,0.0001702566343295686,1.8074847478732892e-06,2.4935641956158605e-05,2.8434599780191583e-05,1.0892548111485212e-05,3.454579945172398e-05,1.004344242216959e-06,1.5035761165349548e-05,2.1020133211813175e-07,4.811729965692457e-06,2.4088070427197295e-08,0.000154011255002251,3.907105275569034e-05,2.6026057247219292e-05,6.640027752302657e-06
H3,0.0,0.0,0.0,0.10274309939104886,0.008307772402461167,0.03021468024454288,0.0019176843144799172,0.0005350620712392118,0.002913269314576361,2.9629833808719752e-05,0.0006625080608926304,0.00037112991199361733,7.515450651363054e-06,0.00012467230435375676,4.701088567016232e-05,2.4927466268920284e-06,7.694668601399002e-06,3.950133786734256e-06,2.4093674988456826e-07,1.820603645619201e-07,2.8658335260445256e-06,0.005052883301667754,0.0010489468359320409,0.004897846083250501,0.004859163597025207,0.00035673143171222055,1.2573942332450017e-05,0.00023364969846917383,5.384634875316152e-06,1.6565059843598462e-05,1.947084387998732e-05,2.1931139901898433e-06,9.391154910498578e-06,3.846192209167043e-08,2.8268553843302513e-06,6.841440280958011e-08,1.1893062937806675e-06,7.72959274364382e-09,0.00030527574986893846,0.00110672734584083,0.000120955088334318,7.605486187056698e-06
C4,0.0,0.0,0.0,0.0,1.7329152270084758,2.794161348739073,0.09205340902100856,0.0942065394721856,0.1504496700865496,0.023731748842028555,0.017703569902143945,0.010325350941930267,0.0017092719700393388,0.0003253650749277526,0.0013835689478831348,0.0001396710417080893,0.000150958601137674,0.0003079514798746408,3.734079490902431e-05,1.4684463868985809e-05,1.7749078298656684e-05,2.618719475264362,0.29500295790428466,0.21634554556930666,0.020205591577554416,0.037427838918768414,0.0040779675134403615,0.0034442928708611348,0.00023134631708954245,0.0009387186252307611,0.0010615295748306885,0.00010116987440481062,0.0004967272139835555,1.2998585351864378e-05,0.00010485058667975,2.1182921048357173e-06,7.826416768030864e-05,1.1768556015256948e-06,0.0034697775174815093,0.00044996012034584365,0.0010581248532255394,0.00022095353128115391
H5,0.0,0.0,0.0,0.0,0.0,0.09598161544392858,0.005276761872156088,0.0059340802358278655,0.027010603360521968,0.0007636618362267811,0.003191978576372323,0.0011121025460599787,3.4652181088556944e-05,4.81823113362978e-06,0.0003970182660475441,4.011139486093107e-05,2.731112349940723e-05,8.680272482541884e-05,9.933818438501163e-06,1.2366444477329708e-06,3.333483912015822e-06,0.1148171531402693,0.02170414191795611,0.02408795437779543,0.004796273444511279,0.0027219795889574794,4.578083626349816e-05,0.0002408025669570213,1.460832622557362e-05,3.4257715468832828e-06,0.00011930784125468996,2.58058917961268e-05,1.58604710909227e-05,1.7538547503193058e-08,7.294710111516167e-06,1.4087220656655575e-07,1.838434183443205e-06,1.858612974636742e-08,0.0010152334697406395,3.778138249777019e-05,0.000247144429402546,8.65630859070432e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9456346194666354,2.000537535929892,2.4887924611322925,0.08686855782308789,0.0821649780467506,0.17465647797788503,0.01735507698725347,0.0033481925707912197,0.031072056778067042,0.0008549669164693574,0.0008192143194852841,0.006106218897444823,0.0009125751673154658,6.808701653149285e-05,0.0002483431558769622,0.17593200530578126,0.039464961509897686,0.026789666073965226,0.0012576558673093041,0.003561913188409871,0.00048563909228660496,0.001129141669630157,3.116053728802193e-05,0.0001522398447860729,0.00012529904923061497,0.00016288088036607584,4.503857174226189e-05,1.3889708128100864e-06,5.9870406016793165e-05,4.6918124585459964e-07,2.2661527995376796e-05,5.197668017098422e-07,0.00033658367955410884,8.158402410711474e-05,0.00010155575403018868,1.6476711932167376e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025156884639635946,0.07959135409649831,0.0011051041377161397,0.028008856002541993,0.0189609939937726,0.002799491047518199,0.0012359452389179015,0.0018176080911862513,0.00020262479808796918,0.00022408994197764542,0.00022280060361667964,7.884977359973178e-05,1.0966040600468574e-05,3.3880714520817534e-05,0.007768884981331103,0.007854029390638617,0.0014141436898195137,4.028739013328675e-05,0.00014815711844406998,1.5889200848162588e-05,2.4338068010942848e-05,7.092806899589021e-07,2.639463406062248e-06,6.736865294731942e-06,1.9758390975344042e-05,5.446831687017095e-06,3.1859085014573907e-07,6.1121780121631275e-06,9.030200320836457e-08,2.6643130739412157e-06,1.2975003405024665e-07,1.9426629010776963e-05,1.2167632782555948e-05,2.2563991682877926e-06,7.959161005821613e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08782326344099345,0.010107869351586807,0.0011355205226568632,0.02401315391315384,0.0017183039685477741,3.323381358577571e-05,0.0038461109479706046,5.3446562743753034e-05,0.0001361574811253874,0.0012012322625859495,0.00019339815047314524,2.578219563997841e-05,3.507496255816811e-05,0.029512370301623347,0.004383076295816801,0.0037283511125960622,0.00012651703053601082,0.0007830856830293165,9.374085581348446e-05,0.00015579154564382414,4.027603241141264e-06,3.793635809379303e-05,2.219649293366821e-05,1.706794036215875e-05,9.646935954732427e-06,3.5739063153350514e-07,4.351846336847487e-06,2.9530880629735634e-08,1.8685545466468056e-06,4.714132684213723e-08,6.1028978508126386e-05,2.907921330952412e-06,2.0733678830930913e-05,4.682066865102641e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9276450233250209,2.080208082082269,2.7012746189496926,0.077315719513388,0.07993137585432164,0.19158286545100614,0.006621503756842895,0.009796579402416183,0.03771283019678383,0.0038529267937907896,0.0010069161828278883,0.0012689989524616863,0.013199722372542938,0.0035155606368186265,0.005369841616071375,0.0005524556978055983,0.0006345327204211326,0.00018589681278124992,0.00016481353632176454,3.033269124097515e-05,1.3872901677536298e-05,0.00019164999085735657,0.0011082891253294813,8.54059122613049e-05,3.848113554250077e-06,0.00036543377142495004,1.3406425939832545e-05,0.00010102858168870021,2.961103888643457e-06,0.00010338770309881173,9.488863709702922e-06,3.294024276098706e-05,1.0704999020227923e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024899199271729566,0.08694819292379519,0.023923526785603944,0.011361305209001582,0.003832056459784905,0.0013016743204816716,0.00018644876486395567,0.0006953780823535372,0.0001129743216552459,0.0003084905169965513,1.836912126407242e-05,0.0018754437691785864,0.0010786545952863325,0.00032259217062013956,4.930714317907814e-05,5.38842670805284e-05,3.664171632378199e-05,1.821827514170149e-05,2.0905460329512238e-06,1.3746413793924717e-06,5.432036072483548e-05,0.0002502908372333801,8.650721739389411e-06,2.663403781966167e-07,7.737821132347555e-05,5.815532855280026e-07,2.3781975097003638e-05,5.983727113800796e-07,8.229319224284382e-06,1.1315378269927123e-06,2.72329818362671e-06,1.5801893076261564e-06
