 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,H19,C20,O21,O22,H23
N1,0.0,1.9541874804992805,1.983399836485935,2.87066790990539,0.08429546957499046,0.19793186259489967,0.007529270951717182,0.031122197280220254,0.014233054482745366,0.2225902294638692,0.04965375132905332,0.03582289771127395,0.0023881207994465026,0.006587494268657151,0.00045355072576080957,0.0008920959654540178,0.0002559790673528628,8.006643404223635e-05,1.7021063868583042e-05,0.0008973589243624902,8.661751615059166e-05,0.00028510217773934643,7.91093704911594e-05
H2,0.0,0.0,0.027148362621182587,0.10549887445771644,0.007212553590866033,0.03341671484542008,0.0007809999048085103,0.002864074340153122,0.0007849558057673178,0.007658547304165375,0.0025424802911347966,0.0005013564030524886,3.863546320004296e-05,0.0001682432547578383,1.7234906263041694e-05,2.040130964608977e-05,2.0625268872809244e-06,3.723363612762043e-06,1.978266152224961e-06,1.5889694161996815e-05,2.5466615264368997e-06,5.769016294010498e-06,1.5847965337822956e-06
H3,0.0,0.0,0.0,0.10465410148378795,0.036538678923214274,0.009023350209007464,0.004578650261492401,0.00028034062792947623,0.00016455754639999043,0.01965009863916778,0.049281201103548056,0.0034824022998632964,0.0008194212848531279,0.00040597565959066273,4.52178206813425e-05,5.228389819045276e-05,3.86927523821079e-06,2.2824483056460565e-05,2.2390833411822797e-06,7.018522612467493e-05,3.702384546222515e-05,8.807139598054903e-06,2.678342386097654e-06
C4,0.0,0.0,0.0,0.0,1.9748251543893325,2.8142057109381686,0.08370307769636587,0.08700608117599762,0.09292084569424497,2.324316843973201,0.2730435662381137,0.22995447229711488,0.01542116637560631,0.03635788154147393,0.0029212959547813,0.0036039538168053387,0.0008219496411734362,0.0012343764886153519,9.772812689989863e-05,0.004358674683784924,0.0004218957397643247,0.0012430593272680923,0.00025258802086103316
H5,0.0,0.0,0.0,0.0,0.0,0.07915100320143509,0.03504212747424473,0.004345833658005782,0.0047769231789751565,0.09350382869862894,0.022780778196475837,0.012264200739203979,0.008972927869434821,0.0017257541306880952,0.000337404477740888,0.000180990263220826,1.8201410322271627e-05,8.141971331054876e-05,1.7651417442143824e-05,7.879674667488068e-05,0.00011104172643339183,3.207611176292424e-05,1.029220023696098e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.017079591054549,1.8269873670911516,1.7040061311370072,0.19391208142557087,0.039240355070574856,0.029912991242121933,0.0009419276261100062,0.003579890971208338,0.00037061177513719734,0.0010470322084065176,0.00010607995013345306,0.00018250008342590718,3.503019820683129e-05,0.0005392451893634354,4.9855040551549656e-05,0.0001886329490185662,5.260063797429826e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023712316898887753,0.02461145758262373,0.01160048085827059,0.0071829875856773695,0.0013414785590968314,9.77732616636029e-05,0.00011542622924420876,1.4920557765529807e-05,3.677691995918053e-05,2.7957878541151615e-06,9.876952319798349e-06,1.2566915430500813e-06,1.7477443974511786e-05,4.2860884501561e-06,3.4685279274304648e-06,4.4499170215317463e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025309278912672983,0.007708637958028897,0.0015243592733940048,0.003439292877014166,0.00039276440919522315,0.0002199489719445502,2.8875971223918384e-05,0.00017219719033323422,3.02077817575519e-05,5.428199582935278e-06,1.9612932027346375e-06,2.0431870938919516e-05,1.1176511039101555e-05,4.588673686800604e-06,1.0600109923153411e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030635080673629522,0.006496022528381218,0.003983096594482927,0.00017443995008425972,0.0007311180476881063,2.37682850185994e-05,9.910499306475806e-05,5.044175004353946e-06,2.5249172206365245e-06,2.36001219766635e-06,0.0001497238355019359,4.70160562471289e-06,4.69246739507323e-05,1.2522952400839671e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.047421591348955,3.558459495934555,0.13849835810848554,0.268358958399592,0.02275425575285417,0.03188778837257575,0.0035459413808294205,0.007160371511289565,0.0007663458530751122,0.028984984196714303,0.0067888529855050506,0.005702858292098517,0.0012048466316424422
