,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19H,20C,21O,22O,23H
1N,0.0,1.0205339107588598,1.02202485263484,1.464019147746261,2.0830332549360775,2.449729427097544,2.7295472353019963,3.4120240250072786,2.658808109258381,2.4922732399306042,2.8561296113925936,3.6351152958330584,3.9173588412435114,4.897273315474656,5.127614576349616,5.341782802702547,6.371897405672735,4.826359556302602,5.485453715460708,6.031554545759444,6.122319606104568,7.211481244399423,7.903850085570539
2H,0.0,0.0,1.619987966979223,2.0413193164468844,2.3278844288667804,3.3377036517553074,3.683746371399051,4.19266549266923,3.5703645742586247,2.7404163192234896,3.0910703644465203,3.714630490720834,4.005208043715405,4.909190383530419,5.2916020607250545,5.084771032581326,6.137155268917851,4.529994428625191,5.074518493084782,6.0640777642155985,6.175907873358274,7.230667709317608,7.9311232795089674
3H,0.0,0.0,0.0,2.014796186663009,2.9071665773304796,2.7283363851294533,2.5891059409539876,3.718880756377978,3.0932664809503945,2.5614630351995253,2.461425425985621,3.8777118031813154,4.374205857306678,4.952938827640542,4.992477114422722,5.330151803311005,6.2829391495872216,4.668197598002585,5.64176182386506,6.233389261076885,6.500326582700206,7.304319751137376,8.074260038865003
4C,0.0,0.0,0.0,0.0,1.098323079845508,1.5369998736166006,2.1711530992977153,2.191001150561368,2.1640350989163974,1.5415254510691656,2.420312384819736,2.4676597326621095,2.6189652733218014,3.8388226594900994,4.103812679452352,4.61591155090153,5.6334278769133235,4.359782491302062,4.804657406629423,4.7968046618641464,4.796396072126578,6.025230399867687,6.649706861802712
5H,0.0,0.0,0.0,0.0,0.0,2.159574897890544,3.069578355556198,2.5079186373848996,2.4988019962054167,2.1715010459790673,3.268938722192274,2.5564955749480163,2.311598262107089,4.007909863763764,4.512714016783078,4.770064001260647,5.822851024395074,4.692361922966677,4.729609609672588,4.710092186536252,4.468841601443206,6.024125118291711,6.534326836540856
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.09620399169477,1.0962945817478835,1.0939147577516788,2.5059952204483036,3.1648982166196147,3.3153661243222445,3.356089950450023,4.554025244578868,4.553663302770458,5.633373535148743,6.5462040757691256,5.450245331693604,5.978077000119528,5.329716363544895,5.251895260952472,6.4984365900491445,7.053998909373881
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7749405626052206,1.7778581066187429,2.732876067932511,2.9560849659281985,3.744345882757192,4.028873014121351,4.779907075413296,4.541598191368725,5.8122661037959045,6.644217484310777,5.499284581104804,6.32215768024972,5.708744846542288,5.827469452455042,6.7495490629237755,7.385615338021832
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7846000488944544,2.768806647166914,3.560811898105829,3.1550302230365013,3.0159980992442894,4.278221939970905,4.265393205624193,5.565524969482326,6.403782575721997,5.582469159399906,5.924954392358114,4.780290596142199,4.587669227559449,5.92391650028575,6.378145365043688
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.460049449401052,4.128143082628488,4.25129745585304,4.147666589723848,5.565613702095234,5.630839969707428,6.60484581984679,7.556912108139209,6.405618558603421,6.855005777009761,6.269852854076895,6.058368051293505,7.482601206605373,7.984979119336187
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2300706250406943,1.3627330751550075,2.07534956398389,2.4629911833430516,2.6575982737801502,3.2104586522215857,4.172182080972612,2.9529181605354764,3.613097408194461,3.6753247258372186,4.011324504612618,4.773759371716925,5.517007530629968
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.274164763484076,3.1786435874896317,2.8021356911999593,2.630986915556689,3.2400155473222334,4.052207865435037,2.655593516305858,3.8846862883959794,4.234202381476496,4.838872856831887,5.094387750444421,5.953882367671905
12N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0132647356840743,1.4533356002720852,2.087058335489739,2.494119206394281,3.4324150712302064,2.7248475570144897,2.773905905766653,2.39772505064146,2.68480913120157,3.6028735818262487,4.2707463872818625
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.105603112749128,2.848605400643357,3.1801676297581856,4.081873338247326,3.5861388818741946,3.197285031860618,2.422772815792568,2.2170948014604908,3.7602342990148894,4.226037419737079
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097715303339483,1.5421601184862292,2.1822823527803585,2.151827776578773,2.184377187684556,1.5208296449986638,2.4296311307754523,2.379221929628651,3.2124701581715978
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.152473137001786,2.479572776634823,2.467188349686985,3.0706157343430487,2.135521512228789,3.1322497427049747,2.606449410849564,3.5011383049405183
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0939504686269315,1.0923982818271358,1.0955134389492702,2.5295193952603885,3.471298966641821,2.9428613652706783,3.805932472248073
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.781580558333288,1.7828029751434378,2.7904401973665722,3.8797243347515935,2.6672772574237054,3.5342399797739934
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7815969062691615,3.459568223674556,4.368026327675688,3.9247495154831724,4.831707146629094
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.789510297305109,3.4456756762429483,3.325692116825776,4.01338513343181
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213987452090684,1.3479804519781466,1.876083681607489
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253503401271143,2.2902604070316497
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765332127997504
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
