,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26S,27C,28H,29H,30H,31C,32O,33O,34H
1N,0.0,1.0221728500688692,1.0182958092247885,1.469173680402851,2.094342926404613,2.4351492844823164,2.722563017190483,2.6809073936260543,2.0479495671580863,3.8165357199833796,4.251842323155047,4.086707535530085,4.574504713395765,2.4777181814614626,2.7967305285031925,3.652411117436308,3.9519273013063745,4.911275490731197,4.947359830405927,5.6615292326839795,5.921385875317528,6.65658917145036,5.272816133773715,5.333700404285005,4.375965585868702,6.76885237304635,6.861675664663742,7.8318594238944375,6.1303270227295155,7.042201401359971,5.979293248998248,6.072273140718379,7.117787010645583,7.795687498023686
2H,0.0,0.0,1.6324887614687429,2.022669924139082,2.8982290507945447,2.8275839507346676,2.7100045567181907,3.274920821611302,2.671699821764207,4.246526141897143,4.522146471393749,4.718990496813508,4.94977425036869,2.4720557100910674,2.310199067691399,3.8005312877437234,4.320532305692451,4.851832211289656,4.674066436056962,5.588059811530021,6.024447403099122,6.505807719267703,5.056179444555185,4.914383041702267,4.245461083411087,6.56577307860211,6.91856581207635,7.876678339067629,6.255047371571423,7.1957161467281505,6.034249876014719,6.3072644888811356,7.046267576969492,7.792677648117625
3H,0.0,0.0,0.0,2.058751829327085,2.287007783739656,3.311337501528564,3.7041014796638656,3.488227426034912,2.8074034631193463,4.561810134109077,4.9534439798073535,4.655083092004622,5.4026436133825415,2.8572912632878547,3.1957847848622603,3.8579673860970436,4.152934505556791,5.10370831012247,5.259648462328907,5.592340867483321,5.745927639632778,6.633112462019068,5.046976183801052,5.23178307185622,4.039261199784877,6.35250002245903,6.275193409652963,7.186130095024682,5.445578142047907,6.527158135268441,6.261511177760851,6.378454933301731,7.415397711947266,8.123815036327054
4C,0.0,0.0,0.0,0.0,1.0970579030921894,1.560815273693343,2.1571400068192954,2.4088160495136233,2.333809537768855,2.5888164598475125,2.8946941047534755,2.834090582720385,3.5224865976712634,1.5342812476077339,2.4084446976762974,2.469331753989508,2.6032164392969737,3.8318006469344836,4.013493247028808,4.8028532333826055,5.003683734346732,5.779790693396504,4.801591405974485,4.973778392801465,4.049423652482382,6.4551424238954205,6.518991209620314,7.566290898797364,5.935466525640122,6.487274396663993,4.690659063736972,4.662688784194877,5.89500927418305,6.492064978312429
5H,0.0,0.0,0.0,0.0,0.0,2.162005619686533,3.049967388103,2.6947350016325444,2.6950071098649624,2.75342181750233,3.1415456167111806,2.551798666457549,3.7456474168423237,2.1815174066066327,3.261607776085804,2.594662014054916,2.3714460482560566,4.049775146707717,4.49761759616534,4.877445775035667,4.832338383077639,5.906851729829326,4.995688539188228,5.389019794906046,4.191661900876452,6.525110749923857,6.287329132668802,7.314367513078247,5.655679552572279,6.148311396794641,4.759075101924376,4.531122023971926,6.058726636662572,6.576830501144708
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1056878433774573,1.4124552377773856,1.9032650505632798,1.5240631893098657,2.1872574955578847,2.1656768881471518,2.151224561457885,2.5594485690357045,3.2451817514107937,3.3508625176465436,3.29914970026615,4.557878920461322,4.592526837614978,5.821314194921157,6.080053594100586,6.680939813539501,6.0373327936482655,6.086872392357661,5.427404467963083,7.787131555754127,7.948797056205533,9.017355940977497,7.434098806638332,7.831397168633648,5.068634721993058,4.866866147234877,6.208308464112636,6.664474215396978
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.077832321094569,2.3927247586401483,2.1587201206051203,2.501113125830969,3.0743715073040185,2.505215304233699,2.691956105416392,2.963966518926659,3.6641759672552627,3.8572098637466423,4.643276064747173,4.413505169271018,5.962216423708086,6.405737405514592,6.728865424660553,6.0944449180176115,5.944876323634433,5.579934255281015,7.885266692327525,8.289624448682845,9.357557847874443,7.832162803480058,8.24931180005965,5.226268401535086,5.218587880337265,6.209412542501167,6.718802423074719
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800616618236501,2.375697725536109,3.344441966954822,2.6507273605253037,2.596126714586216,3.767136306243538,4.412848521746563,4.5931650272121765,4.427447371801409,5.892916801042436,5.976206756694039,7.071867023262983,7.237823802941646,7.987003746135845,7.18860670856539,7.280049036108997,6.45498451065723,8.86327527058984,8.870838152058813,9.905830165375594,8.232000361109085,8.785017808423813,6.392400670219242,6.071068496379515,7.572368492024388,7.986441701228513
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.181254964050797,4.0445397431974515,3.4272844073006685,3.5294148380165344,3.758510570553308,4.27037520239628,4.757813964590352,4.725783859688505,6.08901330344785,6.140419557912697,7.132275512224718,7.320440483168649,8.092359456136585,7.041817090312176,7.110542712678388,6.219344466560677,8.641034351384368,8.645223786578102,9.644828334631416,7.928362151258929,8.671137928518178,6.792980740654305,6.589538669663761,7.977564202967714,8.481821660452884
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0948553952783653,1.097012461105491,1.0946183208559828,3.181096423252342,4.056857454891678,3.3859315804169596,2.9973989419888634,4.427815564223435,4.615592230111405,5.8195796115879395,5.9657615019265275,6.575705871800164,6.406720808606648,6.55781030427321,5.960012368279835,8.166973422285784,8.254072620214918,9.338676812841127,7.870813622389779,7.938716258639195,4.461988821832854,3.972499716350989,5.59129429347825,5.8462474405462945
