 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,S26,C27,H28,H29,H30,C31,O32,O33,H34
N1,0.0,1.5810945542851984,1.9352985209315547,2.790358023038625,0.0853366548740847,0.20130637006411922,0.007035908177483674,0.10171505863044575,0.21217848681351736,0.030358553523593193,0.0010344845512474388,0.0008979249676615009,0.003924954023753258,0.2186821254397006,0.059125301213060075,0.03411212185107741,0.002483373532635169,0.006492860477604223,0.0005308182188745736,0.001238339845403072,2.7765092215803477e-05,0.00027010812850891686,0.00014137847130406278,2.035053729299019e-05,8.376418744515668e-05,4.3600232699884944e-05,2.9929815155288475e-06,2.423149710883976e-07,8.032180459638383e-07,7.998080222559878e-07,0.0005972087997965225,0.0001184091227740755,0.00017523405085122234,4.0049894753591e-05
H2,0.0,0.0,0.028961135685407813,0.1036015547170861,0.031779365679572846,0.005880155147873212,0.0028353380322185817,0.0017504995676357327,0.001658349879772203,0.0007606187448183643,1.5666348346377035e-05,0.0003604643200425528,0.0002081909699496176,0.028555014272868995,0.07235511130737937,0.0048706592354186284,0.000554381472025467,0.0006585248714418013,8.91732716532534e-05,6.022320514098567e-05,9.270033546338041e-06,5.909505901513512e-06,4.01134656603519e-05,1.1018330805301346e-05,1.0032081064981213e-05,1.769813890062366e-05,1.3706771084809333e-06,1.8374338517368471e-07,4.481112558796241e-07,1.1533299359989257e-07,7.956842854595081e-05,4.888983059248009e-05,9.090763166463844e-06,2.1037693263004087e-06
H3,0.0,0.0,0.0,0.10357090197085705,0.009514820287354286,0.0286408602629461,0.0005445769075322904,0.0036308868422191276,0.0013261699814888228,0.00335806538674277,0.00010004122444295938,1.717773046494564e-05,0.0009712998002133766,0.0055589099287995936,0.001522770724663669,0.00040749636552050994,3.6226940508754524e-05,0.00014726380537433137,1.5985169141252698e-05,3.4598280495234945e-05,7.965500945505966e-07,1.2451707057214989e-05,3.7175665087874066e-05,1.2505960738096178e-06,7.383262376414734e-05,1.7422767315200538e-05,1.1165039290883527e-06,4.9740280561039185e-08,1.0278765387727873e-06,8.717377686373595e-08,1.247234356926974e-05,2.413775006981922e-06,3.6527350901760514e-06,8.434405036616965e-07
C4,0.0,0.0,0.0,0.0,1.8456144659316638,2.492610511712221,0.08468009848165026,0.21451307535409334,0.035098396165333945,0.16060614825111943,0.004222668148521791,0.010917912013012065,0.03156848469195572,2.7453604729927834,0.27733319756907754,0.22569461421882087,0.014764478921757807,0.03531947000849647,0.004908547269857233,0.003618738406173022,0.0001478928661684531,0.0009059879963155826,0.0009864216658869163,0.0003597226626734784,0.0004063321660514596,0.00023667618557955683,1.56103453480827e-05,1.8508880914591685e-06,4.022983147944359e-06,2.4912158596013256e-06,0.0034329378519587783,0.00045311365709189977,0.0010377740406029567,0.0002135619582673831
H5,0.0,0.0,0.0,0.0,0.0,0.07885789086745487,0.03564109004793936,0.009066712080618933,0.0014449297006453587,0.011332335136265526,5.371320234548449e-05,0.005921612100898033,0.0006241214383446714,0.09339487456398388,0.02380372777981521,0.011044320414760112,0.007141282522886483,0.0018065684912405011,0.0003316362589957933,7.026940670895598e-05,1.3344218789956841e-05,6.918445647041693e-06,9.261637461155381e-05,3.023892076758905e-05,3.8704106519960035e-05,3.171139013657953e-05,2.3242936723066876e-06,5.605927970719904e-07,1.1351763946620963e-06,1.3222175065941144e-07,0.0001261011054636274,9.118000938912463e-05,4.5618106833233973e-05,1.4723553205753248e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8540369738815903,3.1518054865274903,0.11612087077369082,2.765606237395089,0.09596506651844372,0.08654493991740653,0.1012273070808849,0.17929862681061615,0.03699897516698186,0.026287841053341282,0.0009259240018421044,0.003251078885062736,0.00022698849987867753,0.000776718174076596,3.0865212659270114e-05,5.7586640281659385e-05,0.00024338685176814034,1.5185511627047177e-05,0.00022845607863031248,6.0045704068922845e-05,2.85937891625343e-06,3.035617377467048e-07,1.5122714540627413e-06,1.4888798864909347e-06,0.0008397651635073389,0.0002943252421758885,0.00023589260717636618,7.236889467920893e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11121488817086034,0.007044140237915775,0.08509410935784056,0.003891937068134732,0.036901602710519565,0.005064760505794297,0.011610303207465034,0.006742645167169936,0.0013995353150355605,0.00025123527262538303,0.0001302078666249873,1.3177326580349202e-05,3.2163063400814096e-05,1.0226895474918507e-06,6.737213491758709e-06,1.600730553441565e-05,2.707390895029249e-06,9.02717405448783e-06,1.1342854512763623e-05,5.125262441119105e-07,1.549122279342896e-07,2.638966229984163e-07,3.752344723828571e-08,7.89499079489886e-06,1.018275460007434e-05,1.6152325201801432e-06,1.7224278381355873e-07
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6273996541893312,0.20288979933442955,0.030031785682385514,0.009774379582649928,0.010663117960117763,0.03951739943837826,0.009546458698497996,0.0058356491922911535,0.00031216941372824714,0.0009941972996836135,9.843654663188595e-05,0.0001449506737316586,7.413527283173238e-06,7.400122055467584e-06,4.3161249467182916e-05,4.745571518971481e-06,3.61822304064674e-05,9.919848684154797e-06,9.30892020828411e-07,5.0198613710250584e-08,2.3734519594142967e-07,5.056854108786979e-07,0.0003437245513789322,0.00012598947899281066,8.954406525067682e-05,2.2891915902434334e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0330617726197765,0.002516091907934559,0.0007474000303338002,0.0006775673211349975,0.005634351733050602,0.001214815671629288,0.0008349151807273136,3.077057962208585e-05,0.00017878524109804506,6.0339927663299875e-06,1.1036636894501406e-05,2.6268788033689816e-07,2.546762587707363e-06,3.6396004688965533e-06,6.790733753092582e-08,6.865041304315866e-07,7.534981838475119e-07,3.3688656309038834e-08,8.031735276858853e-10,1.1998136040247687e-08,1.5507342077114572e-08,4.031430020756677e-05,1.6700884015175e-05,1.168781282223641e-05,3.797627841972684e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142618898153862,1.8855628163031142,1.807515101667267,0.013746750989520579,0.0029472007964035513,0.013556397260505587,0.0074630427473300065,0.0010150567992533721,5.9530221071302236e-05,0.0005289280776684391,1.5212408529974297e-05,6.068361270039624e-05,7.484612938915558e-05,3.5928374921834205e-06,4.595172506838274e-05,2.704327699151743e-05,1.8765806770876248e-06,5.7388773178068675e-08,5.435061332104141e-07,5.028438279097713e-07,0.0013644282681789799,0.003183036737230152,0.00033353860596949114,3.101389917026243e-05
