 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,S26,C27,H28,H29,H30,C31,O32,O33,H34
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024235295296782366,0.02562087754696596,0.005584652756964736,0.0006539092258065482,0.01164718707307455,0.003955968095418649,0.0006990368296775351,9.331163572467993e-05,0.0004991254559019165,1.1113964984099667e-05,1.6883213126428487e-05,6.340929742543189e-05,1.0040079396755885e-06,2.679609879674416e-05,2.0798632927587768e-05,1.0712103977184029e-06,6.6226439887628885e-09,4.429743998279889e-07,3.7162416943736787e-07,0.002753008231063836,0.008128233188466782,0.0009211162162976461,1.215073432292435e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024434062795054334,0.0009036055058841974,0.00034298822447142996,0.0005992908521565976,0.0015814893277203979,0.00011714335904344786,1.269935077585771e-05,1.5506745479676454e-05,1.9528753327779924e-06,3.3542144748377467e-06,1.7194240327089716e-06,5.720286044841316e-08,1.5545653968551676e-06,7.731261937315992e-07,6.359848780945754e-08,8.990478139736524e-09,1.177548658581884e-08,2.431603718378028e-08,6.506430730945922e-05,0.00011724156678938336,1.4346173468737788e-05,1.7028506571481472e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016293276468324347,0.0006614883826245865,0.0011374895518687644,0.0008913991836954072,0.00013907647396105283,2.9301982453766584e-06,4.7194661416671835e-05,1.6933741424640658e-06,1.5608953925605462e-05,5.866230010198592e-06,7.56459691109157e-07,1.9446435908232473e-06,2.858622705548264e-06,3.282636616974699e-07,2.5453290364296777e-08,4.850769719233483e-08,5.442368222752236e-08,7.37367817420509e-05,0.00010792827719674492,8.399993887908686e-06,2.159119407485477e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.413759815171877,3.58100558786957,0.13685542483191793,0.2780291471122087,0.027378215145627438,0.031773534323893377,0.0008334876034414851,0.0038333251237572252,0.009307871133802353,0.0010946445621804468,0.009116254773590349,0.00232070398855988,0.00011142470106903501,9.676094133270752e-06,4.151890647685619e-05,3.143683221695781e-05,0.02975101169194369,0.006666667596121903,0.005829272558785931,0.001281272680743073
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5396435400822173,0.026751099107939158,0.06800726247006043,0.04499903720478604,0.010459254067561194,0.0010002726953255436,0.0015487122442776613,0.013069009064789527,0.005959941806391034,0.003411091927188914,0.0030193497044506655,0.00018986824159121507,3.1910570836624075e-05,4.0276594248433994e-05,1.3025119609988423e-05,0.010494563296806161,0.004385199411009365,0.00150838123380196,0.0003464057225869288
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65646067190765,2.892105476310387,0.09343281680581716,0.17859860420644594,0.008197931874126319,0.02620565021118515,0.016791181855809606,0.0005918065695126318,0.007029314493251837,0.003461534961947496,0.00028171897905583665,1.4924716152941997e-05,3.297752438635726e-05,8.175423266898463e-05,0.1960503063791774,0.05544298018746947,0.028978996693726944,0.0054068167452661076
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09656550653865881,0.023490202053204623,0.005847736631660161,0.0010167741903615024,0.00016735681682922277,0.0004452396139329462,0.00011071392676909042,5.5594921163359956e-05,0.00014975513023951503,2.5089117466570166e-05,3.5586724642655554e-06,2.838064912857874e-06,5.146083417173486e-06,0.03059489402311899,0.07103163402573565,0.0049356944772160904,0.00016008566819003534
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.826268957515982,2.4219736030676042,0.08236815997792513,0.09491068825312832,0.16191708410636696,0.008378477375922788,0.005926782771122907,0.046056001680595884,0.002323403909159999,0.0003635574858897872,3.9007421129610975e-05,0.001144001455521071,2.6339559200679927,0.27951854672887816,0.22141818746524056,0.05397607088636225
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07887840843300764,0.03180622670250255,0.003669730359106227,0.010822550648514229,0.004111165241517334,0.00018592607316469945,0.0013269294309213864,0.0005789382120217068,0.0001100215751161926,6.189078926910341e-06,0.00026976882877849384,0.1089746137317682,0.028980791724954158,0.010490990718110993,0.0007027828134602565
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8916720661475657,2.0739449785952884,2.7439613002266685,0.08444608741869075,0.08334239166443824,0.20630243666920392,0.0147721049991031,0.001481458009298775,0.0009004859353589634,0.005341833193915457,0.20283381069224815,0.04316939379580731,0.03209592331048085,0.002091293592662802
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024510689750197434,0.08122752634791319,0.03261531743217705,0.005139197055340716,0.00968150831082537,0.00621527336765304,0.0006411287367560359,4.475726795627466e-05,0.007829840804210342,0.009565010697105913,0.001606500841142,0.0008349003678347344,0.000158238164808866
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08184425658148453,0.004918633638629988,0.03256821130737042,0.017268596413961168,0.0006579143127161124,5.1777892524418334e-05,0.00030919514206706467,0.0001322812540225371,0.011107684245496685,0.001841702827604319,0.014177066752802836,0.0002946532170162719
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8748196319002892,2.0553669099293685,2.5279297959398277,0.11838828884437778,0.027674480061082196,0.009997944387560631,0.006167852009183017,0.030330551521257187,0.0077425688822251315,0.005306116854332715,0.0004193385280013562
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02586702662831386,0.09328628549269391,0.025663772020616205,0.0013671422587873128,0.00043637346194591586,0.00021495488733513923,0.0009808421622836683,0.0002883435152423175,9.647345461316625e-05,6.703885815584343e-06
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09200459171275088,0.012046339481983193,0.0005530049908324397,0.005116952108553008,0.0005775392350955144,0.0007867767538856096,0.00011446135725823314,0.0004490845127235188,0.00013352651404385796
S26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7203751625794874,0.09241530514721175,0.09634191415536963,0.09645079119024946,0.009320854220665475,0.003540156081251855,0.001194440882662899,0.00014995078725810185
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.773669735491084,2.074543262034317,2.048006690326881,0.00037908893781277153,0.00011998551132919727,5.8089827621982115e-05,7.3062324363881714e-06
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025575737073765925,0.025139643691740154,0.0001065961917823266,2.840254571057077e-05,6.667354363054656e-06,2.934390624043104e-06
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024161317431309337,8.872595498088387e-06,3.869933828726246e-06,4.187694647717066e-06,1.0825135055014812e-07
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019268416488604778,5.5488333573383564e-05,4.285940316650638e-05,2.3915548079678217e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9172614276536,3.5781256871815152,0.17373233507421793
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142773090032458,0.06231206127664879
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6979200565633477
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
