 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,H16,C17,O18,O19,H20
N1,0.0,1.6683094429821657,2.0239793479447803,2.7864595141497284,0.10033062105668555,0.18374198745156495,0.00845605199681132,0.02934145978505376,0.010771040096602347,0.20370105954682902,0.041127091808830105,0.049453558496606806,0.06651828032569396,0.006188554092869503,0.0006850104721869421,0.0006362848613996608,0.0011511330769769512,0.0005721054161871089,0.00022170764954575206,1.5095755870109251e-05
H2,0.0,0.0,0.02710029682122883,0.10312141678897524,0.03726911153594381,0.01338541148804584,0.0066835603802299914,0.0006060476103277868,0.00021590199274990063,0.005540954340501392,0.0010175685994437966,0.008288745936972486,0.008907599701942104,0.000996938462808794,0.00044927096043911874,3.203501857473867e-05,8.187297591755183e-05,3.813783037787122e-05,2.5141131782757675e-05,1.1629691856196445e-06
H3,0.0,0.0,0.0,0.10010608434100621,0.004915828491387719,0.03332283481199061,0.0007194853743002216,0.002950291088252621,0.000660348598250593,0.006241754430406976,0.0014650027257037124,0.010512566225700182,0.008362335143657473,0.0010325950264848949,4.9441706508668304e-05,0.000559777023493746,7.185944600607286e-05,5.8420990739493917e-05,1.9853224532351277e-05,2.7165921023808437e-07
C4,0.0,0.0,0.0,0.0,1.6744314454952578,2.8421117882568696,0.08373238000485284,0.08942577947184738,0.08993907167906579,2.6163238279700223,0.290339378412772,0.22119780447102372,0.011791688683951973,0.039185066602904745,0.002212674751152499,0.0015671800235282918,0.005144574633215021,0.00033676226879571225,0.0014833244802582163,0.00030896193046503484
H5,0.0,0.0,0.0,0.0,0.0,0.08576082751368685,0.03462078520682543,0.004437746782484098,0.0059094945841511315,0.11213472297326832,0.0201382335891499,0.023634252228764807,0.001461107627046987,0.0024128048478976316,0.00035795160964546824,0.000437184995372375,0.0005389196084977232,2.340053927873953e-05,0.00014684696170041978,4.091900663572012e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7196181540151068,1.7996671054899687,2.0032914872217535,0.19210600348378468,0.04574969399164471,0.027617157838958586,0.001415454971190666,0.003766315208996618,0.0005563383248652354,0.00048799955735079337,0.0005673725398787077,4.9779058609797366e-05,0.0001885267830161047,4.080867651334863e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024686907434811056,0.02358916465330796,0.00858617665232364,0.0010689458776682592,0.001377111062808467,2.3128907145952837e-05,0.00019441162059452566,3.909556951353643e-05,2.4183212404382814e-05,3.448262809890856e-05,1.3004147337847272e-06,1.0874338191912969e-05,2.5805903116626894e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025889504505290484,0.01251913920632619,0.016735133005583047,0.0023657238493801636,2.878538861983415e-05,0.00018587264757941035,1.3042558079545685e-05,2.85425894739344e-05,2.434069091017399e-05,1.453849589960754e-05,3.611056085262021e-06,1.1864553581819592e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030525966325896325,0.006179295159526532,0.0038530524665847388,0.00010134252849725023,0.000922928807983725,5.996723039691787e-05,2.052592408974263e-05,0.00014920919604444194,4.841969934887835e-06,4.94918126706656e-05,1.473584656053184e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.692491209886212,3.6288157965003003,0.1374484777024585,0.28059864837774584,0.02309169834856717,0.02214494915003784,0.03069394540028164,0.006529235288574131,0.005972341155072447,0.0012372207427517878
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5557007929192012,0.025570000953403116,0.0801756602424726,0.02335395263163642,0.016497681441381973,0.008605226717816342,0.0042322401706978395,0.0011122488721037327,0.00021673341430916704
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.654784165383829,2.8547991145264064,0.1049626232968478,0.10499524793355208,0.1907561502929442,0.054692084414512135,0.027664865024507365,0.005156416503146466
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09479710624468363,0.013490950041276761,0.011296686391111699,0.0317025096026915,0.07312169143392266,0.0052413903263647255,0.00016609456870675388
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.945548537095645,1.987628391052743,2.8568534460704402,0.2847851164970867,0.23130044461626348,0.05493879260406975
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023661719161258032,0.11934619369447685,0.03496415269960296,0.011328377841611115,0.0004337763155928265
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12024299800221971,0.03534400894869638,0.011734175350417098,0.00040766331768793407
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.785429049256811,3.461877319577839,0.16901486997448345
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5051980214570392,0.06361614715528519
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8306077598405044
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
