,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21H,22C,23O,24O,25H
1N,0.0,1.0226328684889467,1.0239978568152979,1.4751435498368743,2.0892826089781873,2.477493132112855,2.4988635609976697,2.9118527654383235,3.8772529240548983,4.656126283792482,4.443614718865075,2.4830805342823052,2.7414205184931153,3.697137336964246,3.9604195924512213,4.891265175958113,5.103139733497606,6.130192431043899,6.257856598417931,6.275572179790162,7.033335987117622,5.249718936638665,5.255582094633313,6.1519905799748456,6.555866817432428
2H,0.0,0.0,1.6085543953353596,2.023938223336893,2.9060371373903697,2.525018375551259,2.448909400751306,2.6003438573225273,4.076959581738084,4.785481864780503,4.75904278310555,2.833260783119222,3.022338062309444,3.980821232920109,4.261687182120781,5.128072398707556,5.486893937892842,6.356841749154639,6.621434497124467,6.3629651762627875,7.247057353865333,5.229064137269874,5.0065944060083805,6.183840125965338,6.4499995218996435
3H,0.0,0.0,0.0,2.0085098781930535,2.5124050903623694,3.2999995458186033,3.487512477652291,3.612887376999297,4.64240417415469,5.53739561485604,5.003048563071945,2.4033223453452606,2.193854455248565,3.739367386911723,4.245206418153315,4.7145517133737895,4.7498614163463655,6.095706397128999,6.28671169416416,6.378065437729502,6.894014125296779,4.976588618727113,5.1107523675926885,5.688299085185904,6.084188836734095
4C,0.0,0.0,0.0,0.0,1.1014568044671142,1.5468998296225807,2.1464932923108035,2.170002821021316,2.6683993498038485,3.6680213087206437,3.01808264636437,1.549522713337489,2.439433311956687,2.450950302012519,2.5286454214040623,3.8002684865830907,4.133431220427735,4.861354344036238,4.892235559518517,4.988148482100532,5.836393354267208,4.449668003920551,4.561577826575399,5.494567151021177,6.029812912647041
5H,0.0,0.0,0.0,0.0,0.0,2.1578370919429135,2.6246601986292535,3.043454243993839,2.7441264305298128,3.670767691294805,2.9358821800707005,2.131842210900747,3.000167180946352,2.795743047630975,2.700251289738425,4.102330922930597,4.255440330619716,5.036863385066368,4.835475772762477,5.2957855643739435,6.013094240615681,5.0389529640809085,5.344836675452229,5.998987287213406,6.6530363619109405
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0945155231819743,1.101798982505959,1.5684114494528532,2.3909117691835764,2.431586030377318,2.608499461178769,3.6605400246927338,2.953006921669701,2.5661791720747145,4.359276789964776,4.990224711611842,5.07913593182909,5.107336135393344,4.881786950412712,6.13592419616704,4.935746318201662,4.759734190456495,6.179752618650736,6.633933689219591
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7672641967194376,2.156605450937548,2.4552113959606126,3.2813996185321272,3.4874628029066015,4.397357425301763,4.014049057441993,3.6385638355932444,5.424277606837098,6.006704227784303,6.172681248534881,6.171385801068931,5.955276965588647,7.230328103407327,5.9373885138429126,5.688995901987876,7.158826818438817,7.5659204179402515
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.180278579710105,2.947552429739352,2.871005340175668,2.720346189832203,3.647311293253238,2.9541566663282097,2.7204936758757734,4.198893421821571,4.984021595703757,4.908785123918227,5.15255440361382,4.553766784519438,5.9133742042289485,4.4653896589088795,4.050157747754674,5.761286517962204,6.084192446320178
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2414769605467868,1.2808272582169447,3.453004125682711,4.670744192264645,3.2179082084506785,2.3469729018985834,4.535753525288845,5.21724723720085,4.796896916355738,4.572110010280761,4.509631169750546,5.891936772968632,5.406262283981114,5.339196208160864,6.682402719770909,7.241286115669279
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2577778838684033,4.643752859253209,5.836707347699361,4.455204270027075,3.5546551090649587,5.749591575858411,6.4459127880612295,5.889716573567694,5.6050878215742745,5.50172847852841,6.975159965666611,6.584590368218621,6.423477407227256,7.884322720709581,8.410439466385647
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2824439997677968,4.515425247603511,2.607382552923509,1.5528243283976653,3.725285966992063,4.383510219761816,3.7349587533267408,3.367618644191416,3.5371575246026854,4.818010578328821,4.8149617423324615,4.9542546645473005,6.025741969519938,6.683295691353401
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2426924529320744,1.345755702893072,2.061915129641764,2.4102351596522165,2.7087439237938207,3.7069932601347806,3.9476699066015715,3.9946143838708537,4.561884334621325,2.993080789374125,3.320495948617519,3.9610604760620847,4.545976862513868
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2762576691204086,3.204781225273,2.747894635664583,2.735926143028859,4.254463842315284,4.646173735090307,4.673185330938875,4.896991972337463,2.901526450947511,3.318388001616489,3.52259189015209,4.019513717570442
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0743298294881456,1.4398636487546124,2.0969574745227586,2.435664942276859,2.670474801424677,2.7031546811756266,3.3894389444653243,2.4610050314556142,2.9197888867373982,3.574280152481043,4.267700789418594
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2215254555159185,2.9232987562992445,2.612229683589163,2.5462316408361354,2.6426851045647504,3.6924663036758036,3.325988440908584,3.622986925487738,4.502680021449608,5.185023982509918
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0987284811082136,1.537901680062327,2.1674431734007653,2.173320208058961,2.1833513584422803,1.5313708158090846,2.458110583092166,2.3915489316366214,3.2113890717587754
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1696024676987897,2.5252301716812453,3.0771314985602065,2.4947941815969332,2.1186937898314513,3.246874286867686,2.393571174268239,3.340134883765547
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0946691844447671,1.0948726841631176,1.0959648798840513,2.495372429256254,3.2057679711448865,3.205263725338743,3.9637184184155005
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7715087561571763,1.783146278336624,3.451344036763021,4.191063649064083,4.126125484732622,4.958118524835166
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7847250788285232,2.7454877749949254,3.037867617070536,3.6895039313161084,4.260336473483558
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7380589536549196,3.5434683374406593,3.0013004116720654,3.725196798958246
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2097302399897731,1.3656752899904954,1.868502498772057
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2494311608629776,2.248469997929406
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975676877823417
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
