 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,H21,C22,O23,O24,H25
N1,0.0,1.8029363413976665,1.9022570945725703,2.933068767301952,0.10135483832265568,0.1856704172075304,0.02528890052297239,0.005452769733066853,0.029852341056423343,0.007138006211078948,0.006216828324250044,0.2091476965551422,0.06593681828267983,0.033645620095201945,0.0019649159947929817,0.007710951678978048,0.00022184346877685002,0.0012783285185816035,5.1028557474741554e-05,2.832637833094509e-05,0.0002669015524494611,0.0009099086491231034,0.0002331396228713728,0.00015758686619569973,2.7132985080835503e-05
H2,0.0,0.0,0.027945076340540664,0.10109475649420951,0.034957006737847074,0.024488655262414394,0.004631497590222189,0.004731322734498056,0.002440502065013783,0.0007957462100411927,0.0015505567157283462,0.0058037846436315155,0.0034476289301694774,0.0007182614931411369,0.00012793251705933706,0.00023653361902098435,3.164914036357658e-05,1.6745932463035906e-05,1.7636442073420966e-06,1.8563785724179382e-06,1.6925982546656115e-06,3.625772992599252e-05,3.3881689798231918e-06,5.0791126761096095e-06,1.7530253471065294e-07
H3,0.0,0.0,0.0,0.10044345112810116,0.0030344998116194066,0.029562793304982904,0.0019446109945602252,0.00011223121559877924,0.004828948173770331,0.001469911473739427,0.0009140010074256688,0.03377970856930179,0.10017220527695525,0.005606210405462164,0.00021900297336086005,0.0006907086799641249,3.0357302726935487e-05,0.00013410515937994916,9.450862501036994e-06,9.99460317996359e-06,2.0341594435091537e-05,0.00019350926738048724,0.00012776799904501424,2.828898252826839e-05,6.664444356374588e-07
C4,0.0,0.0,0.0,0.0,1.795108494023843,2.814032671774235,0.09283461956106409,0.08115247835592632,0.14191806234663382,0.04176839802490673,0.030973508534109365,2.5550900359801627,0.2661330680165536,0.22431925891392185,0.012418465062378647,0.038047994779154826,0.0017718904851338202,0.003950584722392292,0.00013822349466896533,0.00014421323728974755,0.001447652988855186,0.007114211255849823,0.0014932244279911022,0.0010849434126687513,6.370466449678869e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07558566583780157,0.00183211462272026,0.031093065377032714,0.013884692190808678,0.0024480227754114514,0.006371145662055544,0.11125520135109901,0.02547550443206892,0.015144682213969363,0.0008539795531408156,0.0015185921712079775,0.00039079509847006477,0.00010341667621160955,8.572464430978144e-06,3.168599290437335e-05,8.215082523133077e-06,0.0009152010000523791,0.00011189586564652743,8.252702745137341e-05,6.278356523337081e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7129316440829576,1.7231220341520257,2.434257018362044,0.3071439616010524,0.26304713879796243,0.16523636901002403,0.033698545713150535,0.026529913031139732,0.009058652418403201,0.0031923093180557804,0.0010477410915942231,0.00034942211573529836,7.646862288845924e-05,4.012811474329858e-05,5.757472647482942e-05,0.0007837987418640724,0.000328406826521771,0.00012804206166808219,1.1326052502425021e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02507624289993915,0.08852223905608803,0.02355901621433243,0.020987878107634805,0.026549481263393515,0.003930065517171011,0.004114621614814906,0.000729652315529572,0.0004320301235294366,0.0002695803627106308,4.1478454186227864e-05,1.2317342755308047e-05,5.552843799438989e-06,1.1086372043944692e-05,0.000266551847040164,7.460664473157852e-05,3.841174857099894e-05,5.281884734031905e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08923598453528414,0.02565817711873497,0.013393738011990064,0.01520845189819453,0.001858180240909113,0.005210417176520821,0.0007670077833872302,0.00041612968832360764,0.0002489605234066161,4.448063506479194e-05,3.4474040599974387e-06,1.8277968109270404e-05,1.806394138292866e-05,0.00022789241125309445,0.00040085416437518617,6.870749521059594e-05,5.747632183972229e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.560499847687387,3.9571978015548566,0.006715547309437742,0.002233090563854359,0.022190395140513325,0.05318030901429216,0.003173876944806475,0.0002568392538455644,0.0006946634212928182,0.0002762455726739166,0.0001672550626818925,7.063807951057655e-05,0.000351408164559891,3.661667167151328e-05,0.00014208732218209952,6.118047652303726e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5649365899913839,0.004207736722698974,0.0013841907840827436,0.008613486201077644,0.01154219970864434,0.0010762559502853486,9.221539011261548e-05,0.00041088238146308464,0.00011682297477955128,0.00013849183185454805,5.1153609856857685e-05,0.00025431616771484644,4.5890413272742236e-05,7.329177985018753e-05,3.4934814862386254e-05
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015609593731355537,0.004523023271760181,0.20651702928882332,0.46354413214519474,0.020914228322658393,0.0014176112317287881,0.004166157035018943,0.0014711243305096655,0.0009938903757719109,0.0002582988293956534,0.0029501665764036095,0.00034041575867121976,0.0010328338079427027,0.00047480426417700894
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.381250578175085,3.7004072332358273,0.1307533839946805,0.29967914773796106,0.026557195034170977,0.031726214848383644,0.0009730807722876378,0.001102477894996401,0.004431046728411214,0.0518461458060096,0.009969862912162036,0.006698762331530161,0.0006523314497350885
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5356197783724316,0.0192848178705739,0.08174386640443676,0.022938536038545232,0.011393792347458694,0.0006411473525357314,0.0006171335082177931,0.0010129191573128304,0.06671057673538366,0.013197866476249535,0.006299370190043764,0.00046692744984500045
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4773777971736084,2.7193354005541757,0.10252284919816002,0.1827799826901867,0.008987973965029039,0.007966476441618187,0.026111897034463816,0.19462956160701847,0.027589169113160103,0.02786435404499507,0.004921147817808058
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08851260386714077,0.0073065857570162596,0.015048228607160707,0.002505320484885276,0.0016238459537185612,0.0009731516344317903,0.009836696260614564,0.0005497957670824727,0.0022802863995988742,0.0009134906393108988
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.067493182994856,2.6820010554588314,0.09083734867279047,0.0838549455682247,0.08881374528217556,2.622566953469208,0.25862208306050916,0.2145869851019323,0.05538542961771764
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08040386188669779,0.005053819443141094,0.03514450721741258,0.004303333598294046,0.10668974131850084,0.023000158169890872,0.01704860893256921,0.0013073740521380994
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.010285350991885,2.1340457220785742,1.7881409602134297,0.20335948474065338,0.04220697944306648,0.02472357808136548,0.002105607015970845
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02445585753436741,0.02471130313662795,0.031571811046887444,0.007111707872456519,0.003186126151778157,0.0007064865067216708
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023890635231964108,0.011560768666822874,0.00512452682693143,0.0011711167054887506,5.509820205618077e-05
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008886113196878265,0.001264317040998053,0.004178473334047528,0.00010494727949805771
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0512582373055235,3.334583610010628,0.17010890687009517
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5168073945152951,0.08180625900785843
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.692373217424406
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
