,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34H,35H,36C,37H,38H,39C,40H,41H,42N,43H,44H,45H,46C,47O,48O,49H
1N,0.0,1.0197589896300165,1.0212644181799289,1.4607963115901854,2.0847813849822368,2.450396009401109,2.592728718797125,2.659786120740894,3.825056081568412,4.722251701281334,4.8361390453996,4.819390891710421,5.927692815753537,6.793358120502738,6.006109300231261,5.168647393419078,4.623028296603579,7.22673088883315,8.139845077082294,6.5209337915629435,7.03976681990114,7.425937696331719,8.4659225839184,2.494317377456905,2.8475506698462048,3.6555128154988896,3.929756231012201,4.926886314141911,5.123128240108064,5.444444295386623,6.453233544545965,4.941307518586883,5.77161390100969,4.987307171548553,6.554724164521957,6.573650172440349,7.438108724466548,6.0899431504695105,7.266046099561038,6.7020408794379485,7.963987672152486,8.288604548398421,8.896263177558264,8.96043230721361,7.940981525863486,6.049390403986164,6.119250013181806,7.237599335296223,7.923074584782549
2H,0.0,0.0,1.6232099464903662,2.044717467793892,2.342887091297617,3.3464314341937036,3.503722578655933,3.626067057844451,4.6022542017459385,5.410430567722239,5.465568378122727,5.557964282552244,6.587468495848817,7.416161021363751,6.692639439717184,5.883029432566554,5.337621643979041,7.885941528417818,8.776253247425492,7.187116897639032,7.674681815579223,8.080674449907752,9.099187641728331,2.7487663931366066,3.0627247721218738,3.759199115871453,4.090164256242267,5.008617867513183,5.373093912281048,5.286064601856113,6.338913117373018,4.7740726771476405,5.374188824367375,4.51232689298566,6.194550072355111,6.029785153160141,6.966800801459254,5.515037122835786,6.575263282589309,5.9294060648030715,7.315521566633502,7.532991506577396,8.0828719508334,8.266333516263145,7.158577699046454,6.141896735353524,6.227938374395774,7.316121231246625,8.015806746231037
3H,0.0,0.0,0.0,2.0206507811733876,2.915950532022851,2.728964743732457,3.032247513543528,2.5143402770612173,4.123890429290526,5.217087743490601,5.483098155913581,4.901663945039317,6.33745490242807,7.266109111491285,6.212992642448635,4.980705155744428,4.253641864715517,7.3391223950821916,8.321074329663531,6.302566993419954,6.683264727906253,7.355362068593157,8.35865747956055,2.5884528974167273,2.486486543943288,3.919997471844599,4.3870050291976534,4.995794304726075,5.018022811556471,5.404841434736603,6.338325875731955,4.738768950259761,5.9227333488316285,5.274843640922807,6.7946172436956385,6.61055846294345,7.392466189066993,6.010200852097202,7.447089907634567,6.981384530643571,8.216621154602185,8.369761206416023,9.050987199613491,8.97482658615615,7.941691192704076,6.2704035448192235,6.5152116610972035,7.353152716238819,8.113489128090816
4C,0.0,0.0,0.0,0.0,1.0977148544284578,1.5560500685615732,2.134994656733478,2.1591793844714062,2.5867088635904207,3.4789968522502073,3.751004405928292,3.552733486020562,4.588497019770347,5.463941740112883,4.652100191463551,4.07291211043456,3.7595847682252526,5.872750650468061,6.754343373653962,5.396217804341016,6.041062412249215,6.162223842927265,7.211019657345768,1.5385359394758469,2.4210639403110434,2.4712470713803674,2.5859368266743465,3.818091352247223,4.033298869208093,4.65345417910609,5.632871550087703,4.386182563825188,5.089409453803871,4.369398600048828,5.7197459622566855,6.167369358104012,6.964205345714986,5.893581961799779,6.949263283031319,6.492467257104234,7.4965548083731814,8.154582044062556,8.800310897151244,8.752432604819546,7.969832264191501,4.7769981055287545,4.7651826943279,6.012195324502039,6.630748575322591
5H,0.0,0.0,0.0,0.0,0.0,2.1641462605859525,2.454480773117535,3.054653420329471,2.826535757401902,3.294735032878953,3.330601860845448,3.932211062134048,4.434086692780808,5.181204646997182,4.767521964613104,4.7041985999271345,4.58989960092537,6.036018676398685,6.797262565346796,5.959836411151147,6.7071813328537315,6.5261125487055995,7.573313341107634,2.165867781552313,3.2593694642535347,2.560123714323927,2.3212778617458816,4.013025083378291,4.455826958895038,4.883279507452712,5.900493074858508,4.812077027797618,5.042381325955501,4.194181986483174,5.530275670199763,6.200717938448395,7.064832214105164,6.068007640085903,6.787383309812199,6.2379646374971305,7.231839371123155,8.07495234421415,8.626397398928754,8.731776289526044,7.985642593917194,4.7022045833885135,4.4459806614219275,6.01964579177973,6.52669810064848
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0951152050157877,1.0980403888806165,1.5031667355348721,2.573040977670993,2.9842893053819908,2.6417552973398766,3.7174056673292037,4.636485409031346,3.775110435641584,3.336954745950182,3.1600792253037793,5.057841431805519,5.947579292702232,4.707318923053898,5.443486140226103,5.413569188897825,6.4928745376373165,2.5341857542682873,3.226669490827065,3.322294815523502,3.2423573316232144,4.46665402769628,4.373766595089588,5.58409950739374,6.424791931588612,5.360703947709209,6.268823183123334,5.675514820652283,6.804860764953963,7.445645008884133,8.136498200991054,7.205064003889071,8.337874926284755,7.955273412287344,8.82673077175681,9.575006033783897,10.259807690775395,10.107834996666055,9.409367262584437,5.252672571456058,5.167977046213038,6.429938106588899,6.967519391135229
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7570650899428886,2.153200383447834,2.7773069786726867,2.8168805112026516,3.4716194903675492,4.080106938313554,4.88060462835267,4.419795221505223,4.295572022359688,4.147145296467603,5.764330119645229,6.567867142381823,5.641389968155404,6.405313704843338,6.255914935137042,7.337698410531955,3.4523077723164217,4.1520120478220655,4.235510271923596,4.032339568387763,5.475622719890133,5.450878460216019,6.566022649766981,7.450813514478631,6.332520011247655,7.123065223202572,6.426161876381717,7.648792068365068,8.275918237586255,9.034400675620013,8.013766393950933,9.05614235556646,8.570946478856158,9.55179499758063,10.283251565403914,10.907856146561523,10.883719965618056,10.094233359203589,6.188101311174019,5.967153438609964,7.410966224049422,7.896438547399481
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1421086474492492,3.3935080584479413,3.9291148543708605,2.815811486097591,4.3616851369914755,5.3257407516186035,4.131244731297908,3.073417245319666,2.611840199730758,5.264028376998796,6.240886808080383,4.447277556398615,5.020729860581826,5.368328759302337,6.407898802659173,2.7740100489728956,3.0408627867021627,3.7842092372533545,3.9428274241578705,4.724447295714966,4.4127631798830995,5.73510036887243,6.497628294813614,5.350552521748938,6.605452229216859,6.119602072019003,7.238362106248617,7.672344709684486,8.29163223585508,7.3190384504112895,8.691103465889702,8.378287828153871,9.257363573857189,9.835846119775406,10.5845220000414,10.31559295295802,9.58968655984991,5.685632403730307,5.800256382587238,6.74089752800215,7.36053540131064
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3758422929343377,2.2266832683450293,1.4455837499436757,2.260487858344305,3.2263746554531316,2.310792818793246,2.6264082823538932,2.9643378687047246,3.6525510870252074,4.481162911977129,3.8237512266739637,4.749948308950915,4.219781913323598,5.304665689160665,3.0568313199123924,3.885154585417078,3.2725266658419057,2.9125232645645456,4.172984759789933,4.011596321050067,5.559935013406108,6.2625897454695885,5.591242964832278,6.321917577270272,5.859795369969475,6.646769157889333,7.672592716875636,8.25580379354276,7.623700876103256,8.600954447063081,8.326567968513142,8.928791878231928,9.947802113677772,10.643903398131103,10.399001609305895,9.921558594749767,4.574032494776081,4.343928492373038,5.694499869013748,6.081745128195971
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082329477897786,2.2556211053836104,1.3813158177654743,2.1283262766783904,2.2516946834280542,3.650387557777381,4.214080694287544,3.625604932140093,4.166466014010222,4.596942469315386,5.630558930153957,4.586578292229534,5.614571514890262,4.090145224244391,5.081627355786444,3.9893689308822387,3.3046089035145725,4.8925069778963275,4.894795303991799,6.348165074959161,7.039013949175012,6.556043140091918,6.922009073832917,6.406492039028936,7.067782182441332,8.362352414915701,8.968813832060311,8.447694084195568,9.1447274287216,8.822826366357248,9.344400608941013,10.57146176065129,11.189981460302366,11.050987348992141,10.642899289585886,4.908282318801251,4.344736596903241,6.046629925958535,6.232032856969024
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3203733844210803,2.1426426147688846,2.5118109503353883,3.2684549812295978,4.698204322438841,5.179086387992617,4.5969436997680955,5.0056357598306,5.678350990947641,6.707635589952626,5.636527475475383,6.6442297333199765,4.641937580491539,5.709557950236358,4.577332480146781,3.807193174513345,5.63762709848629,5.77822258901982,7.025548452602336,7.794629087559604,7.232139758332778,7.417403348065997,6.777838350924853,7.546523103353681,8.839312651861295,9.531286535665261,8.927261485400267,9.47838783751693,9.047481350257202,9.6662666906505,10.911512618355445,11.454748630985003,11.466606899806752,10.985207361231506,5.6239643242907205,4.920322367511948,6.8264583618308965,6.967260953910224
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255019782593499,3.230892000933679,1.4232102389852441,1.4086110930189337,2.1724813824883937,2.473432147953435,3.460651864022046,2.412573432683448,3.399798865377894,2.8043095483670033,3.890790141456546,3.4151453290446727,3.9944667484530694,3.399179857066906,3.2022838297586422,3.7868315160733474,3.323780464327521,5.240185540181747,5.720556772369437,5.347445611667939,6.2519434051901115,6.035806959324248,6.507319127022725,7.610488832071613,8.014740509338504,7.622066292436363,8.698979193785974,8.604990831705726,8.972993363832849,10.030822565715027,10.803844476061501,10.34663574246558,10.049611708499894,4.072487613666389,4.060036728048256,4.949173422292383,5.328497865818907
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0084080584724233,1.379587367327919,3.578547063534035,4.427470700836315,2.524526389009693,2.86410882125007,4.127306166166029,5.213041741647778,3.720811761480711,4.644353290672261,4.84873786510047,5.7716367744980985,4.467096537943555,3.757281395203436,5.012055857454863,4.91417199937291,6.547972152126911,7.061132522251431,6.909770147270178,7.209674821724231,6.8647329897804825,7.195343639371424,8.708237234242514,9.182341127068476,8.915780607656455,9.544825080078468,9.350954870033418,9.626418226985038,11.005667437669644,11.648258230887514,11.38670805344345,11.16909494074111,4.691864778589909,4.082599285359675,5.63129672246399,5.652784833374649
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1294701606671813,4.498897835741771,5.397704206727022,2.8849210756253703,2.8391714884739074,4.878385646938408,5.960536127367582,4.229934734723912,5.0156925833530455,5.760752969625429,6.727272755708293,5.267354777868238,4.467973676437594,5.762790802035364,5.730395340891986,7.290459745250561,7.765173257167166,7.740672770388759,7.856386352168641,7.513993183881046,7.7273689587876975,9.380967282370426,9.8426413242354,9.667732140974234,10.137771263036212,9.939453846646417,10.131114288131558,11.629787524505808,12.228260313719561,12.008135700803326,11.85612972226218,5.228367323698934,4.465413713696635,6.093017999800759,5.959343138631353
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.437223441770846,3.4305677488254815,1.4000022764711855,2.173558069045275,2.768920304517786,3.8555442426553896,2.38597247926226,3.3760162570345993,4.545451232528538,5.250577619823097,4.179592365822807,3.721402600666157,4.403276530459397,4.046428263598325,5.934939728536439,6.303533719231409,6.261607521839907,6.841789939090871,6.675453382295674,6.876668635633441,8.29404278233509,8.641716194821166,8.469920810360511,9.304450997389463,9.245753762424854,9.4225386936087,10.710763286557503,11.4419487502164,10.991924032686136,10.849205623636353,4.179456897262541,3.9011180294139427,4.932662173896462,5.050324232342427
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872011911492705,2.850984826458778,3.938093438597334,1.3910023331209238,2.1474149204596755,2.4409083691379565,3.4158183761830285,3.526168335295135,3.66981413831926,3.650741047434485,3.81930912466506,3.642330190865952,2.8257668885089786,4.903474557207074,5.211358209379648,4.872952885378872,6.16694846712775,6.14194221974113,6.5210035639000035,7.380597007414404,7.645790460513635,7.307145414472511,8.636962805950333,8.67540219185806,8.978226215764666,9.855920039843673,10.713507777547893,10.068574396903617,9.816432808717611,4.183671957317009,4.5550775169893845,4.794582219435579,5.322913392921662
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.938133472291653,5.025231951454485,2.1568090065364487,2.4802323716933006,3.427023064543825,4.311879767934895,3.149670684327169,2.9840030963969606,3.628221049649824,4.028839990306071,3.699122688539444,2.8521152445056863,4.729760352743031,5.098823500990141,4.459954470091442,6.038275221661551,5.99208235949715,6.563367622303136,7.1052509122409795,7.398223345079675,6.876499741261718,8.405901388259583,8.424840840447581,8.870316423186814,9.525850361656005,10.409610695612255,9.755781708271899,9.379346286283091,4.594025904798451,5.103949216898278,5.226574810050874,5.894739175122614
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871303959543746,2.441347727909659,3.4148037462530527,1.3905408313629675,2.144112452904183,5.514861526467845,6.063852293709637,5.0140589981383,4.657626357360284,4.845121188733332,4.340257028373922,6.302351449813133,6.4361976790445015,6.718315768091946,7.315099206231964,7.342800016218826,7.241003659865454,8.733965876469334,8.916880179719865,8.986628592644818,9.815697490068448,9.898836881724993,9.853203003187646,11.194988243487515,11.961399325904212,11.357421680768088,11.391928269041152,4.400194072913537,4.267234796364607,4.7820108746851675,4.769540453195356
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.431528314950884,4.316058690131485,2.163196954048258,2.486106435296855,6.448893946673469,7.069140931685614,5.8289676889959585,5.3603143878194235,5.6309153705476795,5.2251384784633546,7.074911499353035,7.157255845863753,7.592258358713141,7.9869158183666595,8.028956663502191,7.78435279683458,9.43355078652957,9.588387879949531,9.776485051806977,10.442950324602384,10.5385633068161,10.382260526488515,11.853501129400037,12.582017474268046,11.998130002373237,12.121825980792023,4.941313186998102,4.646063439476978,5.213020450941794,4.997582836794535
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868784765904604,1.4117448301910358,2.1635788628041084,4.678256896214721,4.728962815664948,4.551982022128805,4.707319041276763,4.134541317826805,3.1931011637888926,5.317275388163002,5.3476909160214054,5.421282294271201,6.6676242080837005,6.84027659806401,6.885459367883713,7.853527783060036,7.938379406091303,7.881053003887936,9.16937276090772,9.351771328770614,9.414430625464826,10.365303240872606,11.252696524210041,10.45232576544615,10.397600261382504,4.377536131411872,4.848358030226197,4.616331620137481,5.03758505876524
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1617317583042097,2.476365284419415,5.17691775721507,4.977057410042773,5.138469142271881,5.459207113493814,4.535742528054572,3.4805850274765193,5.476035507026863,5.351859020520085,5.477872925065729,6.930406068816278,7.223596045064624,7.205994294481534,7.965504627221977,7.936271507043199,7.932342530526003,9.365748520623058,9.637001132612287,9.65235011382718,10.453118939254963,11.386929846348245,10.458428006525084,10.442984650248922,4.91507888914551,5.57460364128091,4.94238993308628,5.440197952553563
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0866807735639883,5.547830339741733,5.821721956091398,5.153351088213663,5.066011988081333,4.704961971866928,3.9446687872690736,6.001663173086681,5.970505945370045,6.3220125499048185,7.218165767191013,7.401842335522414,7.231483083116588,8.512011461213653,8.568550528953647,8.697134323940887,9.737576126536629,9.933795128257914,9.836739476122615,11.01671144352329,11.857552101532804,11.085827969829017,11.163652200466895,4.479856660913653,4.715318619589755,4.608343925377761,4.753639667558894
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.509196410370829,6.705932140531005,6.050289980790494,5.992972467239603,5.420510492913655,4.636687677328315,6.597773682591554,6.400287677690998,6.965680654405965,7.83459813339974,8.13324272002856,7.7737495200776605,9.071110910565917,9.009118979131939,9.305422730951426,10.318911847848511,10.605580595747872,10.360590651593863,11.558987326102054,12.412996924018378,11.542242400039468,11.74492248717495,5.070335436532301,5.366804012667167,4.925250674824807,4.967624741052824
