 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,H34,H35,C36,H37,H38,C39,H40,H41,N42,H43,H44,H45,C46,O47,O48,H49
N1,0.0,1.6775650561006779,1.850457984422154,3.0780812813647724,0.08590664947397231,0.20813899769127847,0.01701353161743857,0.0088467985118037,0.03314852516627134,0.007062905479578219,8.305600854585649e-05,0.004004900848320614,0.002029556217325132,6.801033234493659e-05,0.0011731979947055132,0.00038866314481729447,7.825846461695374e-05,0.00021878674368980278,3.3852091591124456e-05,0.00020253840310641147,1.0495210985839165e-06,0.00018199256687990994,7.652270224145497e-07,0.22407676391827447,0.04745065251042308,0.034533235017277286,0.0026596004631660453,0.00664221591673389,0.0005042016168428365,0.0007730828382820562,0.0001734478074106871,0.00011392642819985088,8.519009320487325e-05,5.0925134433166264e-05,4.7025444103176994e-06,1.585800272468907e-05,4.693828599799943e-06,8.850895334422404e-07,3.1001204371799984e-06,5.893215343499847e-07,1.8626287745515668e-07,3.706886181203961e-07,3.696591532875715e-08,2.542077307543522e-07,1.8349032071540705e-08,0.000990363779856146,9.053021125340899e-05,0.0003275095567515582,9.967755136852663e-05
H2,0.0,0.0,0.02710545319011759,0.10825520732150318,0.006821901360897664,0.03331082076271463,0.0008008318692331873,0.0008470324349014735,0.004490011512612857,0.0012150938081642026,2.0328940610436774e-05,0.0005490957363671889,0.0003443059926623304,2.8514595733497572e-05,0.0001514371363701139,5.2027459887971084e-05,7.4224948320988915e-06,3.565525469595432e-05,7.19674182514396e-06,3.465053237183824e-05,5.4425424389492605e-08,1.8003522201381905e-05,4.283372034841193e-08,0.007691820816020711,0.0028533777881613043,0.000498655656873126,3.9547569602227384e-05,0.00017865780996562108,2.2567150299357408e-05,1.1438942502217664e-05,4.400015483518871e-06,9.767237412194874e-07,5.320288141041907e-06,9.526244429292063e-06,2.1538053274205993e-07,1.2827304699536413e-06,1.7975280419690876e-07,1.1732635840644434e-07,1.1033980995556192e-07,1.563239448998388e-08,4.940888365112528e-09,4.8315392242592736e-08,7.662395606899963e-09,2.849835700757808e-09,1.642731950468601e-09,1.6804858200991646e-05,2.9648487683830993e-06,6.4666482425534966e-06,1.7239552791981083e-06
H3,0.0,0.0,0.0,0.10436687079919682,0.03689554497174985,0.00927910556782574,0.00022045192537856195,0.005554591725434488,0.0007538567215579217,0.0003658675579221171,1.7975158751681874e-05,7.332213517008412e-05,6.460817390607776e-05,1.2654415145307851e-05,2.1782959198746177e-05,2.4705012510617408e-05,4.318106945344624e-06,2.5781933709057014e-06,2.94558299307468e-07,3.1419697487100606e-06,1.45400267159701e-07,8.26675864773474e-06,1.2382952241374312e-07,0.017452632871748475,0.043279186102304634,0.0030910330231520566,0.0007556556048373686,0.000364928607590409,2.2186150651526404e-05,0.00010180909344803535,4.849330023759535e-06,4.4430889225788306e-05,1.2590935014156202e-05,4.242559593414796e-06,4.705853232644941e-06,1.2342401296550065e-06,5.679340686626233e-08,2.5218836996465654e-07,2.789178320528052e-07,3.5095168549048594e-08,6.391518581061462e-08,4.2552691814634613e-08,4.288486676884418e-09,1.2427688877991727e-08,5.545826242681073e-09,6.058027460653648e-05,2.972710808335499e-05,8.173211216710996e-06,2.7098790849056087e-06
C4,0.0,0.0,0.0,0.0,1.9496088544641765,2.357207305894745,0.094886174486567,0.08265854816985674,0.17340402349660058,0.04961265125171557,0.00029608453854756966,0.01963921008830294,0.013209051700032809,0.0001651545051316594,0.004784643806204081,0.0020569376010969587,0.0005742818082961065,0.0007078651858807572,4.8512689424295985e-05,0.0015106606775252829,3.1520955763308933e-06,0.0009665509815478535,4.383429367926794e-06,2.5004741694461354,0.27324062317546505,0.22285406207378172,0.016503413495548735,0.0346550654883509,0.002576241169162219,0.0038347828325267647,0.0007167563869197036,0.0023674811363756376,0.0003765074525800688,0.0001976244641626046,3.352788979338328e-05,6.121523783758631e-05,1.442392617678756e-05,2.8028627778731163e-06,1.16159388131587e-05,1.3627167473329038e-06,4.743879574720111e-07,2.2971570881324954e-06,3.1132592004379234e-07,6.276503666802213e-07,8.702130482873827e-08,0.00408764400857442,0.0004760578134696408,0.0012097528222919374,0.00023128032210328886
H5,0.0,0.0,0.0,0.0,0.0,0.07931815663968966,0.0059033014409641815,0.03336446947297622,0.008246010164032258,0.0030221720916008277,0.0001902776731874667,0.0003715376814006355,0.00045251857417683006,3.2917356350248284e-05,0.0004391390019833352,0.00034690560323458186,0.00015554224397984484,4.502559247998583e-05,7.076176180564886e-07,5.3552611860130384e-05,2.4268366738411373e-06,0.0001592552914602141,4.6438055445463533e-07,0.09599872144586041,0.024382071004625083,0.012065200503805329,0.008482390433925735,0.0018447582978391441,0.000281877896311844,0.0002598876942210282,2.2399632533254277e-05,0.00012542232245738028,3.083843735629532e-05,1.860024639954716e-05,3.0269725106446543e-06,3.5672297782340934e-06,2.1108659797874907e-07,5.952587489588268e-08,1.002771602642838e-06,2.0383846854876708e-07,5.316703588498228e-08,1.6204897856919587e-07,8.589977618100875e-09,2.844508384391986e-08,1.824621387314096e-08,5.739004992899588e-05,0.00010332623383357831,2.9176712582068554e-05,8.524761457184837e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7450500554574744,1.9193235555196968,2.8960051230650232,0.2508376495860707,0.005963020503856775,0.18996729884763872,0.04851477292616871,0.0025109859738090545,0.033535502612805856,0.015091137800549007,0.0036096472788380574,0.004848746612520952,0.0010607957297208426,0.0038072823225751284,0.000145635855621995,0.002153295677977757,6.907059236960222e-05,0.19310729475418406,0.03885125803934436,0.028990932503577815,0.0014302522545471819,0.003472998919404807,0.0005663399639407318,0.0008277803556617364,5.362245849194203e-05,0.00014143894426710268,0.00012891126652701812,0.0001058431800107229,7.862408685221922e-06,1.7751849131733555e-05,4.250467006361447e-06,6.451907286209035e-07,7.4080065022436026e-06,4.5070449417039526e-07,5.562293436955912e-08,1.4809257423281652e-06,1.7659796147651008e-07,8.383919825050157e-08,2.8389377959570083e-08,0.00040839825940860996,8.437738087259394e-05,0.00016482275152898684,3.626948407031705e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02454143472353243,0.10543605053266258,0.017311942713633455,0.002021387150095366,0.023346157580507176,0.0030429876676926204,7.514707683697885e-05,0.003140661220771168,0.0012802445116618655,0.00011847304870205022,0.0006588964355744853,9.987063008942698e-05,0.0006039264135551115,1.6778074588330583e-05,0.0002263505356827622,4.16675838810221e-06,0.029240660920398565,0.006069226419124885,0.0031712811604566182,3.710307921522826e-05,0.000696043403434432,2.4906866701313035e-05,4.957761429147389e-05,8.02413442579919e-07,6.261220501180276e-06,8.72249953232096e-06,1.2409613785457907e-06,1.4754710924158587e-06,1.2763269253701637e-06,4.003245128725297e-07,5.186660190226178e-08,4.641700594998355e-07,1.7543508423756293e-08,7.0297567766886e-10,1.1725903814596705e-07,1.8686945324475346e-08,1.688762019114165e-09,4.027580269294617e-09,0.00010285857365799345,7.238708903734015e-06,3.493495807826985e-05,7.414626158830373e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10570283896405663,0.03037843120999284,0.00017667277035116058,0.011438878152221,0.005027545795362132,0.0007010228661030737,0.001536010710423641,0.004277801398011816,0.00432057621373505,0.0004463691858731522,5.050335612732937e-05,0.000873176254859942,5.315212894796417e-05,0.0006183542301156919,2.9876009028262374e-05,0.009774593721285196,0.0047918527828009205,0.001050477347628087,0.0006138790187961707,0.00011305923891424818,4.741314475298353e-05,3.395396719352295e-05,1.7891660486490935e-06,1.2246811375460354e-05,4.604235743221885e-06,8.90305255740742e-07,1.0242046342145983e-06,7.247972830803917e-07,3.982474150454607e-08,3.041129548186916e-08,9.751955531989154e-08,2.646806041006755e-08,8.81137185437808e-09,1.6257702628585946e-08,4.763160754706064e-09,9.794114852468283e-09,1.931072191041494e-09,1.930618642864701e-05,6.878244375618792e-06,3.5234305995057724e-06,3.685853491308677e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12765194451765,0.11696426453740538,3.038499742985164,0.49214360046450933,0.025564395212644975,0.34414608581846196,0.22490694166828604,0.00802976671334732,0.038387033000482074,0.0037296391142382923,0.07081518951320592,0.0028870332876833604,0.025799454285339446,0.0003582178819039328,0.016424865227199076,0.0033059555604529473,0.014087248763710064,0.016873503864243355,0.0011301975391699304,0.0007437868102357914,0.0004619216598956144,4.075816127535603e-05,2.0809705604696305e-05,7.113175438998309e-05,5.100696483650857e-05,3.4893087883514085e-06,1.4419768988999104e-05,3.511604554473635e-06,2.7180895068035227e-07,3.6711413440304597e-06,2.0475438378131372e-07,7.834917770122019e-08,8.690288796214807e-07,1.5724484769830127e-07,9.087541108510067e-08,3.355702160590113e-08,0.0001722547566608279,0.0003719684697986725,4.654707237615463e-05,6.694469804835457e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.872615044864559,0.39298634029239776,3.4773624627754254,0.11175387144691884,0.4585704418194365,0.1091686260566437,0.0008504762875083394,0.0746202369888333,0.0006805624604131477,0.03262962455128862,0.0009403318413756523,0.07810730353460238,0.0009097446472536852,0.004179542775580997,0.00183570968946406,0.004184478648426915,0.009701874131261778,0.0011334976695809018,0.00025702355112788844,0.00033479381989898194,2.201943754220892e-05,1.968561831322546e-05,2.8703918506442494e-05,1.106036251408149e-05,1.8557939325258843e-06,1.2219924869188992e-05,1.8692530967534537e-06,9.045140814123442e-08,3.7443052567920354e-06,2.7256934154173962e-08,9.150863189422154e-08,1.2247884226823658e-06,3.094025025074387e-07,2.774994745102788e-08,6.46460928122039e-08,0.00024224475134115853,0.0002983876516673284,3.9504460452158274e-05,2.4925027708455616e-06
