 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,H23,C24,O25,O26,H27
N1,0.0,1.6604410113707715,1.844288125171114,3.0484806729272265,0.08880265114152575,0.2150340825270805,0.02950919784129824,0.00361641573523519,0.03043179383791142,0.005483385105930154,0.0059996443262014185,0.00034076176421116156,0.0014213307044003143,0.2125574775176609,0.054291377852085945,0.03310420007616936,0.0024628307477230216,0.007202576619971979,0.000301629778096113,0.0015336513039396205,0.00031481254076082266,4.1747163620042826e-05,3.642866926345523e-05,0.0004620240407446907,0.00014342676017358585,6.718331234933927e-05,1.2228771770761426e-05
H2,0.0,0.0,0.027298717902397795,0.11195428028779575,0.009456408167984653,0.030987766184119248,0.001565624122712439,0.00030781464249729495,0.004061583720816775,0.00048195703780229415,0.0013332476724432496,5.404594299873722e-05,0.00030524288551458945,0.006081983483700926,0.0029607296978895192,0.0004672774607226149,4.3852312728853704e-05,0.00016901962749305,4.092404690458906e-06,1.4039840917301483e-05,2.730202068201848e-06,8.191688722902768e-07,9.062103045742731e-08,3.108970229359631e-05,1.898475558215207e-05,7.837731197390951e-06,1.5486673226039471e-06
H3,0.0,0.0,0.0,0.10300595937453194,0.03374554512209116,0.005797563249099635,0.00030543831341645067,0.0019271847565420774,0.0009225223523020576,0.0007631314186593574,0.000210920224427813,3.703077154759704e-05,1.3478396471366949e-05,0.02584788815233463,0.06946439645853208,0.004446429540492125,0.0003357554618323988,0.0005767441954761532,5.626085343246601e-05,0.00010921706908073592,1.5562482081010742e-05,1.5863918192415838e-06,2.043990689881703e-05,3.3198185688365633e-05,8.229983581520273e-06,1.9631457525148832e-06,6.023907042074228e-07
C4,0.0,0.0,0.0,0.0,1.9719774693858152,2.3317384753277626,0.09110589032230054,0.07946617881107221,0.15859228447449852,0.039872885362282284,0.025990924991851988,0.002172083000359648,0.004402097968182139,2.4646347269172235,0.2769741842288412,0.21818589292014723,0.015303130781043284,0.03551399101911493,0.0032403969446367364,0.004502312483157606,0.0014775092184544647,0.00013863483615672578,0.00012483700371612727,0.00323046019354592,0.0013680404327052337,0.0006533454376726339,0.00011802550648476462
H5,0.0,0.0,0.0,0.0,0.0,0.08287513326996243,0.0026336097776991085,0.03262626305367111,0.015231273297981351,0.02223371965740495,0.002490492710478409,0.0004758467442929071,6.624401044974526e-05,0.0939972901056525,0.02484428561661589,0.00997999413554107,0.004441062488805603,0.0015917549674624443,5.2932010155215536e-05,4.422486005617454e-05,3.857953031927153e-06,1.00946002590252e-05,2.7203783972140627e-06,0.00045122973802014243,4.855148863602832e-05,8.323273803312325e-05,2.3430362984466768e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.782555010059368,2.0962490777038374,2.6929131930725236,0.2827858703291164,0.22326805033464342,0.015053140598363268,0.042294075168137435,0.19603474454118774,0.03952354865299032,0.027308215814712267,0.0014977684806646296,0.002906951167200772,0.0004156400871622168,0.00040558037856779083,4.456856806256404e-05,3.033719994416373e-05,2.048336526327965e-05,0.002152374479041985,0.004578786277038671,0.0006449693769031983,9.7986242841408e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026072890283299843,0.11649436814616188,0.03152439707530208,0.014206887534883417,0.000878779727925938,0.0006867993685868434,0.027103354046749795,0.004234823066923354,0.004983337667678112,0.00038962136230336064,0.0006760388662052641,9.071554640738277e-05,6.64238774849002e-05,8.407686947764503e-06,8.49361779997615e-06,2.6142146178909087e-06,0.0005669407749988586,0.0007504613292647067,0.00020875481316240396,3.787801740240404e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10625201945305274,0.029146912527456048,0.012066768431382546,0.004601292218559649,0.00036766326177861686,0.016423975045852357,0.005309419584965447,0.0012747842606525284,3.570227112681401e-05,0.00014798326605069967,1.32577460574268e-05,4.017650029097819e-05,7.850488150440427e-06,3.427469498662461e-06,5.83856454983156e-06,0.0007789407233305123,0.0044768744017239515,0.0003275776682395426,1.058889568561483e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794026768473202,3.2178435203221682,0.13274910845436838,0.14425253947489025,0.010623207532136386,0.0045285301281312584,0.01961626443128711,0.03139977107755065,0.0020844999087684113,0.0005857810207670067,0.0002705727588974416,1.8164344175009006e-05,9.517021319904728e-06,9.614739100460845e-05,0.0025338134095087006,0.012866709279612726,0.0009586008913826938,7.643846716609559e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5290097891433515,0.033036436971160765,0.029995395042579753,0.007269660636023717,0.0022505566658877624,0.06098934345815246,0.1688105149005199,0.005724924516750052,0.0014546590334730825,0.0005334175753155673,2.9152164686130355e-05,8.924213700467476e-06,0.00044305366482866315,0.0005154358347063404,0.0020795922754718726,0.00019830820918480263,4.390190572356456e-05
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9081007358799502,1.9145406346532166,0.002507083279723571,0.0008204659810715706,0.004126366732443723,0.008079324068112403,0.0004442919990322869,9.90876156173881e-05,6.181930557255799e-05,3.069476462225218e-06,3.862079509531213e-07,3.0238630741363792e-05,0.0002815109002598515,0.0011377194543043048,9.278231120025959e-05,6.539150695705764e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03651082647738502,0.00020233960918702998,6.762385949854455e-05,0.0006113221960993842,0.00036451448309970935,7.16945526666457e-05,3.306114658574444e-05,4.464674588255946e-06,3.6783671597540035e-07,2.1308533604269542e-08,1.1599498037639933e-06,2.1961862429642487e-05,9.926629623069338e-05,7.084613707353249e-06,2.1218137224998657e-07
