,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23H,24C,25O,26O,27H
1N,0.0,1.0200509894649321,1.0226349045179948,1.4628765183559342,2.0932799979692445,2.4500492533496128,2.5080565894600184,2.836652424863478,3.808730429144421,4.254695753336617,4.869644432536838,4.972816109381838,5.773095766145683,2.4929112967377316,2.7827822460639315,3.69629291041378,3.9382256567017366,4.921072598300844,4.997089662452023,6.134945703209293,7.036582411940419,6.16683064893271,6.374578504361843,5.412424533736351,5.176427736618662,6.571418593366554,7.000077563885041
2H,0.0,0.0,1.613087966029509,2.031675934236325,2.2905802710062955,3.3228073781780574,3.4089517743791653,3.787188085295779,4.533758890446317,4.758484628190364,5.699077428514359,5.898170356350519,6.548712077451277,2.794884951697498,3.027023813777182,3.8958318984069478,4.205496801098969,5.111152127896912,5.061670664430197,6.222103653871923,7.131892214589724,6.07966736725507,6.553376646517904,5.8457795021644205,5.79366556675656,6.953801039273759,7.4900402245229865
3H,0.0,0.0,0.0,2.0123311200335388,2.8981230639392774,2.807104043754453,2.9941167523472214,2.7951165888587277,4.255726713052412,4.817981042728359,5.215702438280531,5.169471875611094,6.143765059891625,2.4999713796725733,2.329891065636132,3.8490232371583204,4.290870587567171,4.857972456109635,4.784511227346031,6.219341636265099,7.014585315520228,6.339816695268092,6.569764083604505,5.195657808897481,4.987247377180759,6.2355541734168805,6.613312576105154
4C,0.0,0.0,0.0,0.0,1.0948526280527766,1.544250016065718,2.1411353212803155,2.182154808681813,2.5820566499513853,2.8766493420529113,3.8055668542013152,4.108389896628065,4.606579796144852,1.5451288349660637,2.4201551243518185,2.4663950805674193,2.531401746510466,3.800303467048828,4.133143510270463,4.914676717745082,5.866001824248828,5.035092836899678,5.022168300696913,4.299984540908155,4.039105093043209,5.564215859003754,6.0149394265927185
5H,0.0,0.0,0.0,0.0,0.0,2.1463432024849682,2.563078363207341,3.0532510125320385,2.674984872683544,2.5613561433873437,3.9927769786570373,4.510737618565005,4.663788797673384,2.1736268493687945,3.2272209839739316,2.614018132941767,2.3890283283741325,4.0592344927844835,4.4883355282353765,4.8836016730412775,5.923340979492171,4.834023403689641,4.8842634349528815,4.7933022091291315,4.615770450392119,6.083909792866275,6.612639366582573
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0972421879012153,1.0981855146079575,1.5268339594989246,2.43545133493902,2.437527173526019,2.5975007041634686,3.3601356309764085,2.522085476105008,3.305015148179252,3.1752106274899794,2.9574301634575657,4.332506703157137,4.886375646757835,5.429748906966233,6.326637759354268,5.795789773633297,5.302522960957529,4.339388985552686,3.661618644672025,5.640292646065141,5.8638107957855
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7632208368229525,2.1436845467854124,3.082779978438809,2.730010398509544,2.7513251746956873,3.697531241150554,3.4367799614862364,4.129442805751431,4.18857191324945,3.9225014432058365,5.406397653015574,5.919912750828269,6.478838412093267,7.401525610511562,6.78231117029057,6.31907153559495,5.4269440380160505,4.700093344474628,6.715529055776959,6.899900430008192
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157856451741549,3.184594211580619,2.6722626918991343,2.4756569465547655,3.603074005348143,2.660064398098985,3.093151801813794,3.42820860457876,3.4301123708515253,4.310477344841995,4.778175015067403,5.569900022926209,6.336985274709853,6.080622171539542,5.526364022918657,3.996306205222021,3.1984742442085805,5.189861929202564,5.281638310575987
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.231453146433295,1.362978585968896,2.0727472530323783,2.0349404508977744,3.222172827086646,4.227295555070938,3.229736860574052,2.592927693594932,4.265054719508963,5.094935034562904,5.01533001419885,5.91955259139502,5.462676136030909,4.591846756276838,4.194180034842877,3.4290857511435804,5.516704153936254,5.706564289910676
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2628729838971555,3.1625835085313736,2.477438189915509,3.3122300145179886,4.476417475171382,2.8851266466813614,1.9741590924297605,3.9330167128958156,4.852950640548267,4.3504565766905765,5.324974516091696,4.671282049212794,3.806492953531832,4.17582166161204,3.67895038169932,5.487519663310381,5.824529401009156
11N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0098656963657917,1.0114013103482309,4.406128041358148,5.271612971745146,4.405958121052588,3.7819693731187436,5.223028581940244,6.097433398960087,5.922206468980619,6.713905165186992,6.510352791810299,5.375919311811644,4.804046806533815,3.8017920896694926,6.0169375077536635,5.996240167807328
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7290481412676713,4.69876119732065,5.37781247135483,4.906410946824525,4.445055783780998,5.647491658507686,6.43290028198091,6.511590616238826,7.236364811289715,7.164761261830565,6.056498386299368,5.036222580199082,3.9236932521345094,6.173424198214039,6.030806093270032
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06904384747353,5.984314266536373,4.821089770804873,4.086547813754407,5.494911453496037,6.463221672026245,5.9631366379204245,6.700801237177239,6.591075311402011,5.261186569102462,5.0283091674551565,4.052625111659683,6.166035219365481,6.109068026426146
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.228670126649691,1.3664708117950426,2.0245865772958918,2.4316286214193648,2.6138332133956546,3.7316011688475115,4.572979354751576,3.9316605138251366,4.084750419599366,3.0626851672417286,3.1511937430524335,4.21897945095656,4.785355206515394
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2843146340488927,3.1407201345167013,2.780711784876754,2.515783023378061,4.23944591586178,4.875818898507,4.473910183078498,4.804203301561313,3.214519447912292,3.4365146002377296,4.099415097464777,4.634213781137162
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.020297575883445,1.4478429500974783,2.0671696722458086,2.4595449277925012,3.4045279345341015,2.7065679953601327,2.738364908476019,2.450752768104298,2.7903562004856477,3.6322764311926288,4.318274462284188
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12242812112945,2.970686448756113,2.6743962339300404,3.7087723184931383,2.92293245982963,2.5392914448631725,2.89513509786248,2.968691272735363,4.152803147310013,4.749818392865653
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0941139241826803,1.5362514286688669,2.176237278828969,2.165078931155898,2.1832392543328414,1.535066138331584,2.452188799608548,2.3848366236282192,3.220399993204967
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.166828869959631,2.5093479299983414,2.498696030670908,3.0823380223731367,2.1248966252738715,3.148685239163409,2.552616474106668,3.453176566111364
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0933064951458418,1.0942050480074583,1.0966334528235517,2.5285049058495335,3.4433031068772046,2.979424501061802,3.833577135292821
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7801072073801856,1.7762884635144918,2.760304010156406,3.8106873364882525,2.6804233484053914,3.526733515216861
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.775648368058262,3.4752486263959876,4.3766286075686285,3.9444242346735727,4.848702254133015
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8063477271856625,3.4107223824959805,3.4170124807033444,4.098227373561563
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2113560630116,1.3537193763537214,1.8786600600252248
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2530575331086817,2.2859779832885696
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762617973081609
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
