,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23H,24C,25O,26O,27H
1N,0.0,1.0206320502343804,1.021654598074467,1.4655079226846373,2.0822596219917173,2.4527358758069173,2.5403591043304883,2.764455207521199,3.828614483566137,4.221250537440443,4.1010996145609155,5.278224067713445,5.74012054399689,6.743336336368983,5.222470889789118,5.956366632209878,2.4832129858731897,2.8584933469987566,3.613818247376749,3.877300764910978,4.863680478816739,4.845677636976452,5.5565269902852386,5.770840095016634,5.741073410027323,6.959561460104558,7.5671560579449615
2H,0.0,0.0,1.6207204327842515,2.0435574777381023,2.342288534783271,3.345263231390006,3.486304545464844,3.6972718799111886,4.589005566277823,4.856883849860589,4.748801825004178,6.1650782276038605,6.6258604029031085,7.657790963830665,6.13272839069883,6.74177828006355,2.7112995706071388,3.0787450976253847,3.645783737003052,3.944030905051578,4.8420282583207435,4.774713149426738,5.3773489600426405,5.964865810780286,6.11633423371362,7.083461270281396,7.788740870275509
3H,0.0,0.0,0.0,2.019231422349047,2.9123241812268064,2.711880939158321,2.9063557614324633,2.599925618225927,4.17421132455653,4.484985314777,4.669986766408453,5.4596887049833835,5.613897954587046,6.587937147619137,4.933454171656586,5.84289946884401,2.5731855206398175,2.4856705013179554,3.8850947212235742,4.3550827281329845,4.943150290554609,4.72494367384872,5.738637864060703,5.786620133160772,5.79734684778011,6.891266374738904,7.481411994267331
4C,0.0,0.0,0.0,0.0,1.0992780997435856,1.5467968236874654,2.1431188380993778,2.1554206120990718,2.582381338287089,2.8257825440700137,2.876334512354349,4.247335097991568,4.759382252441871,5.817150370774288,4.452658567081495,4.824496164729358,1.5399050255105589,2.4150373374865866,2.482073344585857,2.5967296227931027,3.826147793950086,4.060805951865774,4.565434000769829,4.558013047833762,4.406235158592423,5.830632692781768,6.3745440443085855
5H,0.0,0.0,0.0,0.0,0.0,2.169446585660757,2.549448060120251,3.05786795164754,2.7415302352781916,3.005177874007419,2.601746018105428,4.506582016399163,5.325220779756558,6.365531445797685,5.204307476193263,5.343601424431047,2.175620049339951,3.274122338366243,2.561241835957738,2.2893962988729335,4.003008293439055,4.451967979967402,4.533369341393953,4.794870174635744,4.640817540980577,6.088416176993081,6.649862121145865
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0947133443736152,1.097449334060542,1.5332168287801342,2.193163598513402,2.1705825145255537,2.835798588124277,3.4494409996632385,4.445400491172352,3.181846738496527,3.7597799641824343,2.5252060244437176,3.1509235701917486,3.4028773131612575,3.3910406557520605,4.585995847130984,4.879258498984883,5.462999839661233,4.849011536583578,4.326955217944513,6.150446092504651,6.481369019089134
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764102359568624,2.1668398605624373,3.0891533596010228,2.476304131420546,3.0573719976347675,3.9782758978250827,4.838299700027954,3.6937141014098676,4.506462374910309,3.4442986404657594,4.036027424324465,4.352041771753452,4.249591051763718,5.613844924706252,5.89752846847692,6.442243080511181,5.929232802787537,5.37720250018729,7.239078152499937,7.562195204515982
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1730287584655317,2.5837258382881316,3.0784474697251607,3.0068948599294933,3.0368854599449544,4.012420925822734,2.462654089236653,3.4037581451583234,2.664371060723847,2.850270778606246,3.73291238350252,3.9697375767401337,4.692524120265733,4.785672245974057,5.68619623612071,4.840470122379607,4.34021311793075,6.044172966192985,6.329366240361192
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0951457088803846,1.0973184498985078,1.8378171417168256,2.8096657057261116,3.7718460268053917,3.0588508585313683,2.949182781732372,3.1637395799705192,3.9673594859134615,3.4860997311526196,3.169799686977231,4.5117837297987675,5.076917684875498,5.316930436608105,4.394914481175016,3.586156260625292,5.7042465820450134,5.872152683623935
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7694461145695777,2.4064326450748865,2.8213759949813375,3.832154407139658,3.1550785429432273,2.5404332605271502,2.8457855631988265,3.6274426130499977,2.8598284992701553,2.5936328084337554,3.648345248078627,4.28840472694417,4.458573085334054,3.347139922264717,2.4963917939818216,4.6405199617070165,4.789122814739405
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3697617754862565,3.733136344416518,4.59129526069101,4.097073561893687,3.8537667895315617,3.6666915636830573,4.6635004889665135,3.764289035109521,3.1762429116984316,4.899072269117218,5.601150553342462,5.534302244878003,4.893582007774431,4.127841829392331,6.215886793470043,6.415863561255113
12S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8295255114492517,2.3878628189011963,2.4565244117352742,2.440213059299809,4.803068661456743,5.363965142036003,5.181908341075618,4.905902808873662,5.999785164420515,6.513441082410151,6.856155271478461,5.523136192602554,4.477931982419478,6.695528142475833,6.617504836290404
