 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,H23,C24,O25,O26,H27
N1,0.0,1.8479355549888385,1.8100177356113019,3.0953540294999735,0.09077326336380243,0.19601999463170652,0.023254941121413908,0.005354518874619907,0.032204629903203524,0.0008977558961881238,0.0008701942040673094,0.007220674322206716,0.0004047578658858547,7.298716404047223e-05,0.0001711929091484654,7.019868249580341e-06,0.2312547245087769,0.051340957578481755,0.03397728064628462,0.002513156227319735,0.006753004903525969,0.00043172728171214647,0.0013340770003466007,0.0004932996217496821,0.00012259468852889033,9.044244323305056e-05,2.2169219671686058e-05
H2,0.0,0.0,0.026992302814533353,0.10353289501753271,0.006654297773752704,0.03249307244413224,0.001444269958571498,0.00036434987553213283,0.004543638849406895,8.962791664290926e-05,1.3993592787198139e-05,0.0019253460794562693,6.589168777992871e-05,1.2190680651169572e-05,4.180441596823847e-05,1.122317113022575e-06,0.008868067053816597,0.0025242174623526514,0.000585841455408409,3.921600483502985e-05,0.00015853753983530172,2.6038899088032252e-06,1.1098493856387392e-05,3.131090912955603e-05,4.984622426040808e-06,7.997476202725728e-06,2.860938137505542e-06
H3,0.0,0.0,0.0,0.10326124147932347,0.03662991956441708,0.008917704137488824,0.0003157003471569997,0.0039338170036480324,0.0011319548713004668,5.928768323748557e-05,0.0003871209550176946,0.00026250558209628405,4.040662437077014e-05,1.0942035787664395e-05,1.5660078543033862e-05,1.3560371121545955e-06,0.01761474162193144,0.04373847148300902,0.0033197727650223774,0.0007207612258413043,0.0005075377128473946,7.069930879555208e-05,3.2269679811625096e-05,1.7966969412142042e-05,3.093481636184947e-06,4.163824872005506e-06,3.599398801235054e-08
C4,0.0,0.0,0.0,0.0,1.8534725213161944,2.660746930303335,0.09391935709143118,0.08286070625870345,0.1572034562132438,0.006909532945122976,0.007168733913456737,0.04617603803717647,0.0021633746144734123,0.0003879713521071082,0.0010945076568162904,4.301570940579147e-05,2.3076816436845218,0.2667086763677351,0.21961349174522063,0.01750092881999621,0.03756184803632165,0.0059414771432091396,0.0020748239755319364,0.0028108699063273124,0.0005343130939717694,0.0008789568750160737,0.00021473355586776322
H5,0.0,0.0,0.0,0.0,0.0,0.07650960381956406,0.0029968714422543563,0.03411683220338868,0.011639745994664219,0.00018569275775615068,0.004502786926193991,0.0016524896078250473,0.0005578709598921261,0.00010336013866596439,0.00021998210690155062,8.727867467639427e-06,0.09175609056490597,0.022463735994525558,0.01207977185750475,0.010433241588553521,0.0020621058228005307,0.00026394508840832387,9.184666169170796e-06,0.00022459226477389294,1.74586524417375e-05,7.294755475384385e-05,1.7701134235270644e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7386055197238934,1.9770808325035925,2.8235216637303693,0.08585130650163952,0.08349620921280843,0.19762617058066095,0.01403519772986532,0.0013759879827048849,0.005127708970042555,0.0008651428522554738,0.19264313845619854,0.03904463040112216,0.026589050719721757,0.001228297886722407,0.0035975805329795107,0.0003666128034116589,0.00013523005120230636,0.001466273881952418,0.001255221355033878,0.00034723896466994086,9.955299844477405e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024613000459521084,0.08728877336039387,0.032041909060887,0.00647805107195798,0.013285479124191757,0.0005669320926384724,4.589069756799624e-05,0.00018381506165621175,0.00025229436340601374,0.029560120399431566,0.00563147925320906,0.003386344339386338,0.00011878955110011802,0.0007792655940119797,7.645246544996098e-05,2.3582205366246e-06,0.00019261729697950258,0.0003710412784027062,4.9916985231934774e-05,1.0943640147420552e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08080075074264514,0.0038588698425894297,0.03258267809318771,0.011779046447601083,0.0057175246428883275,0.0006317153019401722,0.007172195662263681,5.969314025033867e-05,0.015067301718780124,0.01050220174409977,0.002049151859188636,0.00038152502636701335,0.00018647223351608844,3.708265934632138e-05,1.5074844850637703e-05,2.7064343175231542e-05,2.8001357886164868e-05,7.154878852833058e-06,1.2175755950138978e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7771121158490857,2.005216458831616,2.719396494805871,0.1172608012234766,0.027442779210813173,0.005758478194289651,0.010269980753280894,0.014471100507058271,0.003190899912075121,0.009808925430256271,0.004451351261819059,0.0009279811422790163,0.00015957701209767805,0.00018959102405879946,0.003027646065326267,0.01663553171625412,0.001347145060101973,0.00018657090255547182
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026211091901283456,0.08703774803722586,0.01309641426796293,0.0007466645537801408,0.000545085969559711,0.00521498910069873,0.006372778353157749,0.00031889264209405965,0.01049991282303131,0.0038112571449728794,0.0010012930718465984,0.00016570240156199567,0.0002591089386771994,0.007372858884137079,0.050605141736954296,0.0028613948002269574,0.00011634348657341143
