 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,C20,H21,H22,H23,C24,H25,H26,H27,C28,O29,O30,H31
N1,0.0,1.8285138253774935,2.051430045520722,2.928119469168902,0.09960771912392907,0.17611418817497773,0.025837251619330592,0.005162323065490471,0.027924617924793005,0.0060196496857173876,0.006406595655874411,0.2084932243677596,0.06804564439585668,0.033850646998308545,0.0020244106866140754,0.0074042851596199805,0.0002604903297485084,0.001115984046242885,0.00025588153775912836,0.00010059982282437097,3.9945939137031594e-05,9.94644068530448e-06,1.0969642127989232e-06,7.394489891944522e-05,1.1499238725898309e-05,2.073547569902967e-05,2.950457032691034e-06,0.0008676124504617688,0.00017487835793597584,0.00015794439477186117,3.491471526761991e-05
H2,0.0,0.0,0.027983588994760167,0.10374202243290265,0.0031067750953668316,0.03006686711387796,0.0019772144688257054,0.0001169163482621638,0.004585655100239339,0.0009282932425730417,0.0014062711884530454,0.034443201044725424,0.10048117531711098,0.005676891941401752,0.0002550689061147082,0.0007017522903528528,3.6418505245938704e-05,0.00010764118068362638,1.2722114649310612e-05,2.324557353461376e-05,1.8456378821918307e-05,3.5706038672422835e-06,2.205944844568819e-07,2.8864642441561728e-05,7.710591017673352e-06,9.054803890462537e-06,1.539873542899528e-06,0.00014256031005999148,8.521925276949727e-05,1.3755829829542598e-05,9.022070130981774e-07
H3,0.0,0.0,0.0,0.10180187701550547,0.03519737180560045,0.02368273302224244,0.0044759735195447625,0.004649616258474154,0.002459444005827316,0.0014047785766369003,0.0007752945519946541,0.005763679903205587,0.003342987877504089,0.000680522864067834,0.0001308626484790576,0.0002235225983510114,2.8345352149683478e-05,1.4050135554666277e-05,4.165680527634663e-06,5.155997579109339e-06,2.7985555706155907e-06,4.58073114328883e-07,1.1588347592628168e-07,5.401749370914644e-06,8.694546895782196e-07,5.534653506167331e-06,5.250869894446453e-08,3.7948270924514915e-05,3.5581197719292135e-06,5.212969626078312e-06,1.8095628728787005e-07
C4,0.0,0.0,0.0,0.0,2.078222706679032,2.627152957727307,0.09312547476279098,0.0802308062698529,0.14315278512929527,0.028927530743736912,0.04089941377485665,2.6586711398346177,0.2753722587323316,0.22961633585432173,0.012711767732550228,0.03769493670414059,0.002018537678735388,0.003696765585991274,0.0013845138929142742,0.00031782001324844045,0.00011268041899059611,2.8663212600976706e-05,4.515562831874931e-06,0.00036190177608085017,3.124487393546538e-05,0.0001330884783745656,2.2447936757652442e-05,0.006152273454359869,0.00113338950537481,0.0009525648007013832,8.737204815711941e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07604620550374008,0.0018300200218586138,0.030995952464893284,0.013673771988702565,0.004662125134843098,0.002350856636741616,0.10380101194549862,0.025288698461786385,0.016286621328540418,0.0007863497586002577,0.00155830354552422,0.000323597470213155,0.00012633014074148186,9.561990741868698e-06,4.3592226265598555e-05,2.4335657094143315e-05,4.425565572896417e-06,1.1833455559884243e-06,3.704872367837897e-05,6.087171592561447e-06,1.7085528173588216e-05,5.147394332993827e-07,0.0009373878799050495,0.00011331565219596662,8.273011591131141e-05,6.8535357795607155e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.042619405130482,2.019420644117593,2.398568903617699,0.2615551991218953,0.3065683641999623,0.1629318055313939,0.03456561856121679,0.0267399980518154,0.009688348982159312,0.003293240125279137,0.0010566910470630742,0.00031943009822149593,5.574318578216442e-05,0.0003640537989569592,0.0010329526127417221,2.9792912528137094e-06,1.0267392435370226e-05,0.00043326233233861866,1.707988904109392e-05,0.000880599532179227,1.0729113890661779e-05,0.0006870171026904237,0.0002786068691536525,0.00011420214724074118,1.0470902143788763e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02518233534529246,0.09127771951223673,0.020660294893079967,0.023893116704849504,0.02613433687165867,0.0040364294497973185,0.0038656137415693514,0.0008012399075696397,0.0004149573426532882,0.00027673236481784436,2.734306866836178e-05,9.753201702933367e-06,3.3879413299908734e-05,8.160665920908805e-05,6.907934713140662e-08,4.775295983083794e-07,1.8970762994174883e-05,5.248802870783109e-06,8.481155144846042e-06,1.9656039662585556e-07,0.00021495912444180476,5.0553044276369086e-05,3.141909962600664e-05,9.784922379019179e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08332670919978558,0.01271138218978396,0.027080803903173356,0.015131147905640407,0.001957294518270869,0.005856576150177428,0.0010414370301046194,0.00045345625728154815,0.00024515751805109787,4.7255679778590576e-05,6.8259249954572e-06,9.570524357016552e-06,7.658982298153205e-06,4.1754867829979503e-07,5.050353064639523e-07,5.279486891529572e-05,1.7171528925441493e-06,3.344434760998993e-05,1.062139879159929e-06,0.00022255108679880564,0.0004198049662413883,7.09224852264434e-05,6.66466823218137e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.337385240055678,4.896273164362773,0.00666901429262956,0.0021665319995123056,0.021850293787353314,0.051822545322379954,0.003294019934090814,0.00028173322527025313,0.00061825962325468,0.00011348195892746382,0.002383058289017359,0.0042332871894814605,5.075612640381699e-05,4.746957059165169e-05,0.0038691198108979363,9.836392670292682e-05,0.006569431198465425,4.8166381236613987e-05,0.00033340160038225486,3.299962055575145e-05,0.000134824717367088,5.56399935178753e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5762212122776641,0.01625617348530789,0.004338319424476808,0.200710730695082,0.44220235837075605,0.01988201684807736,0.0016852846924204634,0.003897993827888274,0.0006762217693838668,0.011807877498556371,0.03217208338261146,0.00026962767862248604,0.00025179220728621665,0.01966348315255316,0.0004304840773936558,0.051800356917078516,0.0002622263311462536,0.0024744273305697118,0.00022880424622866158,0.000908962809841582,0.0004321159972288102
