,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20C,21H,22H,23H,24C,25H,26H,27H,28C,29O,30O,31H
1N,0.0,1.0241344922727613,1.0227890093313523,1.475317823502734,2.08682292161229,2.477003028481792,2.4946484381498175,2.910845259599738,3.8769248802762157,4.473569742375181,4.633365997889196,2.483351315418691,2.7442687329460527,3.691759356868706,3.9440397924416604,4.899894457083988,5.071119599735563,6.159294331492988,7.007077234060394,6.42828953453939,5.854538075808844,7.468705550819691,6.489785308394796,6.524343670277059,7.5621722842981765,5.981591260003428,6.623764825709959,5.316069395553271,5.255837993592517,6.31354917428565,6.728517886475893
2H,0.0,0.0,1.6094714890037787,2.006254185925134,2.502243815585024,3.30087299276217,3.484347505559527,3.6165151943386498,4.642066723489411,5.033914569392102,5.513465521452254,2.4010632580240845,2.1903755328250494,3.7370933835106874,4.233080067970286,4.729748516272377,4.715983560343093,6.122645218795697,6.8577730825916525,6.438535047042144,6.005620819098299,7.519217136296725,6.357954462369144,6.685902129974904,7.741852958177546,6.294410065337965,6.757385296910337,5.061265970107863,5.121225687252217,5.884801723140122,6.294093339742675
3H,0.0,0.0,0.0,2.024318028721527,2.9059323936943664,2.5296237505062953,2.4548315520716306,2.6024206114647863,4.080742845863987,4.770741711493275,4.786877558632956,2.829879181830463,3.0350657367829506,3.9611037603046038,4.227287461364227,5.127655759675966,5.4412786705107505,6.40084172127418,7.22456172651541,6.871694625080512,6.338952577437462,7.892737633686903,7.03930553768968,6.593458648790237,7.655063965975975,6.056213557476073,6.535447550573688,5.283876607344633,4.99599060216359,6.330457620891214,6.610741371566971
4C,0.0,0.0,0.0,0.0,1.1017468719994088,1.54790953498006,2.1451014253744165,2.169155906550628,2.670654022404412,3.0509623293301678,3.648845743759942,1.5513588572980996,2.4387812223871133,2.4488323206736218,2.5173796403165136,3.803260062344854,4.106031932380587,4.881419256992846,5.814675679273021,5.060014976395784,4.424345025986644,6.0682206896326285,5.228543862652827,5.2080932650825105,6.205709839212495,4.612676451117051,5.444099702414084,4.497029778113716,4.561347743253035,5.6084877776085795,6.148888849996559
5H,0.0,0.0,0.0,0.0,0.0,2.160247642018048,2.623372149173864,3.044333732737554,2.750462626177556,3.0049534583067894,3.6312912720584873,2.1317278695297115,2.97900951860742,2.811528333705388,2.721893045343573,4.109043195487015,4.24167811426745,5.0313936067566924,5.985733425185656,4.872781017163782,4.135266219362011,5.8545570374422775,4.924441008380726,5.503950334885056,6.412489226537739,4.882835628940848,5.93282470276268,5.0853696461904345,5.348756027585146,6.10889657777339,6.766331636319014
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0942273377692846,1.1016492970443175,1.5672183889810252,2.4314332858001606,2.3935813708049776,2.616872988264088,3.6782858719842757,2.942475359257701,2.5351956964338824,4.354657823102196,4.965704939960134,5.117111900614533,6.1404014123792265,5.356348991502525,4.591169265761796,6.220174703672645,5.808382362297217,4.982084766651859,5.910210279465343,4.160023731710381,5.170679424318173,4.959229059309205,4.755862083544031,6.244926618720175,6.704711597822162
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769203339680862,2.154860223196806,3.2894380247724797,2.4502645529504057,3.492417466868366,4.411031271876308,4.003275126971051,3.6115089703428027,5.4199086567256805,5.979748306662305,6.209247409070065,7.23405215933552,6.3923823683259515,5.572461212773878,7.240268614447695,6.813773413531083,6.037096028873515,6.939036838932203,5.172249361365424,6.197394107450711,5.965396204873352,5.683654262166026,7.238186290515777,7.653112310979075
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.178595196380267,2.833554536143071,2.9814175801939395,2.7283500738559368,3.6793388782005363,2.928455151972773,2.6635615083150843,4.189464150439442,4.950524367762645,4.971179602649295,5.926849069136394,5.511477153966325,4.8907145086525565,6.35047801330669,6.057274333748529,4.64885312947627,5.616057010173247,3.9019959368651116,4.614669759739511,4.479877797458364,4.041433181021977,5.810703271926869,6.139848333546309
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2848336797592943,1.2394783225323003,3.4640715143920793,4.6833493743383805,3.2209392528778205,2.3414205248879814,4.529411794112841,5.210388356786928,4.819109895275739,5.912131014041619,4.765833703876368,3.8354857882052458,5.442049652681925,5.376671969286356,4.4951506839076165,5.223498004027975,3.4958865223452733,4.927621574178436,5.408771343911032,5.337971609691132,6.69837075920425,7.259538025212246
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2572155826138625,3.3049118610497445,4.535157535405527,2.611664097914737,1.558206943424084,3.6996487879184135,4.390388924320254,3.7092746819693816,4.807799888768472,3.532731409997571,2.5993095108000683,4.16185619824021,4.2242697879994955,3.4518027186571274,4.114296402037809,2.4870108623376623,4.079803527067954,4.768743124082583,4.903153599971694,5.982702387521233,6.633038596041293
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.646439915211219,5.8410368515262485,4.459515954565428,3.5530750735785888,5.749164801726583,6.434905012505521,5.923301935074604,7.017005083195885,5.766268378355927,4.773696565483939,6.319319587678629,6.411881065210267,5.449119586189627,6.049839071112154,4.383279431710426,5.883541096675144,6.604917117216391,6.456201045681278,7.910214108531632,8.44579068749956
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2415359112099438,1.3457873275609435,2.0538633178480445,2.4196737795772347,2.671252150709891,3.738504652482792,4.5331849498187635,4.181778351052868,3.8539258964098724,5.24876859074905,4.274885728103276,4.3180140253648425,5.365045687593808,4.0234198861468,4.478284712741637,3.051885568501093,3.329712746076889,4.080532295287411,4.6661479000864095
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279342127691124,3.198088884488227,2.7720659444044653,2.680375760187026,4.292317650398324,4.857421061761378,4.858266265726983,4.740392072828795,5.942173954181952,4.747721315999136,5.07174314017932,6.1212308690573805,4.983335154673056,5.098531983049783,3.017296700071177,3.372856707885963,3.7292697918039517,4.235266444184209
