 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,H8,H8,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,O10,O10,O10,O10,O10,O10,O10,O10,O10,O10,O10,O10,O10,O10,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,O11,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,N14,N14,N14,N14,N14,N14,N14,N14,N14,N14,N14,N14,N14,N14,H15,H15,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,H17,H17,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,H19,H19,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,H21,H21,H22,H22,H23,H23,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,H25,H25,H26,H26,H27,H27,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,O30,O30,O30,O30,O30,O30,O30,O30,O30,O30,O30,O30,O30,O30,H31,H31
1N1S,N1,0.0,0.023267491398331952,0.00208197155289791,6.1495193981464524e-06,0.00011923892461385144,2.5955367915830863e-05,0.004491605869793691,4.247710006111127e-05,0.00024027690264927237,0.0001065011705005392,3.0134485218269447e-06,3.736687456011578e-05,1.4547989890090207e-05,7.538803253048787e-07,0.0076082107137454,0.0013611852515144074,0.007696382312521122,0.0012135621701039323,0.001105099275094168,0.001995506147188797,0.0029699238902867187,0.0061826952646555355,8.539389959549837e-05,0.0006284020194067264,0.0004306287409245879,0.0005276509563705289,2.0028270365068934e-05,6.0657671263036894e-05,0.0007994602240502524,3.0449913913349613e-05,0.00021245157753810306,1.582191842050551e-05,0.0003040962658951152,3.544354001294714e-06,2.028388398722658e-05,9.833201080167164e-05,0.00011694041112231268,0.00012853724591455062,1.2888640072095114e-05,8.274977394195915e-06,4.7694629962569124e-05,0.00011682047644367977,6.495370903780717e-05,2.2908215212280592e-07,3.290269108865984e-05,1.0903704210751819e-05,2.5009348408960852e-05,2.9298365731345033e-05,0.0001246259295089036,5.2224497688602156e-05,5.617556492421016e-06,5.947158641106398e-07,9.977054630461168e-06,2.7730951331239595e-05,3.2718682616561523e-06,8.973388657929071e-05,2.2679994817753624e-06,1.437641007484558e-05,1.529293501567608e-05,1.4594099349007905e-06,1.675814375268203e-06,1.0721786452561055e-06,1.7854529674454778e-06,1.954414270477489e-06,6.074787215704092e-06,1.8067990770198605e-08,2.7527399000526476e-07,1.040739527891077e-06,1.2892586265245143e-06,1.4996652523802112e-05,6.706627767361084e-06,1.6165787997124426e-07,4.843335540405391e-06,9.307739199382326e-07,6.225864455089436e-07,2.1863875529493093e-08,1.1138727688264627e-06,7.880684507743929e-08,1.3242096593285568e-06,8.731264124345328e-07,1.0765577797278159e-07,4.5753248989477413e-07,5.198835275610492e-07,1.8706314306227156e-05,1.2870366372652597e-07,2.35202879506069e-06,1.4572520967703895e-10,3.0106159973897206e-06,1.6904650828042378e-06,5.194942787195567e-07,1.471905126670947e-07,2.844849009975281e-07,4.2903664557170096e-07,9.949183423230146e-07,2.1942450226242194e-07,7.685863037121266e-06,1.5834410913573294e-05,2.8033524113180164e-06,1.1913242268235535e-06,3.1753309515436534e-05,0.0001303598746386081,4.7871830017087724e-05,4.9840768043596384e-05,5.12454935702733e-06,9.768666690113115e-06,9.377471036020602e-06,2.16332806185493e-06,8.980847998496522e-06,4.58091587585141e-06,9.24384789735555e-06,0.00011265919205327712,5.566335949502843e-06,5.840853948146929e-05,1.0336370197538969e-06,1.7810162727283085e-05,1.4221977194806001e-05,3.9134011253771916e-07,1.9811945506376105e-07,1.0106694276756922e-06,1.5314811149802487e-07,1.1062748256351895e-07,3.5727734909452025e-08,2.300796894810775e-07,4.525669100141627e-06,1.6841543567513995e-05,3.3020206746670056e-06,3.6862670693693644e-09,2.00654271997891e-06,1.4561904810861392e-06,1.0528894918149234e-06,1.1724314259442536e-06,8.927023781302168e-08,7.511278274363598e-08,1.8400070012081216e-07,2.7814949676852052e-08,1.7331152818433893e-08,1.2936863376111774e-06,1.3936624895238836e-06,1.5170314199286494e-08,3.755760706880551e-07,8.893373411034133e-07,1.3623204031532055e-07,6.95957265151037e-08,5.969183896059604e-07,2.511125335447062e-06,5.157750744277934e-07,2.7344690312069986e-07,1.3290628897433265e-07,8.504760229399722e-09,4.7761787996813965e-08,3.813806635222239e-07,5.679672294978122e-08,4.27050736995227e-07,2.5875346343351424e-07,1.5656639873462552e-10,2.7049980699800358e-08,4.524615992984593e-08,8.410056495655738e-08,1.0221986812553041e-08,4.31784337173724e-08,6.759677928513952e-09,1.0085895651990029e-07,1.5008078779743528e-08,4.158993982539272e-11,4.758472227361921e-10,3.1962142377217617e-09,3.470994713872244e-09,3.3042304170560755e-09,1.370969560099411e-09,1.613183520099426e-08,1.6416410258957015e-08,3.540404414081877e-08,6.436528221520632e-08,3.66997543466141e-10,8.420864316960319e-08,6.014257980524462e-10,1.86178461536457e-08,9.507087117555102e-09,2.5171016382330436e-09,4.74027594954407e-10,4.7814802672796475e-09,2.0023752100861714e-10,7.918949107565965e-10,1.2880492922251463e-09,2.745785177005189e-08,1.2324136755559323e-07,1.280577510698322e-08,1.4785149549112475e-08,6.337621538676785e-10,2.8620217307206985e-11,8.387372740781274e-10,2.035364765617942e-09,7.204126184490178e-11,9.9422736710153e-10,5.404494629601686e-09,5.806413128084387e-10,7.106126354017306e-09,9.614500751098376e-09,2.080544403426643e-09,1.0311117237815637e-10,4.2463435545592176e-10,5.076585540830791e-10,4.009531595627891e-11,2.7999766394337655e-09,1.8347234842508442e-10,1.2804846072356213e-10,8.693823438932213e-10,1.2238502433703502e-09,8.171707754911495e-11,7.2011017149264944e-09,1.747741476265663e-07,5.567066407863308e-08,7.890272146759969e-08,2.0073770556905401e-07,5.182319462448959e-09,4.7006536973981383e-07,5.409702591441246e-07,9.025535874229718e-10,2.727763570575803e-10,1.0144086654007012e-08,5.41906298445749e-08,1.8167581161687707e-08,1.6663887991708037e-08,3.543739746092456e-10,1.701275786913925e-09,7.249208344717317e-09,5.1688025859419895e-08,4.0130010425798446e-10,2.245515196008796e-08,1.7728263301819425e-11,1.942443961233664e-08,1.3688630229324872e-09,6.42101261050243e-10,6.992872531030869e-10,8.745369706186779e-11,3.0149126806211513e-09,9.02338814778858e-10,3.2853237907914945e-09,8.280162999696472e-09,2.41530109246213e-08,7.964719328512615e-08,2.028993195679618e-09,4.485956806021818e-08,5.3786513021236715e-09,2.4181494140407267e-08,1.8519319411325341e-09,9.27929955096829e-10,1.1647494913002987e-09,1.436491509076987e-09,2.860589418118842e-09,5.095120991782665e-10,4.432781558483256e-09,8.141770813097082e-09,3.1433491476384745e-08
2N1S,N1,0.0,0.0,0.03615309701548064,0.0012357704299317263,0.00240594833944785,0.2616919956281145,0.06593941348112642,0.00016513920378358193,0.004637021781036754,0.0035651643022476254,0.0001004499451218166,0.0011154227050669263,0.0002046361084075965,4.884953386885549e-05,0.09988783885288299,0.155712015215963,0.09862350317191027,0.15019214620379273,0.0031618191778877147,0.004909211709374084,0.02611994103531723,0.06542720640017174,0.0008394823072062074,0.039806458758534724,0.09323422985165974,0.1499831554630009,0.0036585209801849317,0.002926001364371267,0.03805531008578211,0.0017330424858841287,0.010376161420263541,0.0006675721583198069,0.009067581813099412,1.8519295457153362e-06,0.00017945312982270423,0.0010809368793638363,0.004145098821120907,0.005827556953418966,0.00012217512988144108,8.187459239472616e-07,7.854616237423784e-07,9.466533956725698e-08,0.0018084626352616873,6.169732504890391e-07,0.0002911926400861464,5.567710935494574e-05,0.0006370388757186429,0.0002569641579113213,0.0032020701883874736,4.9472514973558646e-09,5.620317608290293e-05,0.00019967460185066344,7.081511898077153e-05,0.0007067180367363868,0.00019198819734134176,0.0029918801077588597,0.0001329277714794408,0.0006287897976662293,0.00010386494089020815,0.00017679831897465803,3.4473450501337766e-05,0.0001200624178923082,2.965966981016699e-05,0.00018741927215404353,0.0004103591602020451,1.0678776770411957e-05,6.773699301465541e-07,3.911458014016489e-05,2.8832270805523308e-05,0.0005046938984842875,0.00020985435957721066,4.069641617920894e-06,0.0001702571189361457,4.937257624249014e-05,6.134150300107777e-05,7.431995525664092e-07,9.109930938433486e-05,2.3142030847189687e-07,9.808872894589982e-05,2.9861836194688962e-05,5.34663201046115e-07,6.80137676045689e-06,2.551070172884806e-06,0.0005815399768405172,2.217206790433579e-05,4.5146778015148215e-05,1.9698691997582785e-06,0.00017368865532363387,1.4044182763406354e-05,2.8994754250888377e-05,4.007394294847089e-06,2.5629263828319537e-05,3.156270613025036e-05,5.166378092291701e-05,4.0653052999939376e-05,4.165144780632346e-06,0.0006576131530469098,0.0004138977667946797,8.31645097694178e-05,5.4764781619365266e-05,0.0005516011555291023,9.957466270682502e-05,0.0006325091148489115,9.165071064964891e-06,1.1953655099761207e-05,4.857833642080145e-05,0.00011827613068371434,2.0791539834696948e-05,2.7970384729902875e-05,9.553322927979835e-05,0.003528887956755433,0.00042500696912251,0.001584986581471437,0.00022869526263358253,0.003631063840658477,0.000862874293663829,0.0012467558949769142,3.856371188382113e-06,9.341322458888968e-06,8.78774497277135e-05,5.2972401934248126e-05,4.598421932122676e-08,4.250774072067642e-06,1.6896639744690134e-05,0.0005734013161413642,0.00011657802547615503,7.87009957958773e-06,4.4587643667437504e-05,0.0004363383626420081,4.45102886579285e-05,8.45679276384459e-06,5.485831176210709e-06,5.290581709660458e-05,7.929274215001669e-08,1.0125899772894797e-05,2.882433900452952e-06,4.790858717473867e-05,0.00015685541331045272,4.306827258826473e-06,1.4132674134526013e-05,9.195510154746955e-05,8.45182274122891e-06,7.94194529474268e-06,1.4587017611589204e-06,5.28948294853393e-06,3.639871970495534e-06,4.6180613910706825e-07,1.4369728884577881e-06,2.3534210715769888e-06,1.6565818970581958e-05,3.602547351921892e-05,6.034358609241508e-06,1.3635299224379338e-05,1.4475937231139824e-06,9.102909848124341e-08,9.532414351198781e-07,8.39832883992031e-06,8.821113006263204e-06,9.454525180530027e-07,1.2051753910391483e-06,2.355402220821645e-06,4.918695128974804e-06,1.8658393488024672e-06,7.17326968935339e-08,3.6887921983641547e-07,7.893251741108998e-08,9.728586409796236e-07,4.912828746039821e-07,1.8008549020898101e-06,1.4166671435944522e-07,4.38334453178868e-08,1.6126575812513977e-06,2.988602962439302e-06,1.0265635452810784e-08,3.5667806863592944e-06,1.7890752923577224e-07,7.850201120263023e-07,5.288392670443898e-07,2.6183457091377704e-07,3.819236298330253e-07,6.03581299385425e-07,1.4842141293769373e-08,1.9390929861806683e-07,2.844208299990214e-07,2.062348028797345e-06,5.750547238392301e-06,9.642502281081988e-07,9.255442758870913e-07,1.1488075379872953e-08,4.751137261393978e-10,1.2383826852868651e-08,3.1440953440764474e-07,1.6853385709225677e-07,1.5769253991493315e-07,2.6591528401453957e-07,1.5094054761632947e-07,2.4050729718894104e-07,2.293920973173158e-07,6.580030742497911e-09,4.121606966833724e-08,2.132051575287619e-07,1.582134894206888e-07,1.3027834211420952e-07,3.879084262692345e-07,3.30417476490652e-07,2.3381894243001966e-07,2.0300316938559604e-07,1.5416583121208305e-07,3.392677649927123e-08,1.5790543184124317e-07,4.997187470490161e-07,4.891001982532117e-06,6.181545679773137e-06,1.0550023489930282e-05,2.660477127491845e-08,1.3600483546927222e-05,9.552645542143523e-06,6.528741316458309e-07,1.082020931075789e-06,2.6896543592336286e-07,4.033247648083105e-06,1.4693568237689192e-06,1.2861188161128467e-06,4.2793348864478276e-09,1.485571665682528e-10,6.732039325996197e-08,4.094718106806283e-07,6.124836460230654e-08,1.02258384382381e-06,7.847551719564194e-08,1.4272480308719082e-07,1.487108751696553e-07,9.079665908018342e-10,1.786997483321784e-08,2.023574485754409e-08,5.765374748722962e-07,2.2140014666049979e-07,2.4970067102891846e-07,3.804572035193132e-08,1.0757140542771992e-06,2.5434525143808173e-06,2.0912679232765186e-07,1.607401943548581e-06,4.4810501087511057e-08,3.624754727482582e-07,1.4081576349411762e-08,3.920450808436726e-08,3.28856446740744e-07,2.48925233536923e-07,3.374701191827256e-07,7.07575642522329e-08,3.978263505288737e-07,4.891919944682854e-07,1.0606658409351155e-06
3N1P+1,N1,0.0,0.0,0.0,0.006559334384168114,0.00937632418477019,0.041983317250740004,0.12560241253741022,0.00745753520805259,0.01001149987787997,0.003785446565748307,8.029181350011072e-06,0.0001176595098248967,0.0034827127147469827,0.004017382846514428,0.0011458324454460822,0.0031430929327784796,0.1107674459948913,0.03793857616173035,0.006416749916596354,0.030316618284305985,0.043312919143513984,0.12076190180227275,0.0010728270935458362,0.00689961259764349,0.0034959803112868393,0.0486922338954936,3.921062004375031e-05,0.032618581954622305,1.4859063291572383e-05,0.00423986537515697,0.03154958764071569,0.001217629806237408,0.004997342211999101,0.0015020214248400166,6.753382966828703e-05,0.0005114656898781433,0.00048191406097952694,0.002186797812428587,0.0022662271340876394,2.4332075417188292e-05,0.000418038324955905,0.00031070235840413574,0.00023588724652867654,0.0004155588727692283,0.0004019368907235421,0.0012246331290373114,0.0019816883095484794,0.0008914554376233674,0.0009288421682778214,0.005219674317400891,0.000982315490936525,1.274858529187739e-05,5.8367596920350096e-05,0.0006699397903568993,8.56455588018612e-05,0.0023471594265145335,0.00011448495725696617,0.0008452704152297486,0.00019462133471215282,1.4870167436953352e-05,9.59545683176799e-06,1.877490269475146e-06,3.776709063796346e-05,0.00024161842678993573,0.0001716861430296479,3.474951961512929e-05,1.3197157078259636e-06,3.092918889935348e-05,1.689807628180162e-05,6.580761947860836e-05,4.605040360594614e-06,1.6320665165547865e-05,9.11541294890128e-07,7.337444070110166e-07,1.2225648049479787e-07,6.747408942686661e-08,3.36734096433311e-05,2.2354638140598126e-09,1.1721844218159916e-05,1.4723038356256879e-05,1.56101395742958e-06,4.052173668345205e-05,1.1124145067320512e-06,0.000651241401350422,0.00010527205581700727,7.966108518608905e-06,3.141046016885696e-05,0.00011246145668097896,9.383389443229362e-08,2.4408769097927774e-05,1.0745481894280928e-05,9.342411374957393e-06,3.4302763300742e-05,6.984066758741747e-05,0.0005430000978783323,0.011595018164283655,0.0120109504310153,6.015733267084045e-07,0.011947377295421724,0.0010938963901945264,0.002670656331108745,0.0101027088855421,0.0002775090944471259,0.0021397909600699982,0.004111421113420555,0.0011129561901825902,8.424457336175806e-06,0.002128783169256465,5.526649701992348e-05,0.0010779337987090187,0.0006448109624797027,0.00046481974614698274,0.003290111191288858,0.0005168385770213391,1.2113857950080131e-05,9.50370467744932e-06,0.0006658896159139616,0.0001341748337142512,0.0010861949798832704,1.0513984722182457e-05,0.00016015721735240795,0.00043323366098224625,8.718161592713436e-05,0.0028653010619525965,0.0022849197118923747,0.0004691056884320588,0.0001158853877707422,0.00034148266181688314,0.00021385158354991773,0.00010357205400923775,0.0007042232300662477,0.0011510230511919683,0.0002641846304747286,0.002094398418193588,0.0002676861213912751,0.0008178409535046782,0.0006803938535249188,1.6471140007467966e-09,2.5291759333523345e-05,0.0007557165782587916,0.0011691029179941026,1.5289289096998004e-06,0.00067328463511096,5.2957604823156146e-05,4.560176856571729e-06,0.00011002300793894193,6.305247574323047e-05,0.0001153213290683297,0.0001285541731201878,6.654100498360016e-05,1.7837379653551366e-05,2.0931706087967683e-05,3.399950414761932e-05,1.7067608088172648e-05,1.5199828233836143e-06,7.051127533141965e-05,7.940624038971222e-05,0.00012406356688421383,9.846501516364015e-07,3.357122052349837e-06,2.915875496611875e-08,4.346059647541978e-05,6.522772678874134e-06,5.416576363215242e-05,3.5105961190939894e-05,4.184579467270133e-05,6.391342552536372e-06,2.2765335921715035e-05,7.626368458701904e-05,5.397726033384842e-05,8.767500947470808e-09,2.7232246258002135e-06,6.061924813227648e-06,5.321325110330122e-06,2.3759333034334418e-07,1.4932299396974713e-08,3.1591297076083436e-06,7.665783074983779e-08,6.893146253794669e-07,9.406529234645689e-06,1.853050359823527e-07,4.180644990192661e-07,7.280451401747712e-07,2.0104939779663766e-07,3.182048042393859e-06,1.9075958617165156e-06,2.0094162476169686e-06,1.72464713621423e-08,1.0637942304825287e-07,5.959823878853854e-08,3.9034908638768684e-10,9.600408557020046e-07,2.005888788403354e-09,1.3193926795551647e-07,4.152875267227074e-06,3.17059014598442e-08,2.90991025941878e-07,9.182922218187173e-07,5.688544337800749e-07,6.713132185698356e-07,3.2592219656457644e-07,3.5031048104539053e-06,3.1269430273983545e-06,3.0960291632631254e-06,3.110000063255569e-06,3.118673337354494e-07,1.6847298605071614e-06,1.5400763220263514e-06,5.58601431777106e-09,6.57419172434004e-08,4.0176426296945067e-07,3.0905046166651573e-07,1.856570007907621e-05,2.501149054756624e-05,3.028634170121336e-07,1.0059086763547498e-06,2.8032323911020285e-06,2.342782889019901e-06,1.0558462616661046e-05,1.147009703128532e-05,2.9957681719983142e-05,3.723605116023876e-06,5.074635222701573e-06,2.6687351135645798e-05,2.140648458492933e-08,4.265856086149711e-07,1.4555632181334488e-05,1.3959681410824487e-08,8.938625395416011e-09,2.090878137295249e-08,1.031183344446518e-05,3.377239239377161e-07,1.2547611971669426e-07,1.827890088179629e-07,1.677259740651138e-06,8.680612619826888e-07,6.549418809509433e-07,4.3320247167244474e-07,3.6836653993788104e-07,9.092862508719435e-06,1.0620734514077412e-08,1.4541965918546396e-05,5.0245507106083664e-06,1.8106972863307647e-06,6.888196288912241e-07,6.460050836487596e-07,1.0164389099287519e-06,1.7792136390859525e-06,4.009470778720825e-06,2.8559794529314786e-09,2.4358268384538917e-06,3.358952601395515e-06,5.586949578972877e-06,5.723331614415628e-06
4N1P-1,N1,0.0,0.0,0.0,0.0,0.0017308900668613347,0.00010561719465229658,0.01038372053785519,0.28621223938987583,0.0010013392775740648,0.0067841122382741315,0.045753189727420596,0.004737084135126413,0.012224477762176278,0.0004778893602699341,0.12780712952822038,0.0714262797228904,0.18510384670277125,0.12188899552932009,0.009684726845604175,0.0650189033865729,0.12187588137205996,0.1980005039099435,0.004577348402034609,0.029929259968684008,0.06712030715886064,0.05980905177902773,0.0026318204997886063,0.010420304464892949,0.028921530169840004,0.0018350195461820373,0.002213574635430149,0.0004545786355769632,0.009066469953743717,0.0005731723018054247,9.865952794885224e-05,0.0011478267503362005,0.002758185005251601,0.0008431096377865543,0.0022310841595056807,1.0319459851082513e-06,6.729106562985976e-05,0.0007791410035169477,0.00024707463587736456,0.0001301430963727146,0.0015586623745957873,0.0015117853137855963,0.0027504208762536564,0.0034135177008574047,0.002791754112076994,0.0003894535286952383,0.00010009707006286561,3.666683927594505e-06,5.401266290316897e-05,0.001185333661696486,8.422910145888807e-05,0.002780053726494369,0.00014728681782250064,0.00029614476448713845,0.00032812918858926565,4.188261802884341e-05,0.0005089477420270327,3.509251204625308e-05,0.0002297942561166888,2.6187855329151688e-05,0.00019483619568649857,7.748802895135576e-05,5.102624989206106e-10,5.188501903674592e-07,0.0002617153071442502,1.8168080955227595e-06,0.0005678099507764323,2.043945942808989e-05,0.00023033319592302703,7.0145553738854005e-06,0.00015423488066268476,9.244581389289408e-08,4.162795498752203e-05,1.2208461859897213e-05,8.545992619524156e-05,9.997485047374965e-05,3.621489366167907e-07,1.657581781744355e-05,7.774480378097692e-05,0.0004725696620262454,3.607414491568761e-07,1.2839053660673727e-05,4.025214820702061e-05,9.22682976156608e-05,9.645205718777916e-05,5.78530810044775e-05,1.4212457644102727e-05,2.1977438152465112e-05,2.881144740896069e-05,9.379510338081154e-05,3.618336353206075e-05,8.290928427800992e-06,0.0006394877343760541,8.483910523437999e-05,2.7509935174308e-07,2.0804713894317928e-05,0.0006146780123184037,0.0006919155822466827,0.00031997558663610093,0.0008462039218219974,0.004169366647726713,5.75631288168843e-06,4.244312318979482e-05,0.0016323840864025385,1.444292935226521e-05,0.00030405345649775484,0.0015153952983242291,0.0013876653331559297,1.8598136379832653e-05,9.357845168178613e-05,0.00019039351823924022,0.00012172287152978356,0.00012988326068930078,2.243567734128149e-05,2.9508348211582103e-06,0.00010284726218867668,3.0939646138428145e-06,5.014194364028057e-05,4.8955451692700436e-05,0.0012887097990597063,0.0023554335875584087,3.712030064129124e-05,8.754508261432647e-06,0.00035221170837296256,8.110053541177109e-05,6.294217809177383e-07,8.93792145593153e-05,0.000195935958888116,9.915574292085338e-06,0.0001631148160425866,1.3926414115017494e-05,1.8817512481561494e-06,0.00012746145484365812,4.973442262468097e-06,4.01257124860166e-06,6.203844967300753e-05,0.0002172916301690364,2.066186761684463e-06,0.00024100102058355333,1.5978815999240226e-06,5.248693146775452e-07,1.3400622060011358e-05,1.891484062532811e-05,8.206201527150014e-05,4.563620954245451e-06,3.958908313395071e-06,2.4615958631235557e-05,3.6423322213874343e-06,7.2562882871274326e-06,1.6943815730474654e-05,1.242643341559102e-07,3.864784888119033e-06,4.606635946480253e-06,7.344102727291357e-06,2.8348665752631064e-06,4.965319266858614e-09,1.8178989469319617e-07,3.894745485233386e-06,6.756529598028749e-07,9.870133677702952e-06,3.2808889212088133e-06,1.1789846145582317e-05,3.13861645362401e-06,5.826694320587578e-06,1.753431705164843e-05,1.0465656957059366e-05,2.709251711863203e-09,8.845193955053787e-08,3.86592598777824e-06,1.0154890657254612e-06,1.0781832919803946e-06,2.0041661663583454e-08,2.9044825566870713e-07,9.200325536973253e-07,1.9551389573990718e-07,4.989675808086957e-07,5.522275836611357e-07,2.130791676435706e-07,2.2231543272965837e-09,2.2559950707545795e-07,1.3655270039159007e-06,5.845381069402578e-06,5.355439625098768e-07,1.4560803718310922e-07,3.882927535059366e-08,2.536109100503836e-09,7.472202767644376e-08,4.930531787294967e-06,3.4950557572521745e-06,1.2069641153189536e-07,1.5237727080119612e-07,1.7070396873819504e-07,2.8710622812511133e-07,2.7499879373671376e-06,1.9429866604525614e-09,3.0347805801689276e-07,5.894365837644244e-07,5.667242586326893e-07,2.4211943561169846e-10,3.174329592514624e-07,5.358613779371524e-07,1.3894243875434142e-06,2.1129697191923924e-07,3.4355862656987313e-06,1.2994519682507644e-07,2.058376380453808e-07,9.14961715059448e-07,2.639567278528432e-05,3.6742281759316597e-06,4.5716877429935465e-05,3.4670568416217407e-07,7.830273043296643e-07,2.274184204997809e-05,1.4351805520451677e-05,5.79344230855483e-06,1.2674861921802005e-05,4.979076100530833e-06,2.5479353240598357e-06,5.153457331985578e-06,1.206072972759209e-05,1.857126075144322e-08,6.660694786830845e-07,1.9521666520194714e-05,3.3380341672994973e-06,6.552832587658486e-08,2.950628670284061e-07,7.1885694556961255e-06,2.8547826040892232e-06,8.976272352079206e-07,1.7225351189864568e-07,5.329297003697775e-10,4.2208846395830335e-07,1.3072626743326765e-06,9.712776254389155e-07,1.4010027982180873e-07,4.242314364688582e-06,4.025090216686067e-08,9.96693515009639e-06,4.595726985634485e-06,3.7393469920488087e-07,1.6436059215862997e-06,1.01126499441051e-06,2.4343867410792086e-07,1.543947161231074e-07,4.2696538218311986e-06,1.4922162281383322e-06,1.836064116300662e-06,3.09718696245298e-06,3.485273259773436e-06,3.5458859537484955e-06
