 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
N1,0.0,1.9016006747648282,1.9748435158776427,2.9539782815276094,0.08511661485320843,0.20842322814724754,0.029733778948284995,0.003213437999703972,0.03021177031438166,0.005322508916579802,0.0059013289318080725,0.0003242670420169347,0.001354063509840353,0.2105033526414839,0.0546367656124795,0.03307851494584298,0.0024590685286194347,0.006906526714583389,0.00032181468069925057,0.0014822631665087488,3.6668927806182694e-05,0.00028262751917451645,8.640827012944274e-05,2.110059567306255e-05,1.627609448294487e-05,4.583901028087922e-06,4.417061425510127e-07,7.181017250390553e-06,1.0383771338273728e-05,1.0797162108833191e-06,3.6918871584301627e-06,1.3324949483806137e-06,0.0004091245266867882,0.0001286830641392539,5.656345952681496e-05,1.1690258324148495e-05
H2,0.0,0.0,0.02728717962336802,0.10966138998415409,0.0094976790290775,0.030745276165875857,0.0016101194693369791,0.0002840815599576274,0.004134918425182987,0.0004704315262096248,0.0013386246993569717,5.42388593718357e-05,0.0002994237094922081,0.005981051067986409,0.0031017808514849365,0.0004903525690183042,4.7485374999212127e-05,0.00017150227574114218,4.336383962355583e-06,1.3422991107070459e-05,1.2091048628981582e-07,3.3423256065034934e-06,2.7488872091918637e-06,1.0455613346227466e-06,6.786335958741674e-07,1.4535832337791987e-07,2.4089041650299237e-08,9.128436229133285e-08,2.4577252588642295e-07,1.868869436982834e-08,2.3690848438562284e-07,7.8198878483704e-09,3.0899065816103466e-05,1.7097279332300985e-05,7.577861711793865e-06,1.4691823795320857e-06
H3,0.0,0.0,0.0,0.10832401598264452,0.03377440016520383,0.00576277733118824,0.00032104087733220155,0.0018226473400038135,0.0009396413751771027,0.0007560475106536124,0.00021214284076431777,3.700957426278073e-05,1.3964452570069952e-05,0.02572841690992156,0.06831731582308453,0.004447793394489419,0.0003371665367597476,0.0005773662558253845,5.918431032414517e-05,0.0001077477732462917,2.092406864306895e-05,1.291197413566536e-05,5.6886709255410395e-06,2.0195908938536178e-06,1.721711053059849e-06,3.945100286451009e-07,3.528905727634424e-07,3.5077362658952893e-07,1.3009666977037426e-06,7.156659687090894e-08,1.1914304605120662e-06,6.742516012181454e-08,3.0430699292427477e-05,6.5108425701954076e-06,1.882881176307194e-06,5.575276220692871e-07
C4,0.0,0.0,0.0,0.0,1.8899950546692486,2.7531049571085546,0.09031485811422602,0.07591189240344165,0.1583987771779531,0.03923437174232948,0.026187191762931106,0.0021800134120536496,0.004360434892422438,2.4729296879442413,0.2841628313784992,0.22345534713391096,0.01567177700801492,0.03524789088334673,0.003478014384924344,0.004449489197334705,0.00013728713672400694,0.0014098897314691605,0.00029719021004923074,0.00012619133007318872,4.780798290288102e-05,8.386863348697204e-06,1.2671063214231282e-06,1.8944386264818647e-05,5.983951549171085e-05,5.573090558597116e-06,3.0773798515459916e-05,5.773478441106761e-06,0.0031232605156437387,0.0013468646330195982,0.0006582472992702759,0.000123406145243532
H5,0.0,0.0,0.0,0.0,0.0,0.08001058176854803,0.002475693495550324,0.032315431591780186,0.01583329931423938,0.022399877948538927,0.002516460863609349,0.00046561121869093114,7.081859052093797e-05,0.09543844797363144,0.024774661946460275,0.009939002927510487,0.004424256790900083,0.001576434489928058,5.230769952024872e-05,4.128663372249264e-05,2.4735588179947143e-06,8.540249738064887e-06,2.2402525009512786e-05,1.9854206541713992e-05,3.288067597417843e-06,2.1229484503670903e-07,1.8157565961907096e-07,7.990993506901134e-07,5.792066652965389e-06,1.5430600575072617e-07,5.747008885670368e-06,2.3278055083508775e-07,0.00044932748992509985,4.8638623649788215e-05,8.244016470415616e-05,2.3243681665174876e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6426737288290965,1.867491244724362,2.5386014923025004,0.28204059594738273,0.2260090821329619,0.014941335749716567,0.04267518917032831,0.19038123010686253,0.03970418959315053,0.02783989973657164,0.0015936451219077385,0.002881144476730574,0.00040411960963915305,0.0003918659774218014,2.0857652663019977e-05,4.614558401638824e-05,8.057683925996595e-05,3.633298770022719e-05,1.0634087438385342e-05,2.1240604139993735e-06,1.579491155645485e-07,5.212583637170809e-06,1.1188555389909927e-05,7.543445268431981e-07,8.525210566823205e-06,6.528647626957707e-07,0.002140998367577779,0.004881140229579292,0.0006430959883098608,9.658065387252446e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02615217720680363,0.1131445732052283,0.03150017563718788,0.01418860785443854,0.0010191671046315687,0.0007527685106061277,0.027005668827505325,0.0043109637774016996,0.00517439763966987,0.0003980364027791339,0.0006737051053646859,9.181822133697004e-05,6.476909227848271e-05,3.4374340327492092e-06,1.3162838980118607e-05,1.820501281923903e-05,6.5067213472769225e-06,1.8493702955701963e-06,5.864504581953867e-07,4.588117730186525e-08,1.5066766507754181e-06,1.9339614463209642e-06,2.479026417478991e-07,1.2965911500018024e-07,1.3232233975202234e-08,0.000551653450885814,0.0007757278897010389,0.00020930399688390278,3.8540383990426363e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1032117987662784,0.02935777711874077,0.012262660766556022,0.004315081006381893,0.00032611915523905743,0.016642427200860066,0.005183260129328904,0.001299304388066691,3.663469890713422e-05,0.0001532172801221865,1.5075614591797404e-05,4.174801816780871e-05,6.4187081161293236e-06,8.960269671787202e-06,8.433556820897081e-06,1.4522266365002423e-06,1.9524839827145257e-06,3.8130940827052484e-07,3.105756007926175e-08,1.6966587046418624e-07,1.3687107306425972e-06,1.6969067595518084e-07,2.6126995411601683e-07,3.325974400336662e-07,0.0008705385842313618,0.0049402773715579995,0.00035213021226820906,1.1490795829294242e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.914944634621369,3.710686600983276,0.13679059050922537,0.14529137140558623,0.01021360437522062,0.004554348325983684,0.019841759937106407,0.032409388800731964,0.0021713706609925165,0.0005807799721118112,0.00025612862776661083,9.924977080011388e-05,1.572554895235001e-05,3.312578567385427e-05,1.9595379331383e-05,7.193426161178351e-06,1.0259837499582147e-06,3.1299846647847573e-07,1.2833613560747636e-06,1.3902129323978274e-05,1.3644833389836464e-06,1.7623792416543438e-06,6.447787586072451e-07,0.002420104714895316,0.013281166162710245,0.0009440079167014337,7.348258746564529e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5452704399707308,0.033699736790801516,0.02965574990107278,0.0072608989335129215,0.0022142394703839885,0.062434380871861,0.17493924202000388,0.005855245567810849,0.0014828032276616998,0.0004805574618442915,0.00044644929393389265,2.7149663808456737e-05,5.550426802981845e-05,2.391734641049581e-05,1.3119876156597599e-05,9.559597955455246e-07,6.272122510253553e-07,6.454194694249793e-07,2.5936984178562272e-05,2.9866072637219077e-06,1.7392122562132073e-06,2.6727901192291625e-06,0.0005345768419171837,0.0021977715875140386,0.00020493919352269907,4.4271704424114766e-05
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9106548120773676,1.715203056185792,0.002444489111750242,0.0008748920367173119,0.004319515266833843,0.008556505097656042,0.0005028294288461355,0.00010828439808996393,6.028887717633713e-05,3.1871217611501024e-05,3.2038331418959842e-06,5.547340770656328e-06,1.7217486856235809e-06,1.8476132152556168e-06,2.4134641285478153e-07,3.7322775758852345e-08,7.383478028977208e-08,2.6829145614720717e-06,1.0546238082831394e-07,4.0480176699553283e-07,1.6903868438333802e-07,0.000268986252342035,0.0010886452291221926,8.728943880290108e-05,5.734828603776165e-06
