 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,O24,N25,H26,H27,C28,O29,O30,H31
N1,0.0,1.873871382313133,1.9229618870294636,2.8920673504467396,0.08533533983448394,0.20691071484247056,0.031194576965325793,0.0029775406664760418,0.030169243747173863,0.005383827829620158,0.006044528805601301,0.00032294300448465485,0.0013138910895006406,0.22476070330632955,0.05247657438130046,0.03434941288305611,0.002518186993216487,0.00735211625023581,0.0003565389860487045,0.0017281022498814164,0.0003059693916582784,5.096146541505586e-05,9.922433016149035e-05,4.8110047017269064e-05,3.353863117816491e-05,2.3379583451443864e-06,1.2602332877253986e-06,0.0003574424528561271,0.00016241006959419324,6.812222157033532e-05,1.4312152089801522e-05
H2,0.0,0.0,0.02711520185619687,0.11120239801114407,0.00898705745923234,0.03173876825689781,0.0017583422992708542,0.00024144046637664118,0.004236452289513193,0.00048045703219268265,0.0013598647652764972,5.61967807657382e-05,0.00029406367576134684,0.0065060198233509725,0.004147539889026608,0.0005589049969486615,5.888303586742971e-05,0.00018757865450025335,6.225955470506861e-06,1.3527932443357926e-05,2.0905469777510177e-06,7.268472603794152e-07,2.985711678893388e-06,1.0942437458361098e-06,6.387564934762224e-07,5.268465679275636e-07,8.753817426487842e-08,3.069051154103164e-05,2.2053791735587858e-05,9.03266667540148e-06,1.6204954012000172e-06
H3,0.0,0.0,0.0,0.1051773865492115,0.034678543475500145,0.006021693402133654,0.0003883273817015809,0.0017742448397897181,0.0009281923020942884,0.0008130171771804084,0.00020965662280225672,3.955027520152754e-05,1.672285303211396e-05,0.023124786612826354,0.061871858700358384,0.004046402624926171,0.00032125239020364127,0.0005460507440707696,6.208279879249545e-05,9.653985973345769e-05,1.2056854159059327e-05,1.78018368734989e-06,4.071112968107027e-05,1.0872472651524134e-05,6.694445846000541e-06,1.3088565249397277e-06,8.830539097726131e-07,2.369388615008905e-05,9.365323239696188e-06,2.313957596089544e-06,7.530344421358137e-07
C4,0.0,0.0,0.0,0.0,2.0033631985003746,2.523312075032612,0.08998771598358957,0.07751284523020696,0.16071314079094912,0.040263533420091285,0.025958396777019,0.0022171020923632545,0.004338009518925934,2.65594133202452,0.2844338128452018,0.21757846722359184,0.015540739083337862,0.034536012817471456,0.0039144596634478335,0.004965786844442155,0.0013826056514645302,0.00014256530534062506,0.00033883958283006943,8.567005524312554e-05,0.00011655573830095245,1.474040902216256e-05,6.72560026526714e-06,0.0027077022736926026,0.0016501968497316666,0.0006039658813465493,0.00011753619593046771
H5,0.0,0.0,0.0,0.0,0.0,0.08275940106051682,0.0022375769698907977,0.03136556682842939,0.01698018691923031,0.02443102365813643,0.0026978292003357884,0.0004629712194159641,8.213030481885042e-05,0.09824003535662618,0.025804849351184433,0.00928815296301777,0.003751615570213973,0.0015718720667212693,5.127297083995508e-05,4.926139151484321e-05,1.3902624500516936e-06,8.744933645443709e-06,1.6330806902775663e-05,5.217083969610847e-06,3.5643872238200203e-06,3.686348686082752e-06,9.175676030093172e-07,0.0004370439362879619,8.049759178074822e-05,8.17855915631327e-05,2.2885221797608324e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.100776869506129,1.900645823701649,2.545249415315526,0.27289188016305116,0.2258429892477618,0.014978313122424036,0.04213845421367213,0.19395216445911148,0.04019273103395164,0.027504175641071493,0.0020441603404954822,0.002855581924308015,0.0004114515962250209,0.0004695355060067852,4.0746222938148335e-05,2.4027790054725884e-05,0.00010072625337048668,4.284301031065585e-05,4.163843518560639e-05,9.192834174553965e-06,7.458193080411846e-05,0.0027688903831346035,0.00918439593614026,0.0009387718685594376,0.0001231989862000571
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026699262219906927,0.11336481570754087,0.030801647327170056,0.013999511598716485,0.0010756376672618195,0.0008344796792791875,0.027082528219701807,0.003980247570434803,0.0053321089186498805,0.000478745134772085,0.0006788695540607126,0.00011095008572348242,6.838763627292632e-05,3.319261344003621e-06,6.329159033535703e-06,2.2120315756213316e-05,1.0810447947484647e-05,1.1494289852587158e-05,2.2899288367739246e-06,1.3473509608008527e-06,0.0006407516278399417,0.0011715977955951695,0.00025753998204580686,5.135580554860297e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10831248617883427,0.028756366297841618,0.012574133216281425,0.004251083694732927,0.000281152265076523,0.017368813076621192,0.00431136421306022,0.0012627037199721691,4.499767200183413e-05,0.00017764047181856313,1.653466037798701e-05,4.967896837204666e-05,4.360151455440331e-06,2.0940561198390384e-06,2.9771230164232776e-05,1.816539091670233e-05,9.952014620950855e-06,1.9966537689874997e-07,7.886771649312507e-06,0.0016585663064303535,0.011600893838153326,0.0006766173954450005,2.4278134483024516e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.891605902578668,3.535969466547855,0.13721622121617005,0.14606316546207143,0.010653437710356817,0.004683123977188203,0.021650281494996926,0.03698587974029677,0.0023420668948663237,0.0006503292603388111,0.00026143311917464773,1.8963800492155514e-05,6.590170781750615e-06,0.0006595873302764899,0.0002027143059153691,0.0005168814510020103,2.6252145801208826e-05,0.00021861157823710453,0.002502471163594283,0.012411663585504745,0.0009366281026770978,6.263766372827106e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5381191513043831,0.03309242246211286,0.0297772506525793,0.007545263670390073,0.002388557307075087,0.0659720466510283,0.17574339623056467,0.006292574769858228,0.0015586780308259884,0.0005317645125929721,2.9766911937234575e-05,1.2011954489854482e-05,0.0025675432712632673,0.0003798047665462545,0.0018489599293450149,0.00014438948224160253,0.0012600570613500173,0.0005378724296255244,0.001977575953372772,0.00018563045392246125,3.4355952206910345e-05
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.981895786467175,1.783263825352738,0.002650282337363641,0.0009809150141528167,0.004503179115449785,0.008865500394103054,0.0005071160589515955,0.00010534195044398231,5.605936790979704e-05,4.889689183218415e-06,5.064894559314581e-07,0.00018403127592830915,3.340287118279439e-05,0.0001279822877794795,7.253638387272332e-06,3.598064006171686e-05,0.0003641264451714754,0.0012168233108354465,0.00011804213613511583,5.846256142305606e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03631274314520927,0.00021233163234246621,6.985147454918739e-05,0.0006262812516310001,0.0003281035041962088,7.66741672737492e-05,3.429716902347835e-05,5.348595025433944e-06,1.4500794831562303e-07,9.284007251864068e-08,5.035722648982777e-06,2.095838997240307e-06,9.155039347508165e-06,2.2009348548124308e-06,1.0214363335148136e-06,3.448745487211191e-05,0.0001706827801035704,9.289323619987577e-06,2.396404072957381e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031678975543802945,0.00012675762136249435,0.0001337852670360018,2.1145167796721154e-05,2.1264381709462654e-05,1.4518216059800082e-05,5.418280931146491e-06,4.537590068132147e-07,5.562299443262475e-08,2.125322746149294e-05,4.165959105772998e-05,6.552684049476731e-06,1.4608477605371206e-07,9.809982122632732e-06,2.5762704918275148e-05,9.062961966943561e-05,7.022158709624193e-06,2.423769163151235e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.144370030813184,3.314716113880525,0.13663568397605907,0.272632673818728,0.020433358432125903,0.033849851469482856,0.0037549423770635304,0.0009165889374080916,0.0026747862036239356,0.0010158832618356872,0.0006815997106880411,0.00031142167821440747,2.77053156683138e-05,0.04360003565432474,0.01930480157349941,0.008173234975151045,0.0012842807613734353
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.513425724292804,0.023119166855528728,0.07285786100167513,0.038865769058572974,0.007796441609407109,0.0010032363701604208,0.0005673660476519515,0.0032148784322610646,0.000748535509519449,0.0006830969333055797,0.0003764069927403302,4.843900652495847e-05,0.015544607015900824,0.00453306279058574,0.002811793583513661,0.0008249322920496072
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8433199513333829,2.785601722072181,0.1019100275703092,0.18034628904528766,0.02514941851172936,0.00891117190983759,0.018802761828772607,0.0043850743005687115,0.00616024959376843,0.0023581405033926695,0.00023854292035330182,0.19288398932279502,0.0327528529160272,0.029005217993271853,0.0052227168919747324
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09972286622321558,0.027484716132342157,0.008319328633020318,0.0005411933424448456,0.00016667134486758606,0.010064256112837233,0.0006104606274748292,0.009482183499095465,0.0004372304202240329,5.32436970339667e-05,0.0053038995207824735,0.004059907376956495,0.0008329477663220342,0.00014240738387805152
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.970017733337947,2.560162408580645,0.09716312414274197,0.09071575085238504,0.18040395078992302,0.03987994750804488,0.029540386157162077,0.0010119450760700532,0.002958475130066085,2.6439184493589587,0.26950807401772203,0.21599596180400404,0.05468164279674337
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09070753233065743,0.004950707510839258,0.005466661861225575,0.02619550014731442,0.004829815817624095,0.002629732033003984,7.09959055142928e-05,0.0008390811668663734,0.11107757166263643,0.030865917333028015,0.01079900199056405,0.000350583120307002
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8547887011032158,2.004079437141294,2.7449229091648584,0.3012915841436826,0.2293261698251733,0.016667555716407767,0.043709094246853986,0.17395431511513182,0.0395296598373321,0.03017523422829968,0.0023677995438347033
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027543524822760235,0.10596218335964647,0.020088871847102396,0.02411030674119108,0.0008431617607802533,0.0006077556281747221,0.008159632658464089,0.0015465556329379293,0.015183177253372704,0.000364309086973158
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09185393911546624,0.024116733227920406,0.01123023788714228,0.00848657341183845,0.001500005665953763,0.028245071376104214,0.004404132489900792,0.0035531395084144046,0.00041730024623376494
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.890026741409086,3.5772192020368925,0.138452083019448,0.14658249961567793,0.028660607152193457,0.005066917112139621,0.003225157865687972,0.0005552688579110177
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701223612513866,0.03373107521284846,0.029600605630757393,0.05392316301227948,0.008792876927487231,0.006269320191396449,0.0009285369619435047
N25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9501697402245795,1.9137443242547096,0.00808381208399614,0.001871872782358383,0.0010962429237481447,0.000158403773729332
