,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24O,25N,26H,27H,28C,29O,30O,31H
1N,0.0,1.0200922663153809,1.0222554911143489,1.461968208779714,2.0907983762292965,2.4519431049855065,2.491277205904758,2.8687352668200674,3.8022634411974012,4.246177412751367,4.8615632131674165,4.966693782549456,5.764564904131797,2.4962073877323903,2.7771715158941985,3.713902484196663,3.9360864245923226,4.925039848092429,4.989454055123792,6.163854453122281,7.032251934654452,6.2017740333539075,6.609140512850265,7.083533842441365,6.842657161078243,6.510193013179127,7.221772145252222,5.388368726736228,5.036101267220718,6.5997746371567905,7.0167509939867925
2H,0.0,0.0,1.6103064604698982,2.0302725914346795,2.299902105232561,3.3284396889552625,3.4126646899291684,3.807408611040499,4.532465093181965,4.75526961865972,5.695619087462739,5.895247942596961,6.545012689825677,2.7770186448777636,2.959034865601115,3.925182580873405,4.232623214082169,5.134088830848931,5.073647132961231,6.2674309028419755,7.147567509455236,6.12938699265773,6.835216345235418,7.460766906112471,6.965263081264451,6.4959195560489995,7.417355137400905,5.8410690540401555,5.6735222370246765,7.004266810255547,7.527484956145772
3H,0.0,0.0,0.0,2.014530736575966,2.902888026275198,2.7935134267021016,2.938635555440768,2.8119876572423763,4.251714033114726,4.818981046948729,5.208703370292117,5.15880798095841,6.137521694109576,2.5231406583824945,2.3636540093154546,3.876283227139328,4.288941568301238,4.867228944812118,4.7807274942949265,6.246859561818272,7.00227690128107,6.3636073824699855,6.836978710818296,7.24342340215527,7.251909114099989,6.982084440402746,7.700060855129084,5.175058587117066,4.8253506425123955,6.282864382074005,6.647924415221573
4C,0.0,0.0,0.0,0.0,1.0953981253885259,1.5463173659777836,2.1423983572476177,2.184336742827938,2.5853042324955475,2.877774800899664,3.809072593452901,4.110139770836407,4.608111981135103,1.545751147734509,2.4219245265283984,2.4681353937822865,2.5164129556078003,3.789061716980719,4.106721998584163,4.93395079256738,5.856756505433797,5.06319696894379,5.217017501341395,5.668610252140873,5.452051948058715,5.2055749337704835,5.799027697888033,4.2736610421787695,3.9370693911671846,5.567836453558741,6.013892017377723
5H,0.0,0.0,0.0,0.0,0.0,2.148318173615808,2.585043135804723,3.049767686544501,2.662382584695708,2.5458736880039727,3.977407774574884,4.496465545644729,4.647867858661582,2.1721134013013508,3.208407288460882,2.6375901404655835,2.413754143237822,4.080880146563079,4.500821756878148,4.940774887559994,5.962005923911022,4.914340200259287,5.074016717012762,5.657001043185863,5.031036883671266,4.662317702821842,5.31441312131062,4.795327496528234,4.565702741064606,6.101129821651416,6.62224397728464
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0970475781965896,1.0978743452219435,1.5272823887803886,2.4366703821224536,2.4383278151335612,2.5930326980520584,3.358068688600478,2.525310210966822,3.3485369700308283,3.127980667641907,2.8706467386445564,4.2540146796478515,4.796111686695439,5.396481413512568,6.258644491016157,5.786634720501204,5.354878181654831,5.483539173683335,5.693565380585226,5.695779403974745,5.836223199163644,4.230687635220605,3.4924376395733834,5.547231567992682,5.764870146111386
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7671537052196633,2.1457849631683246,3.101198022845913,2.716983347229898,2.7202181132391057,3.693553324999137,3.432602702300007,4.147526934385299,4.157212193457924,3.864696362871168,5.335694588609552,5.832719329892366,6.464900965174593,7.347119734032073,6.804015065220053,6.3742333196995595,6.489019938929563,6.607562294250812,6.567885914051766,6.66748486983941,5.304757449638211,4.502427956091569,6.605714740706379,6.772198517681975
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1506497135781353,3.165347751423366,2.6809319321826997,2.490359056361853,3.5954446899093444,2.642684328234673,3.150256791378982,3.323991971461297,3.2808918235605242,4.151625363217097,4.609483566613388,5.449549886872012,6.170269102312215,5.980369999065532,5.518757663888607,5.497339317702287,6.097996245175669,6.206994012099762,6.30007639973183,3.797844567956476,2.910889205517602,5.02017381987522,5.1098396396744
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2328905253266635,1.3622137103654852,2.068964457222755,2.0328248093403265,3.2528622394696782,4.300564341327006,3.2023905907414383,2.512154807466611,4.221100029599721,5.045000393609839,5.015875664482558,5.901519887395549,5.492709636585591,4.556068241105687,4.549120767054725,4.766734949096902,4.932720084624862,4.698107734594813,4.138521045948159,3.3957508686382134,5.441627343715283,5.631470592103518
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263315209517859,3.1607395786009,2.4769530974927987,3.3377464327102415,4.524971296579341,2.876904243383992,1.9352517362904238,3.928094364180622,4.840669415924264,4.390817801636513,5.361045251934172,4.742035144446396,3.7741850089778577,3.9633322033405376,3.7195258962730158,3.8261401267509343,3.610611541970601,4.176777561881939,3.740348879874598,5.451249196071626,5.793277966053841
