 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,S24,H25,C26,O27,O28,H29
N1,0.0,2.022713223209818,2.0103003137378894,3.0632047550710846,0.08442727778455583,0.20461903531308978,0.01605483507100547,0.009229993008106785,0.03518856707291336,0.0027064399545789763,0.0005124753489055278,0.0024629595972054663,0.0022834949860151346,0.0011639515167740366,0.2173942886306428,0.05633162272230885,0.03462001098802729,0.0024424946881055343,0.007392700850133063,0.0002566677856653543,0.0013450749483299163,0.00026764110766075433,4.2097507237270904e-05,0.0001370746553069277,5.4876415024773806e-05,0.0005211267225102845,9.963362763279471e-05,9.661472284182293e-05,2.5415285148433497e-05
H2,0.0,0.0,0.026195338945401048,0.10625460371939055,0.008523466201286078,0.032038935707508376,0.0007002439211878375,0.0010109149641543969,0.004507812110662646,0.0008106922026056562,5.8134090902939306e-05,0.0001650376412507537,0.00015444935201380794,0.0001364869287845405,0.007760317771011382,0.005723597680235004,0.0006185696601994639,4.3842757416756584e-05,0.00017603703213675548,5.595644455791415e-06,9.126803312553555e-06,1.1581690595452443e-06,1.1693860817452162e-06,4.075417320059671e-06,1.8048804901749094e-06,3.3414643749618556e-05,2.090969872092785e-05,9.343381649706828e-06,1.9439247249675162e-06
H3,0.0,0.0,0.0,0.10430576797505486,0.034356489008330104,0.008099211912507953,0.00019219260192127052,0.004769685927049183,0.0006450463802463169,7.185578287849381e-05,3.06172517132719e-05,0.0006662124553096227,0.00043162298987753367,0.0001428852329991015,0.024783611102216607,0.06829301350156114,0.004009972550182317,0.0004396615614659094,0.0005380757996163998,4.8648463956579846e-05,9.573397902928882e-05,1.7012615376010842e-05,2.944124323889241e-06,3.97802422857918e-05,3.0446506606995882e-06,4.294255177639261e-05,1.3712272332822018e-05,2.0787872340166658e-06,4.2778571351931305e-07
C4,0.0,0.0,0.0,0.0,1.9994737241359368,2.731519113282214,0.09518032842876267,0.08449691516937996,0.14590323327303154,0.02873302825688895,0.00501321339206795,0.016282496154108705,0.021175257980789647,0.0043041926764311456,2.6435085830692575,0.27328133418042055,0.23348015372234315,0.01609399131069067,0.03718690352990542,0.0029282617278678646,0.0040589177484433026,0.001259893384619959,0.0001484859185936216,0.0005362289944343956,0.00025721808772605215,0.004122249167187425,0.0007447021281529881,0.0008366025511389874,0.00013889092849750373
H5,0.0,0.0,0.0,0.0,0.0,0.08377667601723204,0.0060985584927493175,0.03510037327740778,0.005370895926605002,0.00033727365558777755,1.8684033561422453e-05,0.009140080598094125,0.021963577632083786,0.0010431691734095194,0.09717559347219429,0.024386480755657414,0.01272498109532405,0.005587103059028431,0.0016535203333956083,5.223078533989067e-05,6.515901417514236e-05,9.895327659492636e-06,1.4093772624956813e-05,0.00018197808675690652,9.056693257525339e-05,0.0006529462162536692,4.4669540658404117e-05,0.00011545866277773431,2.7861884164925854e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9210830422290663,2.0185207158430236,2.860984332014218,0.10333698834883687,0.08499719913930415,0.1573021426240163,0.026807420958304892,0.03927754984163051,0.17130935778600087,0.033452592097880804,0.027510085789500538,0.0008656473175582269,0.0029840042635200237,0.000598758121145071,0.0002883402369312782,3.372002883272884e-05,3.993177437133788e-05,0.0002746375344766655,0.00015503020473994766,0.0014488733920454966,0.0007857446473075874,0.000283237678641135,5.961044414415362e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02189605542086892,0.0825567412025241,0.00633653236609466,0.0336597049394427,0.006428834894605107,0.0007921891252669067,0.004060029207580418,0.029946154804500136,0.005055938474591404,0.003498570216889707,5.278237107564365e-05,0.0005113345518814594,0.00010160158720906587,3.7490771162884684e-05,1.1431152389551613e-05,7.1153455918349096e-06,5.3989892934591666e-05,2.4876298869269675e-05,0.000295999252583945,0.00018950852795862616,5.5197264111073174e-05,5.763083825049975e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08399680192290537,0.004426120025564417,0.005826573386477962,0.029261651664902244,0.003092579038811216,0.005028641238835174,0.007904259347598863,0.0024372078382270956,0.0008200821492267973,3.424974144095039e-05,0.000143579481045375,7.98797500101145e-06,1.654811280316082e-05,3.92412029648348e-06,1.18339344346019e-06,1.0684712829833742e-05,1.786103005008144e-05,3.826186908861828e-05,8.416235710195785e-05,1.204714295144349e-05,9.307806214664538e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0051693129962596,1.8126014849986942,2.654139910551468,0.25326985966742976,0.30164992982841105,0.013416897596772503,0.0033657051964365303,0.01879136806503115,0.010126310366864733,0.0015086020735788352,0.0006316309667248055,0.0002134895639868406,2.214052169358105e-05,3.5313976122441915e-05,0.0017347911683476824,0.0019468173556485002,0.0022215160715023663,0.009767434481790294,0.0009226801657490347,0.00018266157463497912
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02554232860013461,0.08596078180159372,0.022930377693992088,0.02037529253424253,0.0018193623321995922,0.0009223656520949142,0.0011699951667636377,0.0007209163839421162,0.0001401680293406926,4.0246052273262833e-05,3.316644374806721e-05,4.5964502093376325e-07,6.822792536498312e-06,0.00019576641531315886,0.00011709555411543171,0.00010002070454784295,0.00019482544205196017,1.4595966366659496e-05,1.186527455465658e-05
