,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24S,25H,26C,27O,28O,29H
1N,0.0,1.0218589679268657,1.023485274136071,1.4723538296991143,2.0961400973435174,2.4580906618245772,2.607365561374842,2.663069155805938,3.892400108101855,4.601967524762448,4.269108060818367,4.525959678038883,4.634740587447297,5.296291642445605,2.4897575587477143,2.7844759872117204,3.667901098531175,3.9146229819560454,4.904789262012199,4.969173017512423,6.058323501440526,6.944797490653939,5.942737412463269,6.850024709817119,5.949933200984211,5.560309893110763,5.437843555014369,6.7332067510185825,7.2275321545052424
2H,0.0,0.0,1.6030042841448222,2.0297981189773235,2.301850440431601,3.331415872041564,3.483620473880077,3.6327373961728995,4.645362569371689,5.454328894718284,4.961933134129284,5.063165635592493,4.942362659058364,5.858095326109244,2.7214658327936556,2.913461424087702,3.811228792384094,4.133907505089398,4.964103235173468,4.858772395790389,6.032596746495161,6.877246646339313,5.765153878951712,7.017696536548915,6.182381226905117,5.827383266187451,5.906236658235819,6.904603651507965,7.500080128735399
3H,0.0,0.0,0.0,2.004984437440415,2.8938766529344915,2.7874353203552387,3.1362295170910484,2.5914183874315886,4.211865346463627,4.865572777966583,4.397660625243935,5.101420251254296,5.224694808334427,5.954121259839441,2.5007561769800026,2.3525529642679586,3.8311431879491487,4.287264722554585,4.883197530849501,4.842562762538434,6.205963070711713,6.996488305849837,6.220193798293013,7.099272581282046,6.3360205027187915,5.3309443999258095,5.155912372944946,6.425471486262134,6.84361497148206
4C,0.0,0.0,0.0,0.0,1.0955823956799022,1.5482961446588779,2.1293263183646602,2.157327384056305,2.6474026896615466,3.5436181714800195,2.9577008493629537,3.1998280730733177,3.2323283086167547,4.133956894046895,1.546650525244211,2.438912947717298,2.433048837559362,2.5049072207544754,3.797691058260021,4.125600860479253,4.845680205063798,5.804022016896521,4.810416666684173,5.445661271094169,4.50264989786449,4.477945708793222,4.350795164755668,5.746123714078232,6.256755962992142
5H,0.0,0.0,0.0,0.0,0.0,2.1501480594974454,2.4345489195907333,3.047464316905846,2.881926253715887,3.82758005489012,3.334635217690008,2.8580776457407766,2.684546138429727,3.7005798488968615,2.1544985476486933,3.2116562368395725,2.55612122658836,2.3048341434521626,3.974253448446792,4.356285603508888,4.713090214072713,5.739646246833582,4.47375183314739,5.223786408329595,4.159921349281781,4.913159339820059,4.930749774286998,6.163008806892834,6.76707171591831
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0970385881061928,1.101110191028652,1.5458974733777198,2.1455576127832696,2.1727295580114685,2.607508882522377,3.232026760456933,3.3653785666577583,2.573879481801827,3.3995358007995273,3.190335343646213,2.987625969257957,4.473855502361824,5.048484811289464,5.479265088085256,6.451996539359124,5.650152258030885,5.629951120725506,4.584714207766569,4.749265968542632,4.240918438336952,6.099524950163881,6.415159463768258
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7624815654100694,2.1723126833611777,2.438757539783903,3.071679340195933,2.880702658442969,3.687640764046048,3.265710868120721,3.4831462496559555,4.289753241565585,4.120532813628137,3.7925938602816274,5.472422636570697,6.0241524419863826,6.3860091536137835,7.399486823052601,6.44665843841682,6.453692590071468,5.289964309280904,5.832764077663467,5.322886465878555,7.18633898085594,7.508946920578606
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1687577407965684,2.465226900399624,2.4693265705383975,3.5385657796652676,4.17721616114475,4.27760667283381,2.8329769548949466,3.292106963799517,3.658258958819084,3.700400838548706,4.759996611024837,5.247309516232975,5.954442176718504,6.832195826907447,6.257209329852682,6.188571463157281,5.294527674348722,4.749962965199156,4.077353479389326,6.041899174199153,6.230149161239145
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0963188881504242,1.095856172995387,1.555199802983004,2.419611621387781,2.4035736435049966,3.167307741719223,4.1527458778684725,3.1481180418729697,2.6138003479027616,4.241975686360357,5.088959254290356,4.957165909025581,5.931141402920736,5.271488143737255,4.636029077760713,3.5527302819997235,4.351676205737024,3.7468698974315813,5.703065265272433,5.952235548278981
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7709281591835186,2.1561423944143745,3.2786861012655235,2.5055309431534036,4.160007202241707,5.036756339003312,4.20825397314664,3.682358565699479,5.214902679234355,6.082458880269427,5.90888334692542,6.843250657631394,6.288572477492934,5.385951746043864,4.332263468238625,5.114884731074797,4.3233245359965045,6.427934776793148,6.542077244433713
