 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,C32,H33,H34,H35,C36,H37,H38,H39,C40,O41,O42,H43
N1,0.0,2.0050449648354927,1.8909518773549445,2.874775393497699,0.09270681446498807,0.21021343269182613,0.02002598636789077,0.007671119810907734,0.03576367476702483,0.002184519786019967,0.0013438386675445058,0.004377181011461936,0.0008052238055759053,0.0001576685055143523,0.0007910897755901147,0.0007688841794049051,8.533020218862153e-05,9.16283129891865e-05,5.072478142309489e-05,1.0826199744795595e-05,1.173565340026328e-05,8.547220310850534e-06,8.438337446570188e-07,0.2809283110669718,0.056630968401636964,0.04556870431433949,0.0025721132477956044,0.0052570816542121535,0.001644163673069854,0.0004548999943432691,6.97961736607633e-05,0.00012520250538168576,1.821867766660379e-05,5.52189112967838e-06,1.894703996452307e-05,5.854279120035e-05,1.3746229640010377e-05,5.71323785647504e-06,7.154060391645345e-06,0.001593072820574054,0.0003410701242292369,0.00020650335014485433,6.304526776523822e-06
H2,0.0,0.0,0.02748839184085594,0.1053829816827746,0.005979145095061478,0.0325501213976086,0.0011701720165395724,0.0005363010873196128,0.004732466976556826,8.623621299785889e-05,0.0002871806745039507,0.0007316176010363495,0.00017377179978117496,4.138533746034234e-05,3.790096744948901e-05,2.076953876573029e-05,7.533207727949964e-06,1.1436024831112945e-05,8.77940347088213e-06,1.243343457524304e-06,1.2333634440420127e-06,1.053382460591834e-06,1.2357211676139457e-07,0.00858684230460316,0.0005079103736442825,0.00631764258960632,0.0002532973460254162,0.0003953742851605657,0.00013317911422316975,5.013915447815709e-05,5.591670927174164e-06,9.436147102803716e-06,1.448505753343099e-06,2.1532547997971108e-06,9.945394285892917e-07,1.5817045047605838e-05,5.715703832454011e-07,2.4276237950981994e-06,6.082538744456301e-06,0.00015691622570646047,5.837350811466191e-05,1.458412335586523e-05,3.577019936695791e-06
H3,0.0,0.0,0.0,0.10226354798055637,0.03641661087975945,0.010419185736218028,0.00036977603900600897,0.005172905624695856,0.0010378167492249846,0.0005792987928276983,0.0001455103685958914,0.00010098300399508098,5.5179455644704944e-06,2.250678829529562e-05,4.647378248612277e-05,1.4620263938835976e-05,8.049973389101517e-06,2.4514361800509477e-06,5.573197394692642e-07,4.770412946886182e-07,3.978654580460983e-06,6.160458492221466e-07,1.76306893528988e-08,0.012323555250356222,0.009835105270791344,0.0009741469645719869,0.00015650134682099193,0.00010442902030738388,3.5955256334485597e-06,9.640729462745412e-06,4.23252855874523e-07,2.80016152698348e-06,2.8151443376422947e-07,6.384411492810216e-07,5.270304925808489e-08,2.729380616073307e-06,5.025212921339062e-07,2.9006389290486823e-08,1.2018410948666514e-06,5.950827616929555e-05,0.00010844218361227842,9.65822594767296e-06,1.398211086911516e-06
C4,0.0,0.0,0.0,0.0,1.927231948116321,2.815473504328545,0.10111931868280055,0.08948193193202947,0.1649942378997546,0.02339730998330225,0.009058552457678948,0.017149187367879487,0.002036510612661635,0.0008524955205422291,0.0016019460988648399,0.0017633820731255412,0.000247670718135945,0.00018818872973855316,0.00010720122408258703,2.0374779249876518e-05,4.8766131786281974e-05,6.515770708326318e-05,1.982517172760545e-06,2.4255213886535443,0.254340476558797,0.2284630150460335,0.01867541132866868,0.03551703808910056,0.001471779407168583,0.0038663285175744577,0.00015010458694697526,0.001464065949769569,0.00021193177586509293,8.194320126930776e-05,2.1187512728504387e-05,0.0003256079162858999,3.094184098384467e-05,4.958137140187446e-06,8.912807227789976e-05,0.008974839483667924,0.002189528222086165,0.0013794690737238546,8.822305014299925e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07970083161906372,0.00418005773604313,0.03478635666951568,0.009032565976236584,0.0034593826554385476,0.00017823835059416204,0.0009117292107871933,6.741420375555585e-05,0.00035898148499136084,0.00011336579551346482,1.5136386637859545e-05,2.3624550485212836e-05,8.243912485217386e-06,3.7793792109219737e-06,8.235356554475715e-07,1.3316106745930867e-05,8.386348574473956e-06,1.4791323144081048e-07,0.09449575747813999,0.02155465386919364,0.011324035726528958,0.011239758314153914,0.0016297643929259475,0.00017017759397064403,6.400404551554217e-05,1.0560843491269623e-05,1.849340027459956e-05,8.139433518072892e-06,1.8374978472124326e-06,1.534820131654513e-06,3.7573787488032195e-05,1.2914451024137463e-06,1.2589679427854605e-06,1.0279706520899268e-05,0.000352026869169908,0.00020453239756446084,7.156483423054194e-05,2.2911927106905594e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.859886747334967,1.9682057348256008,2.5980043410824916,0.07390958621687194,0.08643635211410872,0.16369862471395183,0.026770780490037227,0.012255837206334386,0.011488535784953138,0.00413264066392216,0.0019070475086662153,0.0014508905911202463,0.00064745094424834,0.00011953296023770044,0.00043128877088972895,1.1932005454684536e-05,1.8063809948287712e-05,0.17278697496498074,0.0393402258060368,0.028187929622500357,0.0021525432990524562,0.005240787831076593,0.00017073616860674434,0.0009328385394315186,2.1529804027586863e-05,0.00030461950341828525,6.872847719652242e-05,8.579099630923182e-06,3.0834902096099626e-06,6.258342327362942e-05,1.3851724945723731e-05,5.309935637853869e-07,1.6309900637168084e-05,0.000814150302573563,0.0002889620656229136,0.00013906410561033422,2.0630865191550996e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026092570613255095,0.08769752361383232,0.009915355457220887,0.01518777071016042,0.00901032818897185,0.0003222336146770921,0.00032262633461921375,0.000855423914342901,2.9870718829982934e-05,0.00035421087247922145,0.0001914831097157288,2.747435289274236e-05,1.2151557384099121e-05,0.00010495160169754492,2.0415644619298234e-06,3.4796609083009855e-07,0.029962519828889533,0.00424290001651173,0.0037779533628597983,0.00012949183564670008,0.001069160098284172,9.020296392048266e-06,0.0001868006999403704,2.7983423864785806e-06,6.576059339058471e-05,1.6332196112633923e-05,1.1114753208918415e-06,1.356569377719552e-06,6.293013177560702e-06,1.6309286399174283e-06,3.2457329712798355e-08,1.1962418124955576e-06,4.4921253275820305e-05,1.8326271010726813e-05,3.7173347607888374e-06,2.742566076463504e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07576445532258846,0.010615565551762796,0.008978321210928675,0.02302305071856736,0.0017615289769059572,0.004395934622050568,0.0021227824132832307,0.0025496137925684614,0.00043127455644431656,0.00022065312463181996,4.715378465358633e-05,9.111576580345115e-06,8.913475828653539e-05,2.7695685582695972e-06,6.147641319342867e-06,0.013503081848230902,0.02084154859520615,0.0019331390486900801,0.0009625897331773103,0.00019760277782499003,1.9321877504641094e-06,5.917375264830049e-05,4.016212868940272e-07,9.559718364915426e-06,1.7749030951641487e-06,5.794684829751873e-07,1.0643396564091745e-07,1.3326924831469356e-05,2.7997821996361694e-06,1.1241268627060208e-07,5.335234699588298e-06,0.00010197603075678963,7.142294137241212e-05,2.2058309107619856e-05,1.2932524116049393e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8127426941890552,1.7658922467732507,2.917387138676528,0.08831391130592481,0.07929314708608004,0.18219048295961665,0.011851562684203065,0.030980091061259846,0.007792618874577897,0.002213586949277868,0.00022546444189253112,0.006700194442313623,6.044363853929813e-05,0.000413728274828995,0.014282768666205037,0.004090648198686306,0.0025778386290829514,0.00010425012205883544,0.0003328141617465752,6.544190999824284e-05,5.51654570427329e-05,2.8753173292317413e-06,1.6409882666476583e-05,2.770283638930948e-06,7.163987236769032e-07,4.933025492537269e-07,4.617770694492762e-06,9.228640390768206e-07,2.705323851603936e-07,1.3545814032678294e-06,9.68670193442489e-05,9.038013023741909e-05,2.1481521425503747e-05,2.642067308600282e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026445881383027947,0.08743854151695873,0.00327921215124527,0.03381557592333939,0.012266204444799755,0.0011511814596465442,0.0011385884056169804,0.00044232434855373537,0.00036025375265946735,1.6816322145452034e-05,0.0004075057336574428,2.1556878216699715e-05,6.304431884185391e-05,0.005516193626107002,0.0007639361992088922,0.0017880316986138567,7.765631354761382e-05,0.00018497751762014403,9.64719105955858e-05,2.7014437947059378e-05,6.895074928570111e-06,8.562020272218085e-06,1.9689248764720446e-06,6.24785911451653e-07,1.1688536027953944e-07,2.029242199497183e-06,4.3616414080460686e-07,1.9511878801559135e-07,3.6018940030579927e-07,7.361039266085001e-05,0.00013784741066402706,2.3642360920672623e-05,8.379125804314214e-07
