,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32C,33H,34H,35H,36C,37H,38H,39H,40C,41O,42O,43H
1N,0.0,1.0182672825128107,1.0195203722441344,1.4668953865947942,2.0790265218234687,2.4396174796772137,2.5436133062105335,2.695401585522314,3.8529725428246033,4.053083860938586,4.4136866749580355,4.927453071269022,5.883796535476891,5.093442942135868,5.067942466591104,4.347090076720117,6.32690907445894,7.372798420222548,7.38346186410415,8.305438171636785,6.761309295605761,6.312832330925687,7.7497091646566245,2.461954891616853,3.1501612381456843,3.243140004898377,3.285677183918398,4.457277928529583,4.451973160410777,5.5835644749099,5.836947376261695,6.907394814165786,7.707818811376198,7.306280932724133,6.977639819339848,5.536704322953854,6.545317457033869,5.5583837164513925,4.882112629427085,5.22988936069959,5.66561038131468,5.884966513605186,6.575296157634425
2H,0.0,0.0,1.6411928162265783,2.073321601046894,2.370635323516284,3.3476805179133207,3.48315328295791,3.64921388812331,4.641929754331156,4.653890858909843,5.214789092848799,5.759856057123254,6.684950155245977,6.02076545081553,5.776027511451815,4.977697599942731,6.9783542541305605,8.100997222886305,8.197099516798156,8.995558427346742,7.2652972672613,6.696611398214853,8.242733702543113,2.713201711114906,3.5370467180572667,3.081881119146524,2.9655654116757972,4.1764067685543145,4.040985178721204,5.162018538744077,5.539172787076872,6.469168610161064,7.212920788317017,6.999848947140731,6.4646139757758085,4.890548486989075,5.885781710581079,4.798935629853911,4.230078732794139,5.195010972521829,5.788801671428103,5.809268709559127,6.603118593703714
3H,0.0,0.0,0.0,2.055219142648184,2.936995792025014,2.6919779229065983,2.891666640046219,2.5155417036656873,4.177136298470458,4.51186129431412,4.838000011658638,4.984585923488409,6.023504032258826,5.004506779005503,4.979856201068655,4.202372286820511,6.194390942498716,7.248153893709338,7.245513748998339,8.179639460755892,6.591877235100578,6.197029372019097,7.543666685504725,2.639445651123169,2.9213584769658913,3.596195352777421,3.881127049415204,4.608312834057801,4.454194447593408,5.910307851956528,6.257514569784695,7.100818035314867,7.989255192096782,7.4235906027493535,7.06601097832246,6.004408357413005,7.063212152733695,5.916201221189691,5.495272318266429,5.197540697253251,5.70092024723199,5.6525321194655325,6.29262789622863
4C,0.0,0.0,0.0,0.0,1.0985721589506554,1.5345077974477384,2.120791299183216,2.1415954516628406,2.6021562646295315,2.624612821311619,3.29910095118329,3.752880475919541,4.630640347754894,4.158551745680844,3.896229082771735,3.2581040346330923,5.148335464864068,6.188431002024573,6.263792843111763,7.097021911290418,5.624742919450118,5.185040484005637,6.632203653294591,1.5390429367080276,2.4331956478703702,2.4658448027721867,2.580134505787963,3.845333443515397,4.188791093591855,4.923663122262682,4.939729908157364,6.306858614955125,7.090993109219695,6.5759420310291015,6.5852039036246355,5.143545327346425,6.105977552899487,5.432166876392879,4.500837398021039,4.429882221318162,4.606015337184956,5.324163021659628,5.921989842572116
5H,0.0,0.0,0.0,0.0,0.0,2.1632142786665955,2.4971006782555194,3.052980483624037,2.806708099331572,2.5431743000589484,3.2722215912553376,4.187752889543749,4.885556593007541,4.734154348159215,4.475804132548215,3.956817066449333,5.68055562393357,6.6699718294025665,6.765158969080122,7.54270266337844,6.154412046963635,5.662918093028683,7.1580121314349485,2.171483088969862,3.2850903841917436,2.5738279335954077,2.2733875595381883,4.035820396195533,4.510988041317409,4.8007606677597225,4.6830145656637585,6.288618002262321,6.936893507300412,6.647355105653286,6.675684316469681,4.829500377387808,5.682093628065115,5.254721335972927,4.024066005128946,4.807772353347876,4.910460838717808,5.851055140242712,6.487098399895133
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0934673835971216,1.0975936125704033,1.5504861674188686,2.202011197981579,2.175516124427317,2.6014765179149415,3.52291748158909,2.7857159744570423,3.178168507414117,2.8681147321258647,4.507564686938113,5.314895670756496,5.182196962508871,6.291398340936045,5.309509678708005,5.149597712059627,6.293518768855018,2.5420987974999685,2.890166353015085,3.7086898256490377,3.946266833528841,4.997242885728942,5.4162331528222625,6.135950928502593,6.006292699385532,7.457968849698337,8.272988079879829,7.558384573327428,7.797797012554435,6.544202806581374,7.476605585206129,6.8973682316744,5.925621434057878,5.204115178792348,5.1058288983596185,6.07111774367642,6.47647091217477
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.754478473385416,2.1855656736814644,2.9271310857309625,2.2947969021880263,3.303473831861114,4.1124367276255125,3.2687459513509074,4.138785938457429,3.925240495732431,5.4577152607776895,6.130646596998338,5.862098688788851,7.122675275837016,6.345914987432612,6.229840281256151,7.315808354725258,3.451788765029808,3.8908431733559077,4.5344275673015035,4.605006344406339,5.892844325678423,6.247589611244952,6.973607905528923,6.855409980510508,8.354052805096451,9.131792604079198,8.530555523676645,8.670330620932434,7.2050828035612104,8.118398515820795,7.5234264515302005,6.475699066384487,6.233738704690476,6.175519909828341,7.087578967614979,7.530083993509144
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1914031888935654,2.9485365399219505,2.9140085111601834,2.608081539446282,3.670707469996549,2.490922352185157,2.935645222187104,2.5534686697126525,4.225663928739902,5.040567700689278,4.874953837700135,6.029495057534065,5.0134210323908395,4.946712209388631,5.95748042919765,2.7249650023679255,2.6031511366879205,4.052653130616764,4.504706746539799,5.15358204130536,5.441651039123109,6.468466320941232,6.446448173431621,7.662502344620925,8.56763086855249,7.6827203410684595,7.902612663564345,6.998416152501834,7.99056598047981,7.2442256201849,6.50289147616379,5.162377456895813,5.123097769590895,5.828665382593857,6.157186996521079
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098462380957335,1.0954576868501504,1.5352773621819618,2.162320824553054,2.1717267811336933,2.4838292624317755,2.630822902960601,3.686192044767323,4.302215588161156,4.1775435186516345,5.23628706580622,4.647877501853238,4.617894157971431,5.5880856385770175,3.172148312021613,3.451627262945075,4.118999388585998,4.3408382189574155,5.320500220898791,5.989627799415265,6.2689069012513645,5.879318347127554,7.553163753484894,8.293930378823179,7.510331388470108,8.080126751846494,6.866189485474756,7.68007370920597,7.423218498181182,6.284177591981429,5.281014014870846,4.828238562589442,6.304850888976408,6.560201677802287
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7504679803922576,2.1495712612936915,2.513519097518182,3.063654166520566,2.6610994826088863,2.7093820625631104,3.7081102576553553,4.451067151574927,4.5444227966291555,5.282525805122973,4.454843881039585,4.252732894258074,5.399578682376214,2.909103989511748,3.396195398357865,3.537034832045218,3.672802586701204,4.700530304357617,5.504701704863944,5.454855347368152,4.950195720833801,6.753594642739111,7.4181448617778125,6.72335024832643,7.3763495795803635,6.0753201956249905,6.811268339623377,6.741296003372846,5.512463486818078,4.7195173522051075,4.194781553810478,5.878973527921254,6.168200884658706
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1253765166725715,2.36536843444796,2.5317698000497817,3.385529833388401,3.685218739819667,4.4768905145320605,4.8455260267112745,4.561317204399428,5.751025869651333,5.541759850427158,5.587261344722958,6.431965632732312,4.1369565295472475,4.51763427612411,5.005614344261238,5.067981409921985,6.2770414912183385,6.961706714241946,7.117356132764822,6.65855587886947,8.45519189418375,9.131087515709362,8.448171907171186,9.023001383118405,7.599439570698776,8.355425709476965,8.19785549220297,6.917232066849431,6.318774575861714,5.8276860841403755,7.379771767452292,7.638253245069212
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0951663117559711,1.0988300446151706,1.4713137305574144,2.147774001842199,2.483441622410187,2.8776686250283388,2.665284135134077,3.854368143507015,3.6783938682964217,3.9613170277903773,4.51449795556286,3.8845592945615386,3.670739701399563,4.904164416593214,5.361273555731603,5.836768214426921,6.502674780673205,6.8812326472268746,6.478723435426592,7.968656529216195,8.773779992329358,7.720929775317918,8.490667466096033,7.737027081348768,8.557546850398081,8.280367260217725,7.321506627466821,5.3862715581249345,4.749795041942782,6.256875291594653,6.28687943134148
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7751646152666696,2.085407990089775,2.964838893285963,2.6065907757746865,2.575056292926365,2.3024404600047808,3.434207021387846,3.8516054701939058,4.253113716798877,4.554582512961054,4.749848318862687,4.60405140092692,5.615856853621718,6.002094657085927,6.503074731358538,7.271911276882428,7.388990160365129,6.845049316693912,8.442551242640334,9.172164421030184,8.130243030139304,9.06562189482441,8.288066849408299,9.019537483739438,8.931650986829917,7.873142418473009,5.981781034242417,5.170758225228376,6.914897334346884,6.866312085635116
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1180688611849545,2.70475238570278,3.0269553743776063,3.2007799477282393,2.696247329931837,4.195283295400456,4.272995328005603,4.675543207694455,5.034521787312105,4.450248755594427,4.101979129588162,5.620392829889741,6.107354375649448,6.568457646054992,7.111849631079059,7.733227043998616,7.422471785909881,8.8104937921209,9.667416489328314,8.570719940905343,9.246461763525476,8.548299681254145,9.424782320991891,9.003189507997533,8.114896562064141,6.1161557634540475,5.584135297897486,6.847015767174595,6.8563476567954424
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.028573017213373,1.33075172543705,2.3260166064727072,2.5849242153723235,3.237562425899785,2.3130433009157496,2.5681747588842105,3.222256964006332,3.4395319000650177,2.8834356131416086,4.364915956202592,5.04047204985242,4.981234390510211,5.62758366843947,6.092837123529172,5.7662949942614095,6.987426739893348,7.854596241575627,6.617577527585171,7.467086049553911,7.1523116965527676,7.98618045200387,7.64842926226686,6.935643703734632,4.24122612187408,3.566096428142326,4.989863796184539,4.9093517462758305
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0266065596650558,3.2323298539261733,3.5581054295569134,4.072433188543776,2.508411272694873,2.4076559392682926,3.4913487282862348,2.5597297568841433,1.8664256935695904,3.5304057330523264,4.300443650855294,4.1081791242028105,4.66838407437784,5.345638919968681,5.165843582292969,6.250820341212047,7.173721842858455,5.95640672084102,6.640752257352803,6.375043710269335,7.270140431666556,6.782896226120398,6.197344084800957,3.443547759721055,3.0022700235398823,4.158186017325764,4.2043135276243575
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3490972992830028,2.058921805679623,2.059525809534143,1.340768546589495,2.056270865499278,2.0434668751817986,4.479570996272629,3.7969246766149656,5.210511067868474,5.941232678590282,5.53757858522076,6.219855625802977,6.530152345554322,6.139233692481267,7.193989896140193,8.032413666457769,6.633775557027989,7.716414750550645,7.767176067062918,8.522900927468017,8.29915590455195,7.693437568736437,4.489795211185375,3.6077315263916083,5.101426828897243,4.773980328776067
