 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,C28,H29,H30,H31,C32,H33,H34,H35,C36,O37,O38,H39
N1,0.0,1.6765990368239374,1.811693390687338,3.1092623351676454,0.09572091562544638,0.18822158337689152,0.03137867521460702,0.00395905854020806,0.028853892402919773,0.003177563072142703,0.0062385201408491076,4.634839936867863e-05,0.0008030490615834607,1.754324640002025e-05,0.0018720074944997278,0.0001619208707663855,0.2173571887014522,0.04912972866807967,0.03388453928127487,0.0018345188122859124,0.007392672044385679,0.0005027984903069882,0.0005629699031439173,0.00014035160817793546,6.645645484448792e-05,5.143102154255008e-05,6.174108222234409e-06,8.60120007767362e-06,2.366664674902097e-06,9.996164123116102e-07,1.6582441322299246e-06,7.95844764256426e-06,1.4707831508253832e-07,1.137124232108988e-06,2.675546971975251e-06,0.0010893045405819812,8.433356424250582e-05,0.00032636180609710297,0.00011026643447942241
H2,0.0,0.0,0.02661753425231339,0.10958094462150492,0.005007977610440806,0.034732774098884533,0.002171170670630662,0.00015731657065054527,0.004511923039773658,0.0002940902723891359,0.0013070863940206623,1.0455382742913244e-05,9.35458091761987e-05,3.7495957621036524e-06,0.00030377532664438434,5.044481263061229e-05,0.015969778431742854,0.03847673252942996,0.002722334884282973,6.181207330935301e-05,0.00048346031247148424,5.235152042826208e-05,2.7089248771927643e-05,1.276974759045757e-06,9.693588837622613e-06,1.0614181109369625e-05,3.1707773695544006e-06,1.811656974992637e-06,1.0030874442179538e-07,1.0930693556954196e-06,1.6105453415349302e-08,1.655653205534513e-06,2.1702992070160576e-08,8.273692442273273e-08,1.561411886452646e-07,7.441921078854552e-05,2.42240433864227e-05,1.2513359027521709e-05,2.878545188211845e-06
H3,0.0,0.0,0.0,0.10020492250708235,0.03761407189800625,0.011388966598000483,0.00125722952612084,0.0027810192737629524,0.0011089999231452818,0.00050936393478207,0.0001733208092232763,8.33586215032156e-06,0.00017016606840369874,1.639247367180019e-05,4.7119731073297366e-05,7.877693105173833e-06,0.01018774634467523,0.012599097903515877,0.0013485502064348731,0.00011839624962384221,0.00023241712732924302,1.899002972449715e-05,5.2868020041674235e-05,7.538983790356113e-06,4.526902119383891e-06,5.967053456679139e-06,2.735636246864459e-06,1.3452480629450037e-06,1.6178456241355832e-07,1.5375652351323765e-07,5.396587599015845e-08,7.459369453233222e-07,3.690636996012131e-08,1.964175158075676e-07,2.805264445182587e-07,1.001060181349267e-05,6.33027058893898e-06,2.562620922130776e-06,1.2236709645563337e-07
C4,0.0,0.0,0.0,0.0,1.8454621157547841,2.4371565512833504,0.09448242638688331,0.07651440693200806,0.17471912251135543,0.026211127356686736,0.043262013327621945,0.00028095499925773204,0.00685437049935439,0.00012281989224915968,0.010865221484972348,0.0004780051399538854,2.417865645120105,0.28024985725895196,0.21206961654494522,0.010117753111759997,0.03553110366982179,0.0064415824657907406,0.003127305666074276,0.0008294811004214697,0.000371564972874161,0.00030588438996378975,4.5235605401483525e-05,4.0410869497325974e-05,3.5404290645857373e-06,1.305037075449711e-05,9.598160698898184e-06,4.473917668910976e-05,4.2726321569652725e-07,8.142306701097723e-06,1.4140306654919499e-05,0.003974325979883675,0.0003968448310175121,0.0011103171312074056,0.00024617026268225484
H5,0.0,0.0,0.0,0.0,0.0,0.07804315723537558,0.0023685167096543225,0.029935173121213188,0.016334118563360533,0.017526190940578834,0.00216949502335706,7.261641460121204e-05,0.0016157546338066986,6.177282913544246e-05,0.0013111149282385437,6.570746954714934e-05,0.10423255794117092,0.02827418518312952,0.011792097564066406,0.0004275294890756509,0.001270013992415553,0.00016354521709960324,0.000542262595536247,4.792453620461323e-05,4.025616626224249e-05,5.956774504789486e-05,5.03354254335342e-05,8.421839517769314e-06,6.07593700685527e-07,1.6021911142249934e-06,3.913963671386966e-06,1.4276807536739433e-05,2.335229531968963e-07,3.61390591185895e-06,6.306036737679932e-06,0.0002189733498638713,2.6663978525576226e-05,3.748996278329919e-05,7.825907604397386e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7349579119843606,2.08789182720517,2.8068492729769887,0.19397372871673857,0.2431264357394048,0.004161569414663502,0.04710616113423641,0.002338087492872898,0.044022086330502114,0.002435155917570264,0.16768302899935508,0.03847031646168578,0.025926977468410814,0.00794860125972563,0.002867502440450087,0.0004157224678444926,0.0009857648134102698,0.00013927631333876533,3.12903521904051e-05,5.802974936880423e-05,4.77755440848604e-05,1.065999856367239e-05,4.286265364861208e-07,6.543597971475634e-06,1.4173637787884275e-06,1.4965768264221802e-05,2.394640348235555e-07,4.4980463442811924e-06,3.049498498386427e-06,0.0004698717345753278,0.00034404392600684286,0.00011260429259322968,2.429125550496014e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02523375769037206,0.10714328411198548,0.013992857371485368,0.04058885582292948,0.00014287505598464811,0.004205602408486886,7.260436963218986e-05,0.0074216449541508744,0.0003658556059435991,0.02609954407543391,0.00365295666804355,0.003994442239571017,0.001237046141003395,0.0003818771698078649,0.00011262324336080987,0.00015644683880466914,1.7307970534563566e-05,9.464505077438901e-07,7.408886439685958e-06,3.856156156167856e-06,5.7430970662464276e-06,9.517571197825703e-08,3.0540866962081026e-06,8.907863364715496e-07,3.3594260142599808e-06,3.656826974562932e-08,9.087873831248316e-07,2.264910585747515e-07,0.0001347699859337581,9.483968868273518e-05,2.720307282000345e-05,8.107644626775823e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10863819072115866,0.023037181228230397,0.011094901763599285,0.001756952955961344,0.003534084626221068,0.0009165320169643998,0.0014209124147941399,0.00013281460879022156,0.013331407437575882,0.0017452383448872677,0.0033849088493542734,0.00032849767615505954,0.0002505098049270238,4.984195040114159e-05,0.00014801819684695516,1.3970613593539127e-05,1.5124976389113698e-06,8.798131722276281e-06,1.002107570213795e-05,1.7415314216284727e-06,9.767216835321335e-08,5.412364687540361e-07,4.139987319629057e-07,1.8237564022305364e-06,6.47338145309817e-08,4.892288905100628e-07,8.647752924861862e-07,9.561706687777338e-05,0.00022313284287245327,2.756011975491024e-05,4.754831612219235e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.535041251317569,3.8912925693077964,0.11733298504083889,0.5426717073585143,0.036925889111357524,0.49295774013271365,0.02922156506778295,0.009328347758523814,0.002835098715603737,0.025824808235676483,0.07154681034063248,0.0031971455911801727,0.0006450598530501894,0.00025531110329918283,5.6285333656980185e-05,1.2578485821812535e-06,9.161372662114253e-05,4.2927659648084315e-05,7.291563619432617e-05,4.54801400695537e-06,5.158699540275258e-05,4.3563503209220755e-06,8.693324901706823e-06,8.15875734749838e-07,4.0658388478220786e-07,3.458832894764896e-06,0.0009904863083669835,0.003543850396114573,0.0003681712026444989,3.507826817727988e-05
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4167200527070154,0.02615856704899011,4.410163305046112,0.11424712852638041,0.5348119977572057,0.030809967812077343,0.0022288050420910532,0.0009652607156763332,0.00285982810707118,0.003348465564676051,0.0005630767282720772,0.00010613034549544764,5.163280516065627e-05,7.216816750199584e-06,2.2347992292282015e-06,4.1151348819018496e-05,0.0001101875919626849,6.576502690708308e-05,3.2022754004046305e-07,0.00018171887837237222,3.447778715637284e-06,4.611151896802279e-06,2.0418698687407755e-07,1.6082473242029494e-07,8.58291287819668e-07,0.0001755207055423591,0.0004504032561588045,4.835601385400068e-05,1.0660907860393642e-05
