,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28C,29H,30H,31H,32C,33H,34H,35H,36C,37O,38O,39H
1N,0.0,1.020432979056287,1.0219424887243374,1.4625277055592516,2.0765469910324277,2.46078753943822,2.4543270593034787,2.897754115665521,3.777855956172471,4.297660902316382,4.967803002575025,5.391691291144511,5.552861060008473,6.39038031382462,5.932115853683324,6.907213283449004,2.4926442086373988,2.7516346143721426,3.7346613892669,4.021913664191103,4.94258189695472,4.838357176301179,5.839806742779006,6.78140884330555,5.504425079736628,6.36560135005746,5.631700840030655,7.292656254926519,7.882192908097263,6.900408273824269,8.083344600929893,7.370848725899285,7.032208821084878,7.928394728830142,8.177457835762583,5.923067941308862,5.983794049639602,7.061225912713818,7.691887011555329
2H,0.0,0.0,1.6043497512096057,2.02048596655753,2.3898951515849056,3.340249300282362,3.444079420615181,3.758658408122852,4.547973883957626,4.969604563510481,5.7093264931048,6.125143821058362,6.198959425764165,6.979628379960016,6.621731068633833,7.5823171070842825,2.5804773161221193,2.4614824232334382,3.9124472268949417,4.3948087820387025,4.963413119410908,4.744287518219417,5.672981898609396,6.58728870849821,5.158569038574444,6.282803439412695,5.602047916781375,7.379723372782364,7.99100551104083,7.12667690463484,8.127578582126082,7.126372787143902,6.654132715749661,7.736825116906494,7.904957471713053,6.1298746286005255,6.3820173849906725,7.166492709681307,7.889576506598674
3H,0.0,0.0,0.0,2.028314788663104,2.9210113684352037,2.66952437027987,2.679629840095609,2.707642897294254,4.135457200087502,4.90100516874287,5.178358865048756,5.416325354343801,6.107931097314911,7.02639431139079,6.299293515411114,7.238828065671375,2.6947198087710333,2.754608912829621,3.9321773316597106,4.276161023687581,5.002501644476036,4.742181718788298,6.082643071620773,6.930756723116997,5.80355973790405,6.788608928254744,6.165937185212001,7.6413450195717,8.325606894125933,7.174780795011652,8.348259112822548,7.87824268348652,7.58724179778591,8.517283998866416,8.59997151248435,5.845733413263908,5.88236975540245,6.920564085367887,7.5003412736917765
4C,0.0,0.0,0.0,0.0,1.098569905071736,1.552483617274249,2.1256382136537724,2.1895729016699383,2.577489220067921,3.1860882723023924,3.6972770744134964,4.170299794012483,4.337263711016613,5.222135684872822,4.624573672185546,5.575361023906678,1.5501393579059257,2.4270174199477657,2.486107548470091,2.6135463819832094,3.849338594449668,4.018090293850378,4.750103356177912,5.744074478674011,4.6032051261026705,5.111510855315163,4.343974655489241,5.921033602548636,6.481847333051913,5.487446446040494,6.755758778270069,6.235540642339179,6.051619203770614,6.74229062604973,7.0657153128165735,4.767922058065523,4.767284657129571,5.9952324826843375,6.6011418747272925
5H,0.0,0.0,0.0,0.0,0.0,2.1491991533296253,2.5735764363785223,3.050731895855289,2.64468044348459,2.7526046657372345,3.847121935734627,4.532491442172987,3.9087649718183384,4.64015074168332,4.472783940604653,5.4327840140240236,2.147498060852701,3.0305372842788736,2.8144991964346255,2.8198133408221353,4.18976527267692,4.526871479984769,4.777708769532049,5.846083590531213,4.571681969172882,4.851992654868024,3.9347113059797145,5.735613609624528,6.143152712346162,5.422683645338434,6.6638780048392485,5.826680610228871,5.590742618060763,6.200552295110736,6.75997760255414,5.208075926994426,5.239521198252056,6.440300646977265,7.081411014455972
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0960485547624554,1.0978415922269924,1.502457746024576,2.5146429692635475,2.6002385863212205,3.070835131948486,3.583733201167846,4.586047115101473,3.6732049857054285,4.623215773986739,2.599601025403132,3.6224010678832848,2.996237617746177,2.645227025760263,4.364134884328643,4.686857880535411,5.480538133851336,6.421749904869026,5.609972355797115,5.696965831638576,4.93577091791321,6.139028628460483,6.640151941745107,5.464138259081353,6.990356892744673,7.002890136286734,7.027825756051053,7.411323655704406,7.817568107572619,4.821509335604363,4.428411158664283,6.136815236492686,6.538355835261826
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7664891164607548,2.126117247805222,2.7698151096563657,3.301748770032714,3.8450127877734057,3.9345546414083663,4.841799766514825,4.225801937176319,5.19146132734687,3.4693231603143184,4.353064078377916,4.05017643408685,3.7204303550027635,5.430155844686677,5.6880077360544075,6.51573550597816,7.477215265015254,6.566972567764878,6.696703338260928,5.869968286997859,7.16559604759355,7.602257314939956,6.497535797861273,8.048705961325416,7.942907623863262,7.904040198041759,8.302533076400708,8.801778130969149,5.9053490606407575,5.4726277751977355,7.212965917001169,7.595857239407312
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1385513641218328,3.404993160087514,2.742578520223487,2.809941770432453,4.281764013287174,5.34140656749952,4.039174321738267,4.877380009653634,2.7411282823003886,3.615942020346872,3.0532406738641864,2.787057056697279,4.213706127281364,4.408820086012892,5.543814034577241,6.365853081405483,5.763584000428635,5.96442451444108,5.366068824491522,6.294177526214878,6.916120616283454,5.526685288380239,7.025034854562102,7.361885329428967,7.451749154301715,7.8661813013964546,8.066204618785902,4.437437214761231,3.9654644400256793,5.691556965562588,6.007304306384269
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38451338783727,1.37829882890484,2.250361602803909,2.151680903442849,3.20655533586434,2.1963122459899007,3.1765823114391147,3.3414129518225937,4.539722973361084,3.149246080808183,2.3677229492472054,4.457425198561328,5.091534529794034,5.3915394121911,6.33609605120619,5.719670943091343,5.231789865564239,4.418084704277119,5.398588794901509,5.716489455931383,4.658057326234677,6.329454561950748,6.559594314433753,6.76185427744823,6.785727233450189,7.409166371977931,4.696563727744853,4.115284021221159,6.046256299393427,6.351638240292341
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2622672653534845,3.3236301122607905,1.3139594494708728,2.136581076628507,2.218906474440878,3.1875216960771553,4.124447861327348,5.310552110480789,3.960648448897708,3.1958695630085305,5.2800498239812095,6.003554814078548,5.9063660125379265,6.915754303420022,6.153305111116,5.437373071538175,4.469165797555979,5.649830801927658,5.72794774872161,5.0636703236566,6.685897096723475,6.568212749077356,6.725898699529542,6.596916663543584,7.526475642199988,5.669502970904746,5.17153092765577,6.997570817712086,7.347542204658256
